,1,0,2,3,4,5,gen,seed,6
0,1016.0,702.0,264.0,17.0,1.0,0.0,0.0,1.0,0.0
1,1019.0,642.0,290.0,47.0,2.0,0.0,1.0,1.0,0.0
2,989.0,583.0,369.0,54.0,5.0,0.0,2.0,1.0,0.0
3,991.0,594.0,350.0,57.0,8.0,0.0,3.0,1.0,0.0
4,975.0,586.0,359.0,69.0,9.0,2.0,4.0,1.0,0.0
5,948.0,542.0,415.0,87.0,7.0,1.0,5.0,1.0,0.0
0,1049.0,679.0,252.0,17.0,3.0,0.0,0.0,2.0,0.0
1,1024.0,612.0,308.0,52.0,4.0,0.0,1.0,2.0,0.0
2,1012.0,558.0,352.0,73.0,4.0,1.0,2.0,2.0,0.0
3,982.0,519.0,407.0,84.0,6.0,1.0,3.0,2.0,1.0
4,930.0,563.0,407.0,77.0,23.0,0.0,4.0,2.0,0.0
5,911.0,535.0,439.0,100.0,14.0,1.0,5.0,2.0,0.0
0,1018.0,706.0,249.0,25.0,2.0,0.0,0.0,3.0,0.0
1,1062.0,600.0,299.0,36.0,3.0,0.0,1.0,3.0,0.0
2,991.0,584.0,365.0,49.0,9.0,2.0,2.0,3.0,0.0
3,981.0,580.0,369.0,63.0,7.0,0.0,3.0,3.0,0.0
4,991.0,511.0,398.0,82.0,17.0,1.0,4.0,3.0,0.0
5,968.0,568.0,390.0,64.0,9.0,1.0,5.0,3.0,0.0
0,981.0,772.0,225.0,21.0,1.0,0.0,0.0,4.0,0.0
1,1008.0,646.0,301.0,43.0,2.0,0.0,1.0,4.0,0.0
2,953.0,658.0,326.0,57.0,6.0,0.0,2.0,4.0,0.0
3,946.0,609.0,357.0,77.0,11.0,0.0,3.0,4.0,0.0
4,935.0,615.0,387.0,52.0,11.0,0.0,4.0,4.0,0.0
5,987.0,575.0,349.0,77.0,12.0,0.0,5.0,4.0,0.0
0,1030.0,701.0,244.0,24.0,1.0,0.0,0.0,5.0,0.0
1,1020.0,604.0,330.0,42.0,4.0,0.0,1.0,5.0,0.0
2,1002.0,577.0,364.0,53.0,4.0,0.0,2.0,5.0,0.0
3,977.0,563.0,383.0,75.0,1.0,1.0,3.0,5.0,0.0
4,971.0,541.0,391.0,90.0,7.0,0.0,4.0,5.0,0.0
5,952.0,518.0,431.0,83.0,13.0,3.0,5.0,5.0,0.0
0,1009.0,710.0,250.0,30.0,1.0,0.0,0.0,6.0,0.0
1,1017.0,619.0,320.0,41.0,3.0,0.0,1.0,6.0,0.0
2,999.0,582.0,361.0,55.0,3.0,0.0,2.0,6.0,0.0
3,974.0,578.0,378.0,61.0,8.0,1.0,3.0,6.0,0.0
4,991.0,556.0,368.0,77.0,8.0,0.0,4.0,6.0,0.0
5,957.0,534.0,400.0,94.0,15.0,0.0,5.0,6.0,0.0
