,seed,gen,pheno,threshold,hits,true_positives,false_positives,coloc1,coloc2,coloc3,coloc4,coloc5,coloc6,coloc1pp,coloc2pp,coloc3pp,coloc4pp,coloc5pp,coloc6pp
0,1,0,ADHD,1.9599639845400545,279,197,82,183,86,10,0,0,0,279,96,10,0,0,0
1,1,0,ALC,1.9599639845400545,258,172,86,161,88,8,1,0,0,258,97,9,1,0,0
2,1,0,ANX,1.9599639845400545,272,184,88,172,90,9,1,0,0,272,100,10,1,0,0
3,1,0,BIP,1.9599639845400545,278,197,81,180,89,8,1,0,0,278,98,9,1,0,0
4,1,0,MDD,1.9599639845400545,224,139,85,139,77,7,1,0,0,224,85,8,1,0,0
5,1,0,SCZ,1.9599639845400545,288,198,90,181,98,9,0,0,0,288,107,9,0,0,0
6,1,1,ADHD,1.9599639845400545,315,208,107,199,93,21,2,0,0,315,116,23,2,0,0
7,1,1,ALC,1.9599639845400545,273,176,97,163,91,19,0,0,0,273,110,19,0,0,0
8,1,1,ANX,1.9599639845400545,300,187,113,171,107,21,1,0,0,300,129,22,1,0,0
9,1,1,BIP,1.9599639845400545,317,198,119,180,107,28,2,0,0,317,137,30,2,0,0
10,1,1,MDD,1.9599639845400545,224,137,87,125,72,26,1,0,0,224,99,27,1,0,0
11,1,1,SCZ,1.9599639845400545,319,197,122,181,110,26,2,0,0,319,138,28,2,0,0
12,1,2,ADHD,1.9599639845400545,337,214,123,176,129,27,5,0,0,337,161,32,5,0,0
13,1,2,ALC,1.9599639845400545,277,173,104,147,102,26,2,0,0,277,130,28,2,0,0
14,1,2,ANX,1.9599639845400545,357,201,156,187,135,32,3,0,0,357,170,35,3,0,0
15,1,2,BIP,1.9599639845400545,347,210,137,179,139,25,4,0,0,347,168,29,4,0,0
16,1,2,MDD,1.9599639845400545,257,159,98,131,105,19,2,0,0,257,126,21,2,0,0
17,1,2,SCZ,1.9599639845400545,334,200,134,169,128,33,4,0,0,334,165,37,4,0,0
18,1,3,ADHD,1.9599639845400545,348,211,137,179,135,26,8,0,0,348,169,34,8,0,0
19,1,3,ALC,1.9599639845400545,286,191,95,155,98,29,4,0,0,286,131,33,4,0,0
20,1,3,ANX,1.9599639845400545,358,201,157,191,131,29,7,0,0,358,167,36,7,0,0
21,1,3,BIP,1.9599639845400545,312,195,117,159,118,31,4,0,0,312,153,35,4,0,0
22,1,3,MDD,1.9599639845400545,256,145,111,132,94,26,4,0,0,256,124,30,4,0,0
23,1,3,SCZ,1.9599639845400545,334,210,124,175,124,30,5,0,0,334,159,35,5,0,0
24,1,4,ADHD,1.9599639845400545,372,208,164,189,132,41,8,2,0,372,183,51,10,2,0
25,1,4,ALC,1.9599639845400545,303,187,116,157,109,30,5,2,0,303,146,37,7,2,0
26,1,4,ANX,1.9599639845400545,356,210,146,168,142,36,9,1,0,356,188,46,10,1,0
27,1,4,BIP,1.9599639845400545,300,196,104,160,104,31,3,2,0,300,140,36,5,2,0
28,1,4,MDD,1.9599639845400545,257,147,110,132,94,25,5,1,0,257,125,31,6,1,0
29,1,4,SCZ,1.9599639845400545,358,206,152,169,137,44,6,2,0,358,189,52,8,2,0
30,1,5,ADHD,1.9599639845400545,393,212,181,176,157,53,6,1,0,393,217,60,7,1,0
31,1,5,ALC,1.9599639845400545,320,177,143,150,130,36,3,1,0,320,170,40,4,1,0
32,1,5,ANX,1.9599639845400545,373,205,168,178,143,45,6,1,0,373,195,52,7,1,0
33,1,5,BIP,1.9599639845400545,342,210,132,167,125,45,4,1,0,342,175,50,5,1,0
34,1,5,MDD,1.9599639845400545,268,156,112,122,109,33,4,0,0,268,146,37,4,0,0
35,1,5,SCZ,1.9599639845400545,376,202,174,155,166,49,5,1,0,376,221,55,6,1,0
36,2,0,ADHD,1.9599639845400545,298,215,83,208,79,9,2,0,0,298,90,11,2,0,0
37,2,0,ALC,1.9599639845400545,253,169,84,153,88,10,2,0,0,253,100,12,2,0,0
38,2,0,ANX,1.9599639845400545,257,193,64,176,70,8,3,0,0,257,81,11,3,0,0
39,2,0,BIP,1.9599639845400545,280,189,91,176,95,8,1,0,0,280,104,9,1,0,0
40,2,0,MDD,1.9599639845400545,230,146,84,142,81,6,1,0,0,230,88,7,1,0,0
41,2,0,SCZ,1.9599639845400545,298,203,95,194,91,10,3,0,0,298,104,13,3,0,0
42,2,1,ADHD,1.9599639845400545,342,221,121,193,111,34,4,0,0,342,149,38,4,0,0
43,2,1,ALC,1.9599639845400545,305,181,124,169,109,25,2,0,0,305,136,27,2,0,0
44,2,1,ANX,1.9599639845400545,308,196,112,175,101,31,1,0,0,308,133,32,1,0,0
45,2,1,BIP,1.9599639845400545,299,201,98,177,102,17,3,0,0,299,122,20,3,0,0
46,2,1,MDD,1.9599639845400545,262,160,102,149,83,28,2,0,0,262,113,30,2,0,0
47,2,1,SCZ,1.9599639845400545,296,191,105,161,110,21,4,0,0,296,135,25,4,0,0
48,2,2,ADHD,1.9599639845400545,385,224,161,216,123,43,3,0,0,385,169,46,3,0,0
49,2,2,ALC,1.9599639845400545,307,186,121,153,119,32,2,1,0,307,154,35,3,1,0
50,2,2,ANX,1.9599639845400545,338,192,146,162,131,40,4,1,0,338,176,45,5,1,0
51,2,2,BIP,1.9599639845400545,335,204,131,180,117,34,3,1,0,335,155,38,4,1,0
52,2,2,MDD,1.9599639845400545,258,157,101,124,98,34,1,1,0,258,134,36,2,1,0
53,2,2,SCZ,1.9599639845400545,333,204,129,177,116,36,3,1,0,333,156,40,4,1,0
