,seed,gen,args_kphen,args_kmate,rbeta_hat_pgwas_ADHD.phenotype_ADHD.phenotype,rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype,rbeta_hat_pgwas_ADHD.phenotype_ANX.phenotype,rbeta_hat_pgwas_ADHD.phenotype_BIP.phenotype,rbeta_hat_pgwas_ADHD.phenotype_MDD.phenotype,rbeta_hat_pgwas_ADHD.phenotype_SCZ.phenotype,rbeta_hat_pgwas_ALC.phenotype_ANX.phenotype,rbeta_hat_pgwas_ALC.phenotype_BIP.phenotype,rbeta_hat_pgwas_ALC.phenotype_MDD.phenotype,rbeta_hat_pgwas_ALC.phenotype_SCZ.phenotype,rbeta_hat_pgwas_ANX.phenotype_BIP.phenotype,rbeta_hat_pgwas_ANX.phenotype_MDD.phenotype,rbeta_hat_pgwas_ANX.phenotype_SCZ.phenotype,rbeta_hat_pgwas_BIP.phenotype_MDD.phenotype,rbeta_hat_pgwas_BIP.phenotype_SCZ.phenotype,rbeta_hat_pgwas_MDD.phenotype_SCZ.phenotype,rbeta_hat_sgwas_ADHD.phenotype_ADHD.phenotype,rbeta_hat_sgwas_ADHD.phenotype_ALC.phenotype,rbeta_hat_sgwas_ADHD.phenotype_ANX.phenotype,rbeta_hat_sgwas_ADHD.phenotype_BIP.phenotype,rbeta_hat_sgwas_ADHD.phenotype_MDD.phenotype,rbeta_hat_sgwas_ADHD.phenotype_SCZ.phenotype,rbeta_hat_sgwas_ALC.phenotype_ANX.phenotype,rbeta_hat_sgwas_ALC.phenotype_BIP.phenotype,rbeta_hat_sgwas_ALC.phenotype_MDD.phenotype,rbeta_hat_sgwas_ALC.phenotype_SCZ.phenotype,rbeta_hat_sgwas_ANX.phenotype_BIP.phenotype,rbeta_hat_sgwas_ANX.phenotype_MDD.phenotype,rbeta_hat_sgwas_ANX.phenotype_SCZ.phenotype,rbeta_hat_sgwas_BIP.phenotype_MDD.phenotype,rbeta_hat_sgwas_BIP.phenotype_SCZ.phenotype,rbeta_hat_sgwas_MDD.phenotype_SCZ.phenotype,pgwas_truepositives_ADHD_0.05,pgwas_falsepositives_ADHD_0.05,sgwas_truepositives_ADHD_0.05,sgwas_falsepositives_ADHD_0.05,pgwas_truepositives_ALC_0.05,pgwas_falsepositives_ALC_0.05,sgwas_truepositives_ALC_0.05,sgwas_falsepositives_ALC_0.05,pgwas_truepositives_ANX_0.05,pgwas_falsepositives_ANX_0.05,sgwas_truepositives_ANX_0.05,sgwas_falsepositives_ANX_0.05,pgwas_truepositives_BIP_0.05,pgwas_falsepositives_BIP_0.05,sgwas_truepositives_BIP_0.05,sgwas_falsepositives_BIP_0.05,pgwas_truepositives_MDD_0.05,pgwas_falsepositives_MDD_0.05,sgwas_truepositives_MDD_0.05,sgwas_falsepositives_MDD_0.05,pgwas_truepositives_SCZ_0.05,pgwas_falsepositives_SCZ_0.05,sgwas_truepositives_SCZ_0.05,sgwas_falsepositives_SCZ_0.05,pgwas_truepositives_ADHD_0.5,pgwas_falsepositives_ADHD_0.5,sgwas_truepositives_ADHD_0.5,sgwas_falsepositives_ADHD_0.5,pgwas_truepositives_ALC_0.5,pgwas_falsepositives_ALC_0.5,sgwas_truepositives_ALC_0.5,sgwas_falsepositives_ALC_0.5,pgwas_truepositives_ANX_0.5,pgwas_falsepositives_ANX_0.5,sgwas_truepositives_ANX_0.5,sgwas_falsepositives_ANX_0.5,pgwas_truepositives_BIP_0.5,pgwas_falsepositives_BIP_0.5,sgwas_truepositives_BIP_0.5,sgwas_falsepositives_BIP_0.5,pgwas_truepositives_MDD_0.5,pgwas_falsepositives_MDD_0.5,sgwas_truepositives_MDD_0.5,sgwas_falsepositives_MDD_0.5,pgwas_truepositives_SCZ_0.5,pgwas_falsepositives_SCZ_0.5,sgwas_truepositives_SCZ_0.5,sgwas_falsepositives_SCZ_0.5
psych6_seed1_0,1,0,6,6,1.0,0.018806506751061925,0.04020230945530282,-0.03167898776371641,0.023418752383334858,-0.00884769187692755,0.013748028384154891,0.004754906610689493,-0.015933588329526193,0.021751820658618564,0.01741154860254032,-0.013701175307967281,0.023809322494067704,-0.009614823752351257,-0.03332757941264856,0.037406931483746846,1.0,0.02437800609206295,-0.024792207709247564,-0.05647098351890458,0.04508394673800903,-0.04728312719348949,0.023483572274487764,0.057852395799124344,-0.017745548508897376,0.022524331737293547,0.0005989773710701204,-0.0013039624706062667,-0.005597458280100854,0.019147969161738988,-0.042733823553337685,0.01691579094865842,0.5880597014925373,0.04924924924924925,0.5850746268656717,0.04924924924924925,0.5165165165165165,0.05158968206358728,0.5075075075075075,0.03779244151169766,0.5525525525525525,0.052789442111577684,0.5615615615615616,0.052789442111577684,0.5915915915915916,0.04859028194361128,0.5975975975975976,0.04859028194361128,0.4174174174174174,0.05098980203959208,0.44744744744744747,0.04919016196760648,0.5945945945945946,0.05398920215956809,0.5735735735735735,0.047390521895620874,0.8716417910447761,0.5195195195195195,0.8567164179104477,0.4936936936936937,0.8408408408408409,0.48050389922015596,0.8258258258258259,0.5158968206358728,0.8408408408408409,0.489502099580084,0.8378378378378378,0.47750449910017995,0.8438438438438438,0.5128974205158968,0.8288288288288288,0.483503299340132,0.7987987987987988,0.4967006598680264,0.7747747747747747,0.5008998200359928,0.8288288288288288,0.47990401919616077,0.8348348348348348,0.5146970605878824
psych6_seed1_1,1,1,6,6,1.0,0.04299330647615618,0.02550365298147109,0.06132708789016377,0.021074669382982296,0.026602664587443717,0.03150326024281287,0.046631374562259915,0.009045732591857102,0.05440783707833243,0.04105338994100791,0.06604569078818272,0.09200687429541987,-0.0039513322212883515,0.07189496827706408,0.03527339363149945,1.0,0.007925792034824925,-0.033225002662510945,0.001471515164665892,0.010322365762391454,-0.044983810340861935,0.06200853996393522,-0.009106495741754959,-0.00890278959060201,0.027304728622171787,0.042662571340448784,0.025472354759833154,-0.04598814950281489,0.010231521091872461,0.012581679509994241,-0.009848739122749618,0.6208955223880597,0.06426426426426426,0.5313432835820896,0.05225225225225225,0.5285285285285285,0.05818836232753449,0.39039039039039036,0.04019196160767846,0.5615615615615616,0.06778644271145771,0.5165165165165165,0.05038992201559688,0.5945945945945946,0.07138572285542892,0.4984984984984985,0.04559088182363527,0.4114114114114114,0.05158968206358728,0.30930930930930933,0.05818836232753449,0.5915915915915916,0.07318536292741452,0.4804804804804805,0.05338932213557288,0.8835820895522388,0.5291291291291291,0.8567164179104477,0.4852852852852853,0.8318318318318318,0.519496100779844,0.7717717717717718,0.48410317936412717,0.8378378378378378,0.5338932213557288,0.7987987987987988,0.5140971805638872,0.8738738738738738,0.5308938212357528,0.8408408408408409,0.5026994601079784,0.7807807807807807,0.5158968206358728,0.7357357357357357,0.4877024595080984,0.8648648648648649,0.5218956208758249,0.7837837837837838,0.486502699460108
psych6_seed1_2,1,2,6,6,1.0,0.12088389044652904,0.1168752096923632,0.1241919714805221,0.05411339255607099,0.07517827512381718,0.050237965003725106,0.08242825748638627,0.03440720226964393,0.06389035180313225,0.04601992000297238,0.12580566295197512,0.1515720566574141,0.03726274188868647,0.07235221090948256,0.04556100141726028,1.0,0.012678469901626988,0.023140554820151243,-0.0034627487461789327,-0.02791283552745296,0.004184181907688577,-0.009845810152129002,-0.01996604262098887,-0.010396343129487087,-0.035190057549018924,0.03245838972681352,-0.008240110313319456,0.03078600036979481,-0.055212494775830394,0.005420697639244297,0.004353020701037794,0.6388059701492538,0.07327327327327328,0.5432835820895522,0.04564564564564565,0.5195195195195195,0.0623875224955009,0.44144144144144143,0.05338932213557288,0.6036036036036037,0.09358128374325135,0.5075075075075075,0.04499100179964007,0.6306306306306306,0.08218356328734253,0.5075075075075075,0.05038992201559688,0.4774774774774775,0.05818836232753449,0.29429429429429427,0.04619076184763048,0.6006006006006006,0.08038392321535692,0.5195195195195195,0.041391721655668866,0.8746268656716418,0.5417417417417417,0.8,0.5009009009009009,0.8348348348348348,0.5134973005398921,0.8138138138138138,0.4979004199160168,0.8528528528528528,0.5434913017396521,0.8198198198198198,0.48890221955608876,0.8708708708708709,0.5296940611877624,0.8198198198198198,0.5206958608278345,0.7927927927927928,0.49190161967606477,0.7507507507507507,0.4877024595080984,0.8408408408408409,0.5500899820035993,0.8108108108108109,0.48470305938812236
psych6_seed1_3,1,3,6,6,1.0,0.0965197461869654,0.13719251126347481,0.11180955013339473,0.09856218912879311,0.06930832638143535,0.15539579335853917,0.08703104466783368,0.06340465932427393,0.09628945019083864,0.04713024367762476,0.06383583353139549,0.12693584660095095,0.04522329509353692,0.07285591304200337,0.05298262340195865,1.0,0.0018331246689035723,-0.028700804898280953,0.0739503795795031,-0.0013770016788429917,0.0018256455975868857,-0.0011582222753505197,0.002207662249146171,-0.004096612276074446,0.035448750002507634,-0.0381522441636562,-0.05785560497360625,-0.008430576005567722,0.025415103998776157,0.0027591956332036105,0.012246201269417523,0.6298507462686567,0.08228228228228228,0.4835820895522388,0.05045045045045045,0.5735735735735735,0.05698860227954409,0.43843843843843844,0.03839232153569286,0.6036036036036037,0.09418116376724656,0.4924924924924925,0.05158968206358728,0.5855855855855856,0.07018596280743851,0.4774774774774775,0.05158968206358728,0.43543543543543545,0.0665866826634673,0.3123123123123123,0.04919016196760648,0.6306306306306306,0.07438512297540492,0.5045045045045045,0.0653869226154769,0.8805970149253731,0.5567567567567567,0.8208955223880597,0.512912912912913,0.8468468468468469,0.5152969406118776,0.7957957957957958,0.5050989802039592,0.8498498498498499,0.5800839832033593,0.8198198198198198,0.48890221955608876,0.8768768768768769,0.5188962207558488,0.8528528528528528,0.48110377924415115,0.7957957957957958,0.5026994601079784,0.7267267267267268,0.5008998200359928,0.8678678678678678,0.5458908218356329,0.8318318318318318,0.4871025794841032
psych6_seed1_4,1,4,6,6,1.0,0.14687957984248368,0.14892589565970898,0.1287536931123768,0.13902538068325632,0.14169406835864942,0.09526262652787122,0.05226449210816682,0.0812503965010703,0.15274626364631186,0.05300626062102368,0.1543762924017876,0.21208885890252668,0.03139715548439832,0.11194216685322926,0.1097864873811621,1.0,-0.01453584469618595,-0.006029189249998909,-0.0038532309231138462,-0.015224768501771417,0.0016753616754293182,0.006780871721908277,-0.031313309045274684,-0.056993175178865985,0.044690213522734196,-0.015875332618563595,0.029700180601771244,0.024006140011345427,-0.004055521655138939,0.011665836977669113,-0.04133281386104546,0.6208955223880597,0.0984984984984985,0.48059701492537316,0.03963963963963964,0.5615615615615616,0.06958608278344332,0.45045045045045046,0.05098980203959208,0.6306306306306306,0.08758248350329934,0.5015015015015015,0.04559088182363527,0.5885885885885885,0.0623875224955009,0.4924924924924925,0.05638872225554889,0.44144144144144143,0.06598680263947211,0.2882882882882883,0.04439112177564487,0.6186186186186187,0.09118176364727054,0.5165165165165165,0.04559088182363527,0.8746268656716418,0.548948948948949,0.8417910447761194,0.4852852852852853,0.8438438438438438,0.5350929814037193,0.8438438438438438,0.5122975404919016,0.8768768768768769,0.5482903419316136,0.8198198198198198,0.486502699460108,0.8318318318318318,0.5302939412117577,0.8348348348348348,0.5002999400119976,0.8198198198198198,0.5416916616676665,0.7087087087087087,0.5080983803239352,0.8558558558558559,0.5656868626274745,0.8168168168168168,0.501499700059988
psych6_seed1_5,1,5,6,6,1.0,0.17154091633729382,0.1775700437578105,0.15880632652806362,0.16349908427995935,0.17292399433414735,0.0999512215367564,0.04789682119627617,0.02806932578308755,0.1796923342556364,0.07299015110647947,0.1378791636523117,0.23385635753670517,0.07341265908749647,0.1270871717583899,0.10750208824989839,1.0,0.02390960620877364,-0.014943747018259127,-0.031848471702781635,0.019044629093954497,-0.02455751205675639,-0.015624917021110473,-0.0019767281506359374,-0.06590987201893812,0.008595108750701637,-0.03359789981964,0.009804467644533368,-0.0010513599936607684,0.016474425841204215,0.005799878076834124,0.026935873776776288,0.6328358208955224,0.1087087087087087,0.5134328358208955,0.03663663663663664,0.5315315315315315,0.08578284343131373,0.42342342342342343,0.05578884223155369,0.6156156156156156,0.10077984403119376,0.5285285285285285,0.041991601679664065,0.6306306306306306,0.07918416316736653,0.5075075075075075,0.047390521895620874,0.46846846846846846,0.06718656268746251,0.2972972972972973,0.055188962207558485,0.6066066066066066,0.10437912417516497,0.5135135135135135,0.05578884223155369,0.8776119402985074,0.5615615615615616,0.8328358208955224,0.46066066066066064,0.8468468468468469,0.5374925014997001,0.7747747747747747,0.504499100179964,0.8408408408408409,0.5650869826034793,0.8408408408408409,0.48470305938812236,0.8648648648648649,0.5344931013797241,0.8228228228228228,0.495500899820036,0.8138138138138138,0.5452909418116376,0.7207207207207207,0.5056988602279544,0.8498498498498499,0.5530893821235753,0.8258258258258259,0.5038992201559688
psych6_seed2_0,2,0,6,6,1.0,0.009644817014286577,0.012093570569628434,-0.03988375602431887,-0.030795986979605967,-0.05125907882598284,0.026393904026953803,-0.03846739827407801,0.03650204703336527,0.030529714557405434,0.011810025954528267,0.005277242310113256,0.0037164446477210115,-0.01371457707116384,0.00696633483991887,-0.009312645615674025,1.0,-0.015441312749414694,-0.008513803042520692,-0.010938167721302842,-0.005914689103990055,-0.00766299995058162,0.0407452619756284,-0.04038332742677449,-0.023987901500228413,0.015609664566693536,-0.015860908215626426,0.02954612279234449,-0.013009286452937722,0.026376993421877187,-0.017808842137432963,-0.024795899655560918,0.6417910447761194,0.04984984984984985,0.6507462686567164,0.04624624624624624,0.5075075075075075,0.05038992201559688,0.5255255255255256,0.05458908218356329,0.5795795795795796,0.03839232153569286,0.5495495495495496,0.05338932213557288,0.5675675675675675,0.05458908218356329,0.5645645645645646,0.05458908218356329,0.43843843843843844,0.05038992201559688,0.43543543543543545,0.04379124175164967,0.6096096096096096,0.05698860227954409,0.5825825825825826,0.0623875224955009,0.8746268656716418,0.4948948948948949,0.9014925373134328,0.5033033033033033,0.8558558558558559,0.5206958608278345,0.8468468468468469,0.4907018596280744,0.8618618618618619,0.47270545890821836,0.8288288288288288,0.5176964607078585,0.8468468468468469,0.4859028194361128,0.8438438438438438,0.5158968206358728,0.7537537537537538,0.4937012597480504,0.7807807807807807,0.4973005398920216,0.8588588588588588,0.5086982603479304,0.8588588588588588,0.5188962207558488
psych6_seed2_1,2,1,6,6,1.0,0.12846827153584953,0.0750391595177193,0.07643678900004476,0.09614273888289242,0.06125154219408184,0.016648611809569905,0.03882403481765747,0.01572842197330232,0.08339266343022379,0.03364743722236099,0.052703760473097654,0.07033872054111454,-0.019358607832933587,0.07502095924048803,0.11092873403426169,1.0,0.06257586197266461,0.001717919100090218,-0.014781517605646728,0.043383832639807746,0.01954630390868009,0.004905153438684006,0.014408726444774514,-0.008223700442228653,0.05710084100837553,-0.04895013959502499,0.0406543764964952,-0.03286619817371652,0.02172959532869182,-0.02776786287513505,0.0951794435782698,0.6597014925373135,0.07267267267267268,0.6059701492537314,0.05045045045045045,0.5435435435435435,0.07438512297540492,0.4264264264264264,0.05338932213557288,0.5885885885885885,0.06718656268746251,0.5165165165165165,0.05398920215956809,0.6036036036036037,0.05878824235152969,0.5135135135135135,0.055188962207558485,0.4804804804804805,0.0611877624475105,0.33933933933933935,0.05818836232753449,0.5735735735735735,0.0629874025194961,0.5165165165165165,0.05398920215956809,0.8656716417910447,0.5513513513513514,0.8567164179104477,0.4984984984984985,0.8348348348348348,0.5266946610677864,0.7687687687687688,0.5098980203959208,0.8648648648648649,0.5356928614277144,0.8618618618618619,0.46550689862027594,0.8438438438438438,0.5206958608278345,0.8258258258258259,0.5032993401319736,0.8198198198198198,0.5098980203959208,0.7387387387387387,0.49250149970005996,0.8528528528528528,0.5278944211157769,0.8048048048048048,0.5092981403719257
psych6_seed2_2,2,2,6,6,1.0,0.13343649553970843,0.14318912359861563,0.09597309853561337,0.10323908256504213,0.08055159192759453,0.07508894629137072,0.09697963644206228,0.07037862641756383,0.1041634713963129,0.02876785102767459,0.1586274119567277,0.1281361356732969,0.048380711999809485,0.07458733759530449,0.0811593361085905,1.0,0.01959392441960859,-0.0021033969500810932,-0.002221836975248355,0.0017856351212080953,0.05252654858316068,0.059114820969874034,-0.016009825119792393,0.01355294560025363,0.016415897072032438,-0.02017604628876783,0.059772081620365285,-0.011791848262525361,-0.016788380756595264,-0.0008992419589989828,0.07808345620524992,0.6686567164179105,0.0966966966966967,0.6358208955223881,0.05045045045045045,0.5585585585585585,0.07258548290341932,0.45345345345345345,0.05638872225554889,0.5765765765765766,0.08698260347930414,0.5015015015015015,0.047390521895620874,0.6126126126126126,0.07798440311937613,0.4864864864864865,0.04859028194361128,0.47147147147147145,0.059988002399520096,0.35735735735735735,0.04919016196760648,0.6126126126126126,0.07738452309538092,0.5015015015015015,0.04559088182363527,0.8746268656716418,0.5681681681681682,0.8746268656716418,0.518918918918919,0.8378378378378378,0.5164967006598681,0.7507507507507507,0.48830233953209357,0.8468468468468469,0.5416916616676665,0.7807807807807807,0.5032993401319736,0.8318318318318318,0.5242951409718056,0.7927927927927928,0.5140971805638872,0.7777777777777778,0.5446910617876425,0.7417417417417418,0.5350929814037193,0.8948948948948949,0.563887222555489,0.8168168168168168,0.498500299940012
psych6_seed2_3,2,3,6,6,1.0,0.1828268702630062,0.19399106631195406,0.1306663166393162,0.07419898229862182,0.0936267702429698,0.1217557498451948,0.07782352442239455,0.07444109742864122,0.1514941239541262,0.13078881919073398,0.0751857223964137,0.19147867721322245,0.0673312016235381,0.10868439620807223,0.11376068590512073,1.0,-0.0280269089080052,-0.007641076902031268,0.011399681571340784,-0.006920452581500797,0.007178964926072341,-0.025017048452462748,0.001256577231688818,-0.0014843590036242645,0.0032010690456613566,-0.003994473982906059,-0.01757586386196337,0.03964276825289213,-0.02885004502760472,-0.05995893190419551,-0.0024200139571870574,0.6835820895522388,0.11231231231231231,0.6149253731343284,0.058258258258258255,0.5765765765765766,0.08218356328734253,0.4294294294294294,0.04319136172765447,0.6156156156156156,0.09178164367126575,0.5015015015015015,0.0629874025194961,0.6216216216216216,0.07858428314337132,0.5345345345345346,0.0593881223755249,0.4924924924924925,0.06598680263947211,0.39039039039039036,0.05098980203959208,0.6276276276276276,0.09538092381523695,0.5105105105105106,0.04379124175164967,0.8985074626865671,0.5693693693693693,0.8567164179104477,0.5045045045045045,0.8378378378378378,0.5398920215956808,0.7867867867867868,0.49190161967606477,0.8318318318318318,0.5488902219556089,0.8318318318318318,0.5128974205158968,0.8468468468468469,0.5494901019796041,0.8498498498498499,0.5140971805638872,0.7777777777777778,0.5440911817636472,0.7807807807807807,0.5134973005398921,0.8678678678678678,0.563887222555489,0.8378378378378378,0.4829034193161368
