"K","valence","vg","frac","ve","vt","theta","mu","phi","af","emean","eMEAN","ATE","eMEANhet","LATE","sibGWASbias"
1,1,0.5,0.01,0.3,0.1,-0.08002434643454591,-1.190545203644941,1.7166019661834448,0.01,-1,-1.0000000000000016,-0.05067141096999288,-0.9592799118327249,-0.045728721600374916,0.004942689369617961
1,1,0.5,0.01,0.3,0.1,0.264555149442891,-0.6539750603528551,1.4501188809082006,0.01,-1,-1.0000000000000016,-0.03182821130302902,-0.9933369751002592,-0.031144992129620425,0.0006832191734085953
1,1,0.5,0.01,0.3,0.1,-0.7579227495878307,1.9385649416308486,-0.14924086475929454,0.01,-1,-1.000000000000002,0.08126360086879894,-1.262613693896968,0.08403494289362362,0.00277134202482468
1,1,0.5,0.01,0.3,0.1,-0.5611099008544225,8.181980219393788,-0.10047607950230801,0.01,-1,-1.,0.07781540983496682,-1.0486692180363182,0.07816119157195756,0.00034578173699073567
1,1,0.5,0.01,0.3,0.1,0.08661441071029327,0,-0.7837007945516675,0.01,0,1.5025205161704274e-18,0.07071067811865475,0.042228365840653204,0.06837055037964446,-0.002340127739010295
1,1,0.5,0.01,0.3,0.1,0.08662223028220944,0,0.7807940880039363,0.01,0,1.502656164120178e-18,0.07071067811865475,0.04223217822869447,0.07304233692619445,0.002331658807539702
1,1,0.5,0.01,0.3,0.1,-0.5000000000000003,-1.6869179519330637,0.5042975780076316,0.01,0,1.1102230246251565e-15,0.0707106781186548,-0.036393079526819916,0.06941292915414775,-0.001297748964507045
1,1,0.5,0.01,0.3,0.1,-0.5000000000000004,1.6882920196797964,-0.50392623973584,0.01,0,-1.5543122344752192e-15,0.07071067811865482,-0.03637698773681031,0.07200689809071943,0.0012962199720646106
1,1,0.5,0.01,0.3,0.1,-0.7006490148714942,0,0.3212053305772739,0.01,0,-1.215432294517604e-17,0.07071067811865475,-0.3415974626306678,0.0629520956224918,-0.007758582496162958
1,1,0.5,0.01,0.3,0.1,-0.7007169668704042,0,-0.32028084334247076,0.01,0,-1.2155501724453527e-17,0.07071067811865475,-0.34163059224323516,0.07844768030180768,0.00773700218315293
1,1,0.5,0.01,0.3,0.1,-0.5000000000000004,2.83506049512387,0.30975997367386243,0.01,0,-2.6645352591003757e-15,0.0707106781186547,-0.4578500303441211,0.06068223424572317,-0.010028443872931524
1,1,0.5,0.01,0.3,0.1,-0.5000000000000004,-2.8369923461396733,-0.3095566246955809,0.01,0,2.6645352591003757e-15,0.0707106781186547,-0.4578552740358224,0.08073265337052324,0.010021975251868542
1,1,0.5,0.01,0.3,0.1,-0.08006168284238414,1.1906510541459718,-1.7159967500776308,0.01,1,1.0000000000000016,-0.05062861572874243,1.0407180515175738,-0.05556931534672658,-0.00494069961798415
1,1,0.5,0.01,0.3,0.1,-0.08006168284238417,1.190651054145972,-1.7159967500776305,0.01,1,1.0000000000000018,-0.05062861572874244,1.040718051517574,-0.05556931534672658,-0.004940699617984136
1,1,0.5,0.01,0.3,0.1,-0.08006168284238419,1.1906510541459718,-1.71599675007763,0.01,1,1.0000000000000016,-0.05062861572874238,1.0407180515175738,-0.05556931534672653,-0.00494069961798415
1,1,0.5,0.01,0.3,0.1,0.2646375385710666,0.6539045950247054,-1.4508535229032942,0.01,1,1.0000000000000018,-0.03188015833667656,1.0066163032658122,-0.03255893042295819,-0.0006787720862816288
1,1,0.5,0.01,0.3,0.1,-0.7579489931225961,-1.938367713505144,0.1496870298916652,0.01,1,1.0000000000000016,0.08129514950786176,0.7376859205433417,0.07851869363886657,-0.0027764558689951924
1,1,0.5,0.01,0.3,0.1,-0.5611726088734222,-8.173592874461109,0.10056957044637253,0.01,1,1.,0.07782202064301957,0.9513038461831389,0.07747572561360873,-0.0003462950294108452
1,1,0.5,0.01,0.3,0.1,-0.561172608873422,-8.173592874461143,0.10056957044637213,0.01,1,1.0000000000000018,0.07782202064301956,0.9513038461831389,0.0774757256136087,-0.0003462950294108591
1,1,0.5,0.01,0.3,0.1,0.08202649718104778,0.8590674177579042,0.0872280263706962,0.01,1,1.0000000000000016,0.0768786310142786,1.0429883119176588,0.07714378089724908,0.0002651498829704807
1,1,0.5,0.01,0.3,0.1,0.2645855708481956,-0.6539490399293338,1.4503900690988507,0.05,-1,-0.9999999999999984,-0.03184738720388735,-0.9973258777594667,-0.03157313440046242,0.0002742528034249264
1,1,0.5,0.01,0.3,0.1,-0.41114163622828664,-5.6269323311483985,-0.2525131033126597,0.05,-1,-0.9999999999999991,0.08856605088773883,-1.195259861053258,0.09205248849368433,0.003486437605945497
1,1,0.5,0.01,0.3,0.1,-0.7579308059671096,1.9385043912271454,-0.1493763880787651,0.05,-1,-0.9999999999999973,0.08127318381461954,-1.1056336098741473,0.08238893942060056,0.0011157556059810253
1,1,0.5,0.01,0.3,0.1,-0.7579308059671096,1.9385043912271467,-0.1493763880787649,0.05,-1,-0.9999999999999982,0.08127318381461954,-1.1056336098741482,0.08238893942060056,0.0011157556059810253
1,1,0.5,0.01,0.3,0.1,0.08202325882687148,-0.8590721975747176,-0.08728057928650686,0.05,-1,-0.9999999999999983,0.07688234706659265,-0.982702360687158,0.07677559176317296,-0.0001067553034196922
1,1,0.5,0.01,0.3,0.1,0.08661663006855239,0,-0.7828768069053416,0.05,0,3.0051180317983282e-18,0.07071067811865475,0.01699223817267173,0.06977002604765681,-0.0009406520709979438
1,1,0.5,0.01,0.3,0.1,0.08661663006855237,0,-0.7828768069053414,0.05,0,3.005118031798328e-18,0.07071067811865475,0.016992238172671727,0.06977002604765681,-0.0009406520709979438
1,1,0.5,0.01,0.3,0.1,0.08661990880871007,0,0.7816580556553486,0.05,0,3.0052317859487916e-18,0.07071067811865475,0.016992881387879036,0.07164990137170735,0.0009392232530525957
1,1,0.5,0.01,0.3,0.1,-0.5000000000000002,-1.6872606087114144,0.5042049273819881,0.05,0,6.661338147750939e-16,0.07071067811865478,-0.014642190745389083,0.07018864488987538,-0.0005220332287794033
1,1,0.5,0.01,0.3,0.1,-0.5000000000000003,1.6878367143408493,-0.5040492274259034,0.05,0,-1.1102230246251565e-15,0.0707106781186548,-0.014639475727101114,0.07123245337428044,0.0005217752556256477
1,1,0.5,0.01,0.3,0.1,-0.7006625229687966,0,0.321021749023794,0.05,0,-2.4309114546622206e-17,0.07071067811865475,-0.1374542562961414,0.06759051247034152,-0.0031201656483132306
1,1,0.5,0.01,0.3,0.1,-0.7006910332318945,0,-0.32063396161876956,0.05,0,-2.431010369507625e-17,0.07071067811865475,-0.13745984936967182,0.07382720148114882,0.0031165233624940725
1,1,0.5,0.01,0.3,0.1,-0.5000000000000003,2.834360229092192,0.30983374928115187,0.05,0,-1.7763568394002505e-15,0.07071067811865471,-0.18422841909473764,0.0666744997555736,-0.004036178363081108
1,1,0.5,0.01,0.3,0.1,-0.5000000000000002,-2.835170082169759,-0.30974843139458136,0.05,0,1.3322676295501878e-15,0.07071067811865472,-0.18422930474768595,0.07474576445078931,0.004035086332134591
1,1,0.5,0.01,0.3,0.1,-0.08004887020418333,1.190614727582952,-1.7162043852458122,0.05,1,0.9999999999999983,-0.050643297752285425,1.01638436544351,-0.052631605640978026,-0.0019883078886926003
1,1,0.5,0.01,0.3,0.1,0.26462012204928426,0.6539194896675387,-1.4506981732645092,0.05,1,0.9999999999999982,-0.03186917345837221,1.00266623729093,-0.032142675683945146,-0.0002735022255729372
1,1,0.5,0.01,0.3,0.1,-0.41105738459838603,5.621602172842406,0.2528556909354927,0.05,1,0.9999999999999991,0.0885902754908644,0.8047333840017616,0.08509898701658204,-0.0034912884742823586
1,1,0.5,0.01,0.3,0.1,-0.757941805210806,-1.9384217288522414,0.14956346149182695,0.05,1,0.9999999999999976,0.08128641190251512,0.8944169405962861,0.08016979357417593,-0.001116618328339189
1,1,0.5,0.01,0.3,0.1,-0.5611544515055228,-8.176019695881715,0.10054250192173998,0.05,1,0.9999999999999947,0.07782010660928709,0.9804088345237378,0.0776808246192855,-0.00013928199000159958
1,1,0.5,0.01,0.3,0.1,0.08202517077694989,0.8590693755263974,0.0872495512240832,0.05,1,0.9999999999999982,0.07688015305125796,1.0172976096317596,0.07698687022027507,0.00010671716901711203
1,1,0.5,0.01,0.3,0.1,-0.08003846663286927,-1.190585232869172,1.7163730227677554,0.25,-1,-0.9999999999999998,-0.050655222225818454,-0.9962907816862822,-0.05020504960559991,0.0004501726202185419
1,1,0.5,0.01,0.3,0.1,-0.08003846663286929,-1.1905852328691722,1.7163730227677545,0.25,-1,-0.9999999999999999,-0.050655222225818405,-0.9962907816862823,-0.050205049605599864,0.0004501726202185419
1,1,0.5,0.01,0.3,0.1,0.26459929408706295,-0.6539373026717265,1.4505124307159454,0.25,-1,-1.0000000000000002,-0.03185603947680798,-0.9993953289855237,-0.03179402035562802,0.00006201912117995839
1,1,0.5,0.01,0.3,0.1,-0.4111072888674482,-5.62475813404349,-0.25265274048113284,0.25,-1,-0.9999999999999982,0.0885759247266121,-1.0442044324136157,0.08936564781284617,0.0007897230862340676
1,1,0.5,0.01,0.3,0.1,-0.4111072888674485,-5.624758134043509,-0.2526527404811315,0.25,-1,-0.9999999999999982,0.08857592472661202,-1.0442044324136157,0.08936564781284609,0.0007897230862340676
1,1,0.5,0.01,0.3,0.1,-0.7579348532260727,1.9384739741308432,-0.14944494457401955,0.25,-1,-1.0000000000000018,0.08127803149088847,-1.0239096207524372,0.08153069290237555,0.00025266141148708177
1,1,0.5,0.01,0.3,0.1,-0.5611376400311735,8.178267917195644,-0.10051743824451354,0.25,-1,-1.0000000000000053,0.07781833433967433,-1.0044344786723265,0.07784985308959665,0.00003151874992231296
1,1,0.5,0.01,0.3,0.1,0.08202394704562072,-0.8590711817581083,-0.08726941040179481,0.25,-1,-1.,0.07688155730718084,-0.9960840847384895,0.07685739266718955,-0.00002416463999128926
1,1,0.5,0.01,0.3,0.1,0.08661780098627277,0,-0.7824417592318172,0.25,0,3.0051586561674876e-19,0.07071067811865475,0.0038468315935413864,0.07049784451561192,-0.0002128336030428335
1,1,0.5,0.01,0.3,0.1,0.08661871781433511,0,0.7821009636317086,0.25,0,3.0051904650307517e-19,0.07071067811865475,0.0038468723113051244,0.07092342127299073,0.0002127431543359759
1,1,0.5,0.01,0.3,0.1,-0.4999999999999995,-1.6874570409212435,0.504151828813763,0.25,0,-1.7763568394002505e-15,0.07071067811865468,-0.0033145556106244367,0.07059251779851207,-0.00011816032014261291
1,1,0.5,0.01,0.3,0.1,-0.49999999999999956,1.6876181340844638,-0.5041082908255462,0.25,0,1.5543122344752192e-15,0.0707106781186547,-0.003314383739787985,0.07082882210812413,0.00011814398946943805
1,1,0.5,0.01,0.3,0.1,-0.7006715692954018,0,0.32089875076601687,0.25,0,-2.430942840412487e-18,0.07071067811865475,-0.03111791685740137,0.07000458245448755,-0.0007060956641671973
1,1,0.5,0.01,0.3,0.1,-0.7006795425603911,0,-0.32079030620223886,0.25,0,-2.4309705032324016e-18,0.07071067811865475,-0.031118270962531214,0.07141654319703823,0.0007058650783834802
1,1,0.5,0.01,0.3,0.1,-0.4999999999999995,2.8344039069298326,0.3098291466515727,0.25,0,2.6645352591003757e-15,0.07071067811865482,-0.04170647205618394,0.06979696317553599,-0.0009137149431188291
1,1,0.5,0.01,0.3,0.1,-0.49999999999999956,2.8344039069298343,0.30982914665157224,0.25,0,3.1086244689504383e-15,0.07071067811865482,-0.04170647205618394,0.06979696317553599,-0.0009137149431188291
1,1,0.5,0.01,0.3,0.1,-0.49999999999999956,-2.834630355274463,-0.3098052864069678,0.25,0,-2.6645352591003757e-15,0.07071067811865482,-0.04170652813297204,0.07162432392414357,0.0009136458054887497
1,1,0.5,0.01,0.3,0.1,-0.08004284403597191,1.1905976428767608,-1.7163020622612637,0.25,1,1.0000000000000002,-0.050650204560284844,1.0037091965629514,-0.05110035592919429,-0.00045015136890944746
1,1,0.5,0.01,0.3,0.1,-0.08004284403597153,1.1905976428767597,-1.7163020622612633,0.25,1,1.,-0.05065020456028478,1.0037091965629514,-0.05110035592919426,-0.00045015136890948215
1,1,0.5,0.01,0.3,0.1,0.26460895587851024,0.6539290393551783,-1.4505985891306579,0.25,1,1.0000000000000002,-0.03186213179673793,1.0006041718421899,-0.03192410340026308,-0.0000619716035251544
1,1,0.5,0.01,0.3,0.1,-0.4110837263774975,5.623267593542756,0.2527485543286479,0.25,1,0.9999999999999973,0.08858269978874304,0.9557951399267361,0.0877926695715905,-0.0007900302171525431
1,1,0.5,0.01,0.3,0.1,-0.4110837263774975,5.623267593542756,0.2527485543286478,0.25,1,0.9999999999999973,0.08858269978874304,0.9557951399267361,0.0877926695715905,-0.0007900302171525431
1,1,0.5,0.01,0.3,0.1,-0.7579379286687008,-1.9384508613396203,0.14949725538789443,0.25,1,1.000000000000001,0.08128173042401049,0.9760935792731875,0.08102901440007351,-0.00025271602393697745
1,1,0.5,0.01,0.3,0.1,-0.5611449917081861,-8.177284615332812,0.10052839880563748,0.25,1,1.0000000000000053,0.07781910936838397,0.9955652336706997,0.07778758513682349,-0.00003152423156048412
1,1,0.5,0.01,0.3,0.1,0.08202448167194498,0.8590703926468551,0.0872607342238483,0.25,1,1.0000000000000002,0.07688094380875476,1.0039159133826256,0.076905106034745,0.000024162225990234654
1,1,0.5,0.01,0.3,0.1,-0.08004062245580834,-1.190591344629245,1.7163380746552488,0.5,-1,-0.9999999999999999,-0.05065275102108416,-0.9999999999999999,-0.05065275102108416,0.
1,1,0.5,0.01,0.3,0.1,0.26460423343261763,-0.6539330782348638,1.4505564759637652,0.5,-1,-1.,-0.03185915394614921,-1.,-0.03185915394614921,0.
1,1,0.5,0.01,0.3,0.1,-0.561141316719845,8.177776122994617,-0.10052291982878242,0.5,-1,-1.,0.07781872194621513,-1.,0.07781872194621513,0.
1,1,0.5,0.01,0.3,0.1,-0.561141316719845,8.177776122994617,-0.1005229198287824,0.5,-1,-1.,0.07781872194621513,-1.,0.07781872194621513,0.
1,1,0.5,0.01,0.3,0.1,-0.561141316719845,8.177776122994597,-0.10052291982878268,0.5,-1,-0.9999999999999982,0.07781872194621513,-0.9999999999999982,0.07781872194621513,0.
1,1,0.5,0.01,0.3,0.1,-0.4110951680691337,-5.623991285297155,-0.2527020259254481,0.5,-1,-1.0000000000000009,0.08857940973380107,-1.0000000000000009,0.08857940973380107,0.
1,1,0.5,0.01,0.3,0.1,-0.7579363981874583,1.9384623632552203,-0.14947119966352593,0.5,-1,-0.9999999999999998,0.0812798880060715,-0.9999999999999998,0.0812798880060715,0.
1,1,0.5,0.01,0.3,0.1,-0.7579363981874585,1.9384623632552191,-0.14947119966352546,0.5,-1,-1.,0.08127988800607147,-1.,0.08127988800607147,0.
1,1,0.5,0.01,0.3,0.1,0.08202421432119604,-0.8590707872577786,-0.08726507291145136,0.5,-1,-0.9999999999999999,0.07688125060029732,-0.9999999999999999,0.07688125060029732,0.
1,1,0.5,0.01,0.3,0.1,0.08661825854882939,0,0.782271694795875,0.5,0,0.,0.07071067811865475,0.,0.07071067811865475,0.
1,1,0.5,0.01,0.3,0.1,0.08661825854882939,0,-0.7822716947958749,0.5,0,0.,0.07071067811865475,0.,0.07071067811865475,0.
1,1,0.5,0.01,0.3,0.1,-0.5000000000000001,1.687536648174629,-0.5041303127976602,0.5,0,-4.440892098500626e-16,0.07071067811865477,-4.440892098500626e-16,0.07071067811865477,0.
1,1,0.5,0.01,0.3,0.1,-0.5000000000000001,-1.6875366481746286,0.5041303127976602,0.5,0,4.440892098500626e-16,0.07071067811865477,4.440892098500626e-16,0.07071067811865477,0.
1,1,0.5,0.01,0.3,0.1,-0.7006754522498619,0,-0.32084594284759677,0.5,0,0.,0.07071067811865475,0.,0.07071067811865475,0.
1,1,0.5,0.01,0.3,0.1,-0.7006754522498617,0,-0.32084594284759393,0.5,0,0.,0.07071067811865475,0.,0.07071067811865475,0.
1,1,0.5,0.01,0.3,0.1,-0.7006754522498617,0,0.3208459428475936,0.5,0,0.,0.07071067811865475,0.,0.07071067811865475,0.
1,1,0.5,0.01,0.3,0.1,-0.7006754522498619,0,-0.32084594284759327,0.5,0,0.,0.07071067811865475,0.,0.07071067811865475,0.
1,1,0.5,0.01,0.3,0.1,-0.5000000000000001,-2.8344960923211504,-0.3098194328930002,0.5,0,4.440892098500626e-16,0.07071067811865474,4.440892098500626e-16,0.07071067811865474,0.
1,1,0.5,0.01,0.3,0.1,-0.5000000000000001,2.8344960923211557,0.3098194328929995,0.5,0,-4.440892098500626e-16,0.07071067811865474,-4.440892098500626e-16,0.07071067811865474,0.
1,1,0.5,0.01,0.3,0.1,-0.5000000000000001,2.8344960923211606,0.309819432892999,0.5,0,-4.440892098500626e-16,0.07071067811865474,-4.440892098500626e-16,0.07071067811865474,0.
1,1,0.5,0.01,0.3,0.1,-0.08004062245580834,1.190591344629245,-1.7163380746552483,0.5,1,0.9999999999999999,-0.05065275102108413,0.9999999999999999,-0.05065275102108413,0.
1,1,0.5,0.01,0.3,0.1,0.2646042334326177,0.6539330782348638,-1.4505564759637655,0.5,1,1.,-0.03185915394614923,1.,-0.03185915394614923,0.
