"K","valence","vg","frac","ve","vt","theta","mu","phi","af","emean","eMEAN","ATE","eMEANhet","LATE","sibGWASbias"
1,-1,0.5,0.01,0.3,0.1,-0.49999999999999999362842247729330813591422370145657,-7.8473501769087228572809878039153302278071577501093e16,-3.2236289548657594491863273276477941470539380534418e-18,0.01,-1,0.,-0.07071067811865475,0.,-0.07071067811865475,0.
1,-1,0.5,0.01,0.3,0.1,-0.49999999999999996461181219530273279325224155278186,-1.4129008322195924362710555204645988435005105269147e16,-5.4407871445164851401795931718395556437613603382823e-17,0.01,-1,-2.,-0.07071067811865475,-2.,-0.07071067811865475,0.
1,-1,0.5,0.01,0.3,0.1,-0.50000000000000005748069685350640282259035045097788,8.6985723446304966365847881904825197188312962823035e15,-1.0139385325151325257844037374808221962209160989173e-16,0.01,-1,-2.,-0.07071067811865477,-2.,-0.07071067811865477,0.
1,-1,0.5,0.01,0.3,0.1,-0.50000009663981967449057276548174025572323014848097,5.1738501595496756260933730791454871419142319429961e6,-2.6998134828959753239127113423640874124689712940957e-8,0.01,-1,-0.9999998928979039,-0.07071068002771097,-0.7902788277715445,-0.07071067962734162,4.0036934878528996e-10
1,-1,0.5,0.01,0.3,0.1,-0.035935847395245267602145129385519515182556923969062,-0.99999004638183678513966610000824121669986696707578,1.7801784150138575712631282045207075220020500262838,0.01,-1,-0.9281190669747529,0.046118743798271467,-0.9417877312810564,0.047839322769337264,0.0017205789710657976
1,-1,0.5,0.01,0.3,0.1,0.36343737983612130263658256881316942487705030569973,-1.0000915454126355551658645149690132196119272345542,0.65516444560437792022235341307541564982509075954511,0.01,-1,-1.7270328471346867,0.009297783682183208,-1.78812426535714,0.012127973281251665,0.0028301895990684566
1,-1,0.5,0.01,0.3,0.1,-0.032149122727734972712345348836451768236454375713802,-0.99999204177174222145577465245438265232633160988645,-0.29207081719923940305249587863439108165532976269805,0.01,-1,-0.9356943080163861,-0.09003512871524182,-0.9154422677000277,-0.08961687293531384,0.0004182557799279757
1,1,0.5,0.01,0.3,0.1,-0.49999999999999999501003781458442625393071146586758,-1.0020116013331251822655802906141885854881745144769e17,1.4695596914974869924312546857924841506190523704711e-18,0.01,-1,0.,0.07071067811865475,0.,0.07071067811865475,0.
1,1,0.5,0.01,0.3,0.1,-0.49999999999999996605580504946829476028524684980462,-1.4730059167073218474005760357870367199840390768103e16,5.4313901773064155416569806313297923250332231309315e-17,0.01,-1,-2.,0.07071067811865474,-2.,0.07071067811865474,0.
1,1,0.5,0.01,0.3,0.1,-0.50000000000000004274633144234714251478079529443203,1.1696910193904248562404110693062916969468798084845e16,7.6843989998865784720862952217637350970250109091879e-17,0.01,-1,0.,0.07071067811865475,0.,0.07071067811865475,0.
1,1,0.5,0.01,0.3,0.1,-0.50000000000000269370694582933872159707191243004844,1.8561781591503393019867790749776672330231862017554e14,2.6099219542512808029295272556847242141595659251287e-16,0.01,-1,-1.,0.07071067811865474,-1.25,0.07071067811865472,-1.3877787807814457e-17
