,Trait1,Trait2,r.xmate.ivw,se.xmate.ivw,p.xmate.ivw,r.wmate.ivw,se.wmate.ivw,p.wmate.ivw,r.female:female,r.female:male,r.male:female,r.male:male,se.female:female,se.female:male,se.male:female,se.male:male,p.female:female,p.female:male,p.male:female,p.male:male
1,alcohol_intake_frequency,alcohol_intake_frequency,0.466363501366422,0.00313898745229461,0,NA,0,NA,1,0.466363501366422,0.466363501366422,1,0,0.004439198627154,0.004439198627154,0,0,0,0,0
2,alcohol_intake_frequency,basal_metabolic_rate,-0.0424342942366377,0.00354446854501725,4.9827291609568e-33,-0.0691918911729268,0.00353772043073562,3.50389713838536e-85,-0.104850377328626,-0.0205834768972321,-0.0642042619049533,-0.0331767176499693,0.00499068942332296,0.00501728733169656,0.00500799655894774,0.00501558793444446,1.8361435354098e-97,4.09504620317827e-05,4.79067991819811e-34,3.76967955887122e-11
3,alcohol_intake_frequency,birth_weight,0.0253429879404495,0.00354735867085639,9.0531158924499e-13,0.0302763208070702,0.00354683488657378,1.38766093788162e-17,0.035477507906462,0.0228203937743467,0.0278649367826879,0.025071852539843,0.00501519135370857,0.00501704365619347,0.00501640189123373,0.00501677302052762,1.53006104244425e-12,5.4170248376998e-06,6.41214825733993e-05,5.82929513597079e-07
4,alcohol_intake_frequency,bmi,-0.095936750319919,0.00353187677625947,1.77280863644356e-162,-0.122377490532968,0.00351887817046042,5.33947726787634e-265,-0.162648855236562,-0.0837111666276731,-0.108104725929484,-0.081285125536869,0.00495152626138358,0.00500073642351014,0.00498894054468775,0.00500174425193474,1.63899243440438e-233,1.10386941149569e-62,5.71775277564717e-100,3.39412895056637e-59
5,alcohol_intake_frequency,body_fat_percentage,-0.0833398582119538,0.00353591249226057,7.91403428807024e-123,-0.0938404135965704,0.00353017918769273,1.08644941390511e-155,-0.132270811279851,-0.0714055590222784,-0.0952265433297537,-0.0548433304115496,0.0049742573755368,0.00500554051378213,0.00499554527414321,0.00501079777243532,1.9496169123357e-154,4.68034829389163e-46,4.14569524677456e-77,7.69335785026526e-28
6,alcohol_intake_frequency,diastolic,0.0223409259058463,0.00354731080723813,3.01531102683351e-10,0.0487320830116038,0.00354349940402643,4.91789435758412e-43,0.0275442891831352,0.035617607709159,0.00904846813012711,0.0698325614048558,0.00501644648845646,0.00501516634548436,0.00501814508813055,0.00500609936572028,4.02570046014562e-08,1.2504526615706e-12,1,4.02802705261739e-44
7,alcohol_intake_frequency,eduyears,0.138014675567532,0.00351411177115525,0,0.154746371821553,0.00350559376510714,0,0.164485209683583,0.153605703091593,0.122285671605599,0.144947018139374,0.00494999833581925,0.00495879386002594,0.00498068753039274,0.00496535382831752,7.7178228915211e-239,3.40484522454649e-208,1.44656127587778e-128,2.26702785061248e-185
8,alcohol_intake_frequency,evening_chronotype,0.0149570802747288,0.00354809760570755,2.49202104304976e-05,0.0523082174979224,0.003543640354996,2.60783981406101e-49,0.04977631523052,0.0178774765779719,0.0120361735137812,0.0548387755145929,0.00501212973754124,0.00501754852353599,0.00501798701443327,0.00501079902788526,9.62748160153663e-20,0.000367083687307738,1,2.3810082056054e-24
9,alcohol_intake_frequency,fathers_age,0.0256839755786424,0.0035472919184114,4.47211628921866e-13,0.026810088062946,0.00354710359466803,4.08358073843879e-14,0.0353829431779564,0.0308374656595978,0.0205277538146356,0.0182293390915957,0.0050152081780025,0.00501596386453006,0.0050172930810417,0.00501751664018358,1.75257448655753e-12,7.92794914907185e-10,0.0818859766969053,0.00028034603103915
10,alcohol_intake_frequency,FEV1_zscore,-0.0435600006133343,0.00354513649541053,1.0604449816724e-34,-0.0506710074529018,0.0035434309655321,2.18858679390989e-46,-0.067754316025443,-0.0418827227470833,-0.0452367875102394,-0.0335282063672835,0.00500681854169262,0.00501394709749782,0.00501321320761931,0.00501552907150128,1.24540363979556e-41,6.8537979364781e-17,5.43120210947989e-16,2.34167419257135e-11
11,alcohol_intake_frequency,fiq_score,0.0898575253400724,0.00353374694998607,1.22404590171337e-142,0.125172777170453,0.00352040835971263,6.6347095196314e-277,0.11477975573105,0.10494382742251,0.0746883182370833,0.135511150517635,0.00498518407198253,0.00499063995731891,0.00500433391077915,0.00497206036845692,1.55214336399438e-116,1.23764029775119e-97,1.03609560914854e-46,4.58256088289918e-162
12,alcohol_intake_frequency,FVC_zscore,-0.0482974269861783,0.00354435941021139,2.78396165048633e-42,-0.0629983676446731,0.00354105189020907,8.31893604140897e-71,-0.0781393555998962,-0.0460256535099469,-0.0505682015324947,-0.0477991705912447,0.00500300665394224,0.00501303237408608,0.00501193010340151,0.0050126143871364,7.93751306845953e-55,4.46260144662109e-20,1.95598216742194e-20,1.5688363594209e-21
13,alcohol_intake_frequency,glucose_fasting_adj,-0.0179760623515058,0.00354793105193332,4.04915188895751e-07,-0.0316914976987051,0.00354667707279604,4.05170771727324e-19,-0.037007273078942,-0.0162540224701384,-0.0196978889646011,-0.0263721343125804,0.00501491294158802,0.00501768757954837,0.00501737685890061,0.00501660512199537,1.62053935484034e-13,0.0011990294804152,0.162521487073639,1.47205553142202e-07
