,Unnamed: 0,Trait1,Trait2,r.xmate.yz,r.wmate.yz,p.xmate.ivw,r.xmate.yy,r.xmate.zz,r.xmate.yz.pred
0,2,alcohol_intake_frequency,basal_metabolic_rate,-0.0424342942366377,-0.0691918911729268,4.9827291609568e-33,0.466363501366422,0.176563057442496,-0.04098414468996304
1,3,alcohol_intake_frequency,birth_weight,0.0253429879404495,0.0302763208070702,9.053115892449899e-13,0.466363501366422,0.0279088273957597,0.01476270903212452
2,4,alcohol_intake_frequency,bmi,-0.095936750319919,-0.122377490532968,1.77280863644356e-162,0.466363501366422,0.243502436555575,-0.0773881943373725
3,5,alcohol_intake_frequency,body_fat_percentage,-0.0833398582119538,-0.0938404135965704,7.914034288070239e-123,0.466363501366422,0.225298155965094,-0.05844963895362022
4,6,alcohol_intake_frequency,diastolic,0.0223409259058463,0.0487320830116038,3.01531102683351e-10,0.466363501366422,0.0852549955010345,0.0258120444356423
5,7,alcohol_intake_frequency,eduyears,0.138014675567532,0.154746371821553,0.0,0.466363501366422,0.453761283781514,0.11652222760459693
6,8,alcohol_intake_frequency,evening_chronotype,0.0149570802747288,0.0523082174979224,2.49202104304976e-05,0.466363501366422,-0.0938084568738614,0.02033062564677973
7,9,alcohol_intake_frequency,fathers_age,0.0256839755786424,0.026810088062946,4.47211628921866e-13,0.466363501366422,0.0289430603641982,0.013095654619113186
8,10,alcohol_intake_frequency,FEV1_zscore,-0.0435600006133343,-0.0506710074529018,1.0604449816724e-34,0.466363501366422,0.0806883676498037,-0.026667582112004474
9,11,alcohol_intake_frequency,fiq_score,0.0898575253400724,0.125172777170453,1.22404590171337e-142,0.466363501366422,0.144480744255713,0.07092861930535806
10,12,alcohol_intake_frequency,FVC_zscore,-0.0482974269861783,-0.0629983676446731,2.7839616504863297e-42,0.466363501366422,0.0993553326749713,-0.033970981935296615
11,13,alcohol_intake_frequency,glucose_fasting_adj,-0.0179760623515058,-0.0316914976987051,4.04915188895751e-07,0.466363501366422,0.0765519660829798,-0.01660156433470881
12,14,alcohol_intake_frequency,grip_strength_left,0.0497421761440505,0.0724607858905787,9.50091726185438e-45,0.466363501366422,0.0777317219074541,0.03790812572738486
13,15,alcohol_intake_frequency,grip_strength_right,0.0535372611179474,0.0730724121468011,1.4141098689537998e-51,0.466363501366422,0.0889363507296239,0.03881965094218361
14,16,alcohol_intake_frequency,heel_bmd,-0.0010289536506565,-0.0003466994868168,0.771835194627313,0.466363501366422,0.0205936397919018,-0.00016722637408644108
15,17,alcohol_intake_frequency,heel_bmd_tscore,-0.001812812094289,-0.0018155544853261,0.60943742351277,0.466363501366422,0.0233702383606294,-0.0008795741517901084
16,18,alcohol_intake_frequency,heel_qui,-0.0015152725015019,-4.42670416435603e-05,0.669360352522557,0.466363501366422,0.020146538643004,-2.1336485351212237e-05
17,19,alcohol_intake_frequency,hip_circumference,-0.0663604727093837,-0.0906756530138729,2.06576243333716e-78,0.466363501366422,0.184916998528164,-0.054104333117202315
18,20,alcohol_intake_frequency,LDL_fasting_statin_adj,0.0104733458689491,0.0233968264692629,0.0031424605593954,0.466363501366422,0.056548756069909,0.011915773283805317
19,21,alcohol_intake_frequency,lifetime_sexual_partners,0.054383800605628,0.0749467517711307,3.52316206843981e-53,0.466363501366422,0.135460719788282,0.042274265470326165
20,22,alcohol_intake_frequency,logMAR_final_left,-0.0336242228758272,-0.0464497257625581,2.518539354047e-21,0.466363501366422,0.0133174806424065,-0.022107492563440034
21,23,alcohol_intake_frequency,logMAR_final_right,-0.0336507150051545,-0.054281085492757,2.3441788636886502e-21,0.466363501366422,0.0133903275547426,-0.025822199377948357
22,24,alcohol_intake_frequency,max_daily_cigarettes,-0.0288975771794683,-0.0395904246970566,3.72929980959723e-16,0.466363501366422,0.0352861945649113,-0.019516768861774163
23,25,alcohol_intake_frequency,met_physical_activity,-0.0096560798151005,-0.0057709000749734,0.0064940188885742,0.466363501366422,0.12122095895355,-0.003209508863728323
24,26,alcohol_intake_frequency,mothers_age,0.026063386034015,0.0353395913277816,2.0204106277149e-13,0.466363501366422,0.0223172264714958,0.017076191528527237
25,27,alcohol_intake_frequency,neuroticism_score,-0.0365148517243623,-0.0432180111246983,7.264663803421921e-25,0.466363501366422,0.0235691281769081,-0.02091471509529032
26,28,alcohol_intake_frequency,number_full_brothers,-0.0529359810003514,-0.0636486356678994,1.83707654688999e-50,0.466363501366422,0.0544998932668105,-0.032236825381400686
27,29,alcohol_intake_frequency,number_full_sisters,-0.039106901176447,-0.0435987524764189,2.7634907209473e-28,0.466363501366422,0.0625986496830995,-0.022378168779849134
