"seed","gen","scenario","GWAS","xAM","relative_T1R","power"
1,0,"2xAM","Sibship","2-variate",1.0989010989011,"50%"
1,1,"2xAM","Sibship","2-variate",0.97069597069597,"50%"
1,2,"2xAM","Sibship","2-variate",0.842490842490842,"50%"
1,3,"2xAM","Sibship","2-variate",1.06227106227106,"50%"
1,4,"2xAM","Sibship","2-variate",1.19047619047619,"50%"
1,5,"2xAM","Sibship","2-variate",0.87912087912088,"50%"
1,0,"2xAM","Sibship","2-variate",1.11225540679712,"39%"
1,1,"2xAM","Sibship","2-variate",1.09165808444902,"39%"
1,2,"2xAM","Sibship","2-variate",1.11225540679712,"39%"
1,3,"2xAM","Sibship","2-variate",1.08135942327497,"39%"
1,4,"2xAM","Sibship","2-variate",0.895983522142122,"39%"
1,5,"2xAM","Sibship","2-variate",1.26673532440783,"39%"
1,0,"2xAM","Sibship","2-variate",0.574162679425838,"66%"
1,1,"2xAM","Sibship","2-variate",0.861244019138756,"66%"
1,2,"2xAM","Sibship","2-variate",0.76555023923445,"66%"
1,3,"2xAM","Sibship","2-variate",0.813397129186602,"66%"
1,4,"2xAM","Sibship","2-variate",0.669856459330144,"66%"
1,5,"2xAM","Sibship","2-variate",1.10047846889952,"66%"
1,0,"5xAM","Sibship","5-variate",0.894736842105264,"66%"
1,1,"5xAM","Sibship","5-variate",1.19617224880383,"66%"
1,2,"5xAM","Sibship","5-variate",0.880382775119618,"66%"
1,3,"5xAM","Sibship","5-variate",1.00956937799043,"66%"
1,4,"5xAM","Sibship","5-variate",0.961722488038278,"66%"
1,5,"5xAM","Sibship","5-variate",1.0622009569378,"66%"
1,0,"5xAM","Sibship","5-variate",1.08058608058608,"50%"
1,1,"5xAM","Sibship","5-variate",0.996336996336996,"50%"
1,2,"5xAM","Sibship","5-variate",0.989010989010988,"50%"
1,3,"5xAM","Sibship","5-variate",1.01831501831502,"50%"
1,4,"5xAM","Sibship","5-variate",1.02564102564103,"50%"
1,5,"5xAM","Sibship","5-variate",0.985347985347986,"50%"
1,0,"5xAM","Sibship","5-variate",0.985581874356334,"39%"
1,1,"5xAM","Sibship","5-variate",0.99794026776519,"39%"
1,2,"5xAM","Sibship","5-variate",1.05458290422245,"39%"
1,3,"5xAM","Sibship","5-variate",1.00205973223481,"39%"
1,4,"5xAM","Sibship","5-variate",1.00411946446962,"39%"
1,5,"5xAM","Sibship","5-variate",1.02780638516993,"39%"
10,0,"2xAM","Sibship","2-variate",1.04395604395604,"50%"
10,1,"2xAM","Sibship","2-variate",0.934065934065934,"50%"
10,2,"2xAM","Sibship","2-variate",1.37362637362637,"50%"
10,3,"2xAM","Sibship","2-variate",0.915750915750916,"50%"
10,4,"2xAM","Sibship","2-variate",1.0989010989011,"50%"
10,5,"2xAM","Sibship","2-variate",0.732600732600732,"50%"
10,0,"2xAM","Sibship","2-variate",1.13285272914521,"39%"
10,1,"2xAM","Sibship","2-variate",1.04016477857878,"39%"
10,2,"2xAM","Sibship","2-variate",1.02986611740474,"39%"
10,3,"2xAM","Sibship","2-variate",1.1740473738414,"39%"
10,4,"2xAM","Sibship","2-variate",0.875386199794026,"39%"
10,5,"2xAM","Sibship","2-variate",0.9783728115345,"39%"
10,0,"2xAM","Sibship","2-variate",1.00478468899522,"66%"
10,1,"2xAM","Sibship","2-variate",0.90909090909091,"66%"
10,2,"2xAM","Sibship","2-variate",1.00478468899522,"66%"
10,3,"2xAM","Sibship","2-variate",0.430622009569378,"66%"
10,4,"2xAM","Sibship","2-variate",1.24401913875598,"66%"
10,5,"2xAM","Sibship","2-variate",0.956937799043062,"66%"
10,0,"5xAM","Sibship","5-variate",1,"66%"
10,1,"5xAM","Sibship","5-variate",1.00478468899522,"66%"
10,2,"5xAM","Sibship","5-variate",1.0622009569378,"66%"
10,3,"5xAM","Sibship","5-variate",0.961722488038278,"66%"
10,4,"5xAM","Sibship","5-variate",0.937799043062202,"66%"
10,5,"5xAM","Sibship","5-variate",0.947368421052632,"66%"
10,0,"5xAM","Sibship","5-variate",0.928571428571428,"50%"
10,1,"5xAM","Sibship","5-variate",1.12087912087912,"50%"
10,2,"5xAM","Sibship","5-variate",1,"50%"
10,3,"5xAM","Sibship","5-variate",1.04395604395604,"50%"
10,4,"5xAM","Sibship","5-variate",0.99084249084249,"50%"
10,5,"5xAM","Sibship","5-variate",0.957875457875458,"50%"
10,0,"5xAM","Sibship","5-variate",1.0010298661174,"39%"
10,1,"5xAM","Sibship","5-variate",1.00308959835221,"39%"
10,2,"5xAM","Sibship","5-variate",1.02368692070031,"39%"
10,3,"5xAM","Sibship","5-variate",1.00514933058702,"39%"
10,4,"5xAM","Sibship","5-variate",1.01750772399588,"39%"
10,5,"5xAM","Sibship","5-variate",0.954685890834192,"39%"
100,0,"2xAM","Sibship","2-variate",0.952380952380952,"50%"
100,1,"2xAM","Sibship","2-variate",1.28205128205128,"50%"
100,2,"2xAM","Sibship","2-variate",1.31868131868132,"50%"
100,3,"2xAM","Sibship","2-variate",1.15384615384615,"50%"
100,4,"2xAM","Sibship","2-variate",1.02564102564103,"50%"
100,5,"2xAM","Sibship","2-variate",0.97069597069597,"50%"
100,0,"2xAM","Sibship","2-variate",0.834191555097838,"39%"
100,1,"2xAM","Sibship","2-variate",1.16374871266735,"39%"
100,2,"2xAM","Sibship","2-variate",0.968074150360454,"39%"
100,3,"2xAM","Sibship","2-variate",1.12255406797116,"39%"
100,4,"2xAM","Sibship","2-variate",0.885684860968074,"39%"
100,5,"2xAM","Sibship","2-variate",0.998970133882596,"39%"
100,0,"2xAM","Sibship","2-variate",0.813397129186602,"66%"
100,1,"2xAM","Sibship","2-variate",1.05263157894737,"66%"
100,2,"2xAM","Sibship","2-variate",1.38755980861244,"66%"
100,3,"2xAM","Sibship","2-variate",1.00478468899522,"66%"
100,4,"2xAM","Sibship","2-variate",1.00478468899522,"66%"
100,5,"2xAM","Sibship","2-variate",0.813397129186602,"66%"
