"seed","gen","scenario","variable","value","xAM","args_kmate","power"
1,0,"2xAM","h2_true",0.495599954222891,"2-variate xAM",2,"50%"
1,1,"2xAM","h2_true",0.506993813952054,"2-variate xAM",2,"50%"
1,2,"2xAM","h2_true",0.516397266647874,"2-variate xAM",2,"50%"
1,3,"2xAM","h2_true",0.51850596220721,"2-variate xAM",2,"50%"
1,4,"2xAM","h2_true",0.517340831253767,"2-variate xAM",2,"50%"
1,5,"2xAM","h2_true",0.527750345773814,"2-variate xAM",2,"50%"
1,0,"2xAM","h2_true",0.497132339303831,"2-variate xAM",2,"39%"
1,1,"2xAM","h2_true",0.511870822774153,"2-variate xAM",2,"39%"
1,2,"2xAM","h2_true",0.518449622966558,"2-variate xAM",2,"39%"
1,3,"2xAM","h2_true",0.518585746198428,"2-variate xAM",2,"39%"
1,4,"2xAM","h2_true",0.520050079961079,"2-variate xAM",2,"39%"
1,5,"2xAM","h2_true",0.523736659616437,"2-variate xAM",2,"39%"
1,0,"2xAM","h2_true",0.481203464632662,"2-variate xAM",2,"66%"
1,1,"2xAM","h2_true",0.493000796063552,"2-variate xAM",2,"66%"
1,2,"2xAM","h2_true",0.499132977028397,"2-variate xAM",2,"66%"
1,3,"2xAM","h2_true",0.503266798044056,"2-variate xAM",2,"66%"
1,4,"2xAM","h2_true",0.509852962668209,"2-variate xAM",2,"66%"
1,5,"2xAM","h2_true",0.511524555191867,"2-variate xAM",2,"66%"
1,0,"5xAM","h2_true",0.499968919355331,"5-variate xAM",5,"66%"
1,1,"5xAM","h2_true",0.513209805583328,"5-variate xAM",5,"66%"
1,2,"5xAM","h2_true",0.520338030842675,"5-variate xAM",5,"66%"
1,3,"5xAM","h2_true",0.528060186217499,"5-variate xAM",5,"66%"
1,4,"5xAM","h2_true",0.535656083880305,"5-variate xAM",5,"66%"
1,5,"5xAM","h2_true",0.530932533488747,"5-variate xAM",5,"66%"
1,0,"5xAM","h2_true",0.5015402625781,"5-variate xAM",5,"50%"
1,1,"5xAM","h2_true",0.515494353591895,"5-variate xAM",5,"50%"
1,2,"5xAM","h2_true",0.523187649362988,"5-variate xAM",5,"50%"
1,3,"5xAM","h2_true",0.528395365499398,"5-variate xAM",5,"50%"
1,4,"5xAM","h2_true",0.533222059916752,"5-variate xAM",5,"50%"
1,5,"5xAM","h2_true",0.540364340521391,"5-variate xAM",5,"50%"
1,0,"5xAM","h2_true",0.503190812656035,"5-variate xAM",5,"39%"
1,1,"5xAM","h2_true",0.517652068192422,"5-variate xAM",5,"39%"
1,2,"5xAM","h2_true",0.524002155333186,"5-variate xAM",5,"39%"
1,3,"5xAM","h2_true",0.528698287891006,"5-variate xAM",5,"39%"
1,4,"5xAM","h2_true",0.535618766121067,"5-variate xAM",5,"39%"
1,5,"5xAM","h2_true",0.542578307081569,"5-variate xAM",5,"39%"
10,0,"2xAM","h2_true",0.517018339623264,"2-variate xAM",2,"50%"
10,1,"2xAM","h2_true",0.527366343314723,"2-variate xAM",2,"50%"
10,2,"2xAM","h2_true",0.532756681576462,"2-variate xAM",2,"50%"
10,3,"2xAM","h2_true",0.545000890153384,"2-variate xAM",2,"50%"
10,4,"2xAM","h2_true",0.536965426489591,"2-variate xAM",2,"50%"
10,5,"2xAM","h2_true",0.547439712957336,"2-variate xAM",2,"50%"
10,0,"2xAM","h2_true",0.513272259754309,"2-variate xAM",2,"39%"
10,1,"2xAM","h2_true",0.526945382839278,"2-variate xAM",2,"39%"
10,2,"2xAM","h2_true",0.534539791324439,"2-variate xAM",2,"39%"
10,3,"2xAM","h2_true",0.535851495563164,"2-variate xAM",2,"39%"
10,4,"2xAM","h2_true",0.537511469790851,"2-variate xAM",2,"39%"
10,5,"2xAM","h2_true",0.539170885219392,"2-variate xAM",2,"39%"
10,0,"2xAM","h2_true",0.498076097332066,"2-variate xAM",2,"66%"
10,1,"2xAM","h2_true",0.508708725869356,"2-variate xAM",2,"66%"
10,2,"2xAM","h2_true",0.515748724961315,"2-variate xAM",2,"66%"
10,3,"2xAM","h2_true",0.520346775937088,"2-variate xAM",2,"66%"
10,4,"2xAM","h2_true",0.524618967615166,"2-variate xAM",2,"66%"
10,5,"2xAM","h2_true",0.525322658178073,"2-variate xAM",2,"66%"
10,0,"5xAM","h2_true",0.516096893028621,"5-variate xAM",5,"66%"
10,1,"5xAM","h2_true",0.52879259363627,"5-variate xAM",5,"66%"
10,2,"5xAM","h2_true",0.538224503733952,"5-variate xAM",5,"66%"
10,3,"5xAM","h2_true",0.543223839644416,"5-variate xAM",5,"66%"
10,4,"5xAM","h2_true",0.547577653682876,"5-variate xAM",5,"66%"
10,5,"5xAM","h2_true",0.554944880134261,"5-variate xAM",5,"66%"
10,0,"5xAM","h2_true",0.502444661194798,"5-variate xAM",5,"50%"
10,1,"5xAM","h2_true",0.51347469571934,"5-variate xAM",5,"50%"
10,2,"5xAM","h2_true",0.522710552479998,"5-variate xAM",5,"50%"
10,3,"5xAM","h2_true",0.526016241486281,"5-variate xAM",5,"50%"
10,4,"5xAM","h2_true",0.53685402269295,"5-variate xAM",5,"50%"
10,5,"5xAM","h2_true",0.533247529354624,"5-variate xAM",5,"50%"
10,0,"5xAM","h2_true",0.498927615118423,"5-variate xAM",5,"39%"
10,1,"5xAM","h2_true",0.510185344804296,"5-variate xAM",5,"39%"
10,2,"5xAM","h2_true",0.518734568306088,"5-variate xAM",5,"39%"
10,3,"5xAM","h2_true",0.528650280246284,"5-variate xAM",5,"39%"
10,4,"5xAM","h2_true",0.531758157080558,"5-variate xAM",5,"39%"
10,5,"5xAM","h2_true",0.540421367542093,"5-variate xAM",5,"39%"
100,0,"2xAM","h2_true",0.488882737545773,"2-variate xAM",2,"50%"
100,1,"2xAM","h2_true",0.499623012500049,"2-variate xAM",2,"50%"
100,2,"2xAM","h2_true",0.507697156378318,"2-variate xAM",2,"50%"
100,3,"2xAM","h2_true",0.506563633920054,"2-variate xAM",2,"50%"
