"gen","scenario","variable","xAM","mean","sd","se","n"
0,"2xAM","h2_true","2-variate xAM",0.499138106544421,0.0126969199274732,0.000463625963674263,750
1,"2xAM","h2_true","2-variate xAM",0.511319216657154,0.0130052697639523,0.000474885307743769,750
2,"2xAM","h2_true","2-variate xAM",0.518424753601918,0.0132552900649812,0.000484014758324288,750
3,"2xAM","h2_true","2-variate xAM",0.522957471517761,0.0134621289164961,0.000491567445307166,750
4,"2xAM","h2_true","2-variate xAM",0.525591078076721,0.0136536371615259,0.000498560337690569,750
5,"2xAM","h2_true","2-variate xAM",0.527238684564892,0.0143975664825291,0.000525724795710768,750
0,"2xAM","he_h2","2-variate xAM",0.499126282652219,0.0131810352913324,0.000481303357355627,750
1,"2xAM","he_h2","2-variate xAM",0.537931845227877,0.0148539844055446,0.000542390821849785,750
2,"2xAM","he_h2","2-variate xAM",0.563338888049126,0.016388958534808,0.000598440152235411,750
3,"2xAM","he_h2","2-variate xAM",0.579796784023444,0.0175440388638846,0.000640617722366461,750
4,"2xAM","he_h2","2-variate xAM",0.590101963202159,0.019359102014496,0.000706894457758877,750
5,"2xAM","he_h2","2-variate xAM",0.596518447120984,0.0217456510337185,0.000794038906586876,750
0,"5xAM","h2_true","5-variate xAM",0.49929458316644,0.00782620414716085,0.000285772570069365,750
1,"5xAM","h2_true","5-variate xAM",0.511488787404746,0.00802005616004276,0.000292851044754246,750
2,"5xAM","h2_true","5-variate xAM",0.520304327852212,0.00814661064803649,0.000297472161276091,750
3,"5xAM","h2_true","5-variate xAM",0.526631156740724,0.00844226190083371,0.000308267818630204,750
4,"5xAM","h2_true","5-variate xAM",0.531375304908471,0.00859455687789847,0.000313828844919078,750
5,"5xAM","h2_true","5-variate xAM",0.534531532802378,0.00884921416057421,0.000323127614129376,750
0,"5xAM","he_h2","5-variate xAM",0.499333562072118,0.00793196535549472,0.000289634423370263,750
1,"5xAM","he_h2","5-variate xAM",0.541729674482346,0.00928832325187092,0.00033916161109663,750
2,"5xAM","he_h2","5-variate xAM",0.580453647772471,0.0105808545759699,0.000386358181929365,750
3,"5xAM","he_h2","5-variate xAM",0.612840388711294,0.0123390119704109,0.000450557012901353,750
4,"5xAM","he_h2","5-variate xAM",0.638618189652761,0.0133616800221388,0.000487899570286104,750
5,"5xAM","he_h2","5-variate xAM",0.658128500350316,0.0161556229770393,0.000589919942338214,750
