"seed","gen","scenario","variable","value","xAM","args_kmate","power"
1,0,"2xAM","rg_true",0.0030333887440606,"2-variate xAM",2,"50%"
1,1,"2xAM","rg_true",0.0445902878863271,"2-variate xAM",2,"50%"
1,2,"2xAM","rg_true",0.0726230854389442,"2-variate xAM",2,"50%"
1,3,"2xAM","rg_true",0.091659372998831,"2-variate xAM",2,"50%"
1,4,"2xAM","rg_true",0.0927999177036178,"2-variate xAM",2,"50%"
1,5,"2xAM","rg_true",0.100581895258385,"2-variate xAM",2,"50%"
1,0,"2xAM","rg_true",-5.93824119138679e-05,"2-variate xAM",2,"39%"
1,1,"2xAM","rg_true",0.0519441262691441,"2-variate xAM",2,"39%"
1,2,"2xAM","rg_true",0.0703598246465407,"2-variate xAM",2,"39%"
1,3,"2xAM","rg_true",0.0933369154077733,"2-variate xAM",2,"39%"
1,4,"2xAM","rg_true",0.11281680664152,"2-variate xAM",2,"39%"
1,5,"2xAM","rg_true",0.101599000495932,"2-variate xAM",2,"39%"
1,0,"2xAM","rg_true",-0.00163884910385206,"2-variate xAM",2,"66%"
1,1,"2xAM","rg_true",0.0433721529930164,"2-variate xAM",2,"66%"
1,2,"2xAM","rg_true",0.0689153148074932,"2-variate xAM",2,"66%"
1,3,"2xAM","rg_true",0.0881471775335488,"2-variate xAM",2,"66%"
1,4,"2xAM","rg_true",0.0880236171652622,"2-variate xAM",2,"66%"
1,5,"2xAM","rg_true",0.102851909358762,"2-variate xAM",2,"66%"
1,0,"5xAM","rg_true",-1.36401914066107e-07,"5-variate xAM",5,"66%"
1,1,"5xAM","rg_true",0.0473641855162813,"5-variate xAM",5,"66%"
1,2,"5xAM","rg_true",0.0809936096549237,"5-variate xAM",5,"66%"
1,3,"5xAM","rg_true",0.101042252859264,"5-variate xAM",5,"66%"
1,4,"5xAM","rg_true",0.115962680767634,"5-variate xAM",5,"66%"
1,5,"5xAM","rg_true",0.130203495221115,"5-variate xAM",5,"66%"
1,0,"5xAM","rg_true",9.19080855800642e-05,"5-variate xAM",5,"50%"
1,1,"5xAM","rg_true",0.0480257877826543,"5-variate xAM",5,"50%"
1,2,"5xAM","rg_true",0.0807313196774122,"5-variate xAM",5,"50%"
1,3,"5xAM","rg_true",0.104358024427982,"5-variate xAM",5,"50%"
1,4,"5xAM","rg_true",0.120675245783743,"5-variate xAM",5,"50%"
1,5,"5xAM","rg_true",0.136306247968286,"5-variate xAM",5,"50%"
1,0,"5xAM","rg_true",-0.000338826252699145,"5-variate xAM",5,"39%"
1,1,"5xAM","rg_true",0.0469686289690656,"5-variate xAM",5,"39%"
1,2,"5xAM","rg_true",0.0784935062342538,"5-variate xAM",5,"39%"
1,3,"5xAM","rg_true",0.101893993060589,"5-variate xAM",5,"39%"
1,4,"5xAM","rg_true",0.118786226616414,"5-variate xAM",5,"39%"
1,5,"5xAM","rg_true",0.132039608647871,"5-variate xAM",5,"39%"
10,0,"2xAM","rg_true",0.00150497603346006,"2-variate xAM",2,"50%"
10,1,"2xAM","rg_true",0.0485024677741853,"2-variate xAM",2,"50%"
10,2,"2xAM","rg_true",0.0792009748393704,"2-variate xAM",2,"50%"
10,3,"2xAM","rg_true",0.0975576196554759,"2-variate xAM",2,"50%"
10,4,"2xAM","rg_true",0.112944578717861,"2-variate xAM",2,"50%"
10,5,"2xAM","rg_true",0.0942376283971599,"2-variate xAM",2,"50%"
10,0,"2xAM","rg_true",-0.00319376685552364,"2-variate xAM",2,"39%"
10,1,"2xAM","rg_true",0.0443771679756489,"2-variate xAM",2,"39%"
10,2,"2xAM","rg_true",0.0748055839969492,"2-variate xAM",2,"39%"
10,3,"2xAM","rg_true",0.0916587763939825,"2-variate xAM",2,"39%"
10,4,"2xAM","rg_true",0.109586497170387,"2-variate xAM",2,"39%"
10,5,"2xAM","rg_true",0.130245992865228,"2-variate xAM",2,"39%"
10,0,"2xAM","rg_true",-0.00051962319217803,"2-variate xAM",2,"66%"
10,1,"2xAM","rg_true",0.0511183904474744,"2-variate xAM",2,"66%"
10,2,"2xAM","rg_true",0.0765005686335908,"2-variate xAM",2,"66%"
10,3,"2xAM","rg_true",0.0900904811486818,"2-variate xAM",2,"66%"
10,4,"2xAM","rg_true",0.105613555292429,"2-variate xAM",2,"66%"
