"gen","xAM","outcome","pheno_1","pheno_2","value","se"
0,"2-variate","gamma","ADHD","ALC",-0.00148945915150753,0.0971924293681333
1,"2-variate","gamma","ADHD","ALC",0.24548704580328,0.101002701065238
2,"2-variate","gamma","ADHD","ALC",0.40933892691096,0.125577376591148
3,"2-variate","gamma","ADHD","ALC",0.513101343355301,0.130497617730898
4,"2-variate","gamma","ADHD","ALC",0.588483141126909,0.134812966964996
5,"2-variate","gamma","ADHD","ALC",0.608867613998756,0.119511805800941
0,"6-variate","gamma","ADHD","ALC",-0.00148945915150753,0.0971924293681333
1,"6-variate","gamma","ADHD","ALC",0.226791100218694,0.104882933305458
2,"6-variate","gamma","ADHD","ALC",0.448499548294229,0.121658375074251
3,"6-variate","gamma","ADHD","ALC",0.595053721658252,0.123863258640038
4,"6-variate","gamma","ADHD","ALC",0.686095713429986,0.114434531263641
5,"6-variate","gamma","ADHD","ALC",0.747326124562824,0.141974426987056
0,"2-variate","rgHE","ADHD","ALC",-0.000448551215431544,0.0292677527690852
1,"2-variate","rgHE","ADHD","ALC",0.0739240191426318,0.0304151463826048
2,"2-variate","rgHE","ADHD","ALC",0.123265052632603,0.0378153679502074
3,"2-variate","rgHE","ADHD","ALC",0.154511293777433,0.0392970130529321
4,"2-variate","rgHE","ADHD","ALC",0.177211091757611,0.0405965068625038
5,"2-variate","rgHE","ADHD","ALC",0.183349526643405,0.0359888371748337
0,"6-variate","rgHE","ADHD","ALC",-0.000448551215431544,0.0292677527690852
1,"6-variate","rgHE","ADHD","ALC",0.0682940591944831,0.0315836062362653
2,"6-variate","rgHE","ADHD","ALC",0.13505753974154,0.0366352332133538
3,"6-variate","rgHE","ADHD","ALC",0.17918972151746,0.0372991912579705
4,"6-variate","rgHE","ADHD","ALC",0.206605395653126,0.0344599029346812
5,"6-variate","rgHE","ADHD","ALC",0.225043830850135,0.0427530458046297
0,"2-variate","rgtrue","ADHD","ALC",-0.00114045236003145,0.0105860867480705
1,"2-variate","rgtrue","ADHD","ALC",0.0348866664674129,0.0132955590711094
2,"2-variate","rgtrue","ADHD","ALC",0.0614113624011738,0.0155860812472634
3,"2-variate","rgtrue","ADHD","ALC",0.0738353352581355,0.0179371388693016
4,"2-variate","rgtrue","ADHD","ALC",0.0860352391211169,0.0180842908353723
5,"2-variate","rgtrue","ADHD","ALC",0.0916940504926307,0.017120869957665
0,"6-variate","rgtrue","ADHD","ALC",-0.00114045236003145,0.0105860867480705
1,"6-variate","rgtrue","ADHD","ALC",0.0358738368358871,0.0128015879265952
2,"6-variate","rgtrue","ADHD","ALC",0.0622153084490567,0.0153037220434675
3,"6-variate","rgtrue","ADHD","ALC",0.0854576116297168,0.0176894472164863
4,"6-variate","rgtrue","ADHD","ALC",0.0916510274199512,0.0164544207858659
5,"6-variate","rgtrue","ADHD","ALC",0.100516309894726,0.0187298136068667
0,"2-variate","gamma","ADHD","ANX",0.0160791054283573,0.0767584394766351
1,"2-variate","gamma","ADHD","ANX",0.197629667561858,0.0976834800925925
2,"2-variate","gamma","ADHD","ANX",0.350737363748148,0.087158637111327
3,"2-variate","gamma","ADHD","ANX",0.453942547918579,0.109513029175174
4,"2-variate","gamma","ADHD","ANX",0.494056973947154,0.123830534399305
5,"2-variate","gamma","ADHD","ANX",0.535593371531358,0.111272962109924
0,"6-variate","gamma","ADHD","ANX",0.0160791054283573,0.0767584394766351
1,"6-variate","gamma","ADHD","ANX",0.231183348418094,0.0834996184627521
