"gen","xAM","outcome","pheno_1","pheno_2","traits","value","lower","upper","sd","traits2"
0,"2-variate","gamma","ADHD","ALC","ADHD / ALC",-0.00148945915150753,0.102069791556315,-0.135469667222021,0.0971924293681333,"0 / 2-variate / ADHD / ALC"
1,"2-variate","gamma","ADHD","ALC","ADHD / ALC",0.24548704580328,0.36623050018227,0.127004808087752,0.101002701065238,"1 / 2-variate / ADHD / ALC"
3,"2-variate","gamma","ADHD","ALC","ADHD / ALC",0.513101343355301,0.673081152495222,0.327028822661155,0.130497617730898,"2-variate / 3 / ADHD / ALC"
5,"2-variate","gamma","ADHD","ALC","ADHD / ALC",0.608867613998756,0.783006131968453,0.477393668486105,0.119511805800941,"2-variate / 5 / ADHD / ALC"
0,"6-variate","gamma","ADHD","ALC","ADHD / ALC",-0.00148945915150753,0.102069791556315,-0.135469667222021,0.0971924293681333,"0 / 6-variate / ADHD / ALC"
1,"6-variate","gamma","ADHD","ALC","ADHD / ALC",0.226791100218694,0.392729276403304,0.1338602325153,0.104882933305458,"1 / 6-variate / ADHD / ALC"
3,"6-variate","gamma","ADHD","ALC","ADHD / ALC",0.595053721658252,0.715699653677726,0.458821406080532,0.123863258640038,"3 / 6-variate / ADHD / ALC"
5,"6-variate","gamma","ADHD","ALC","ADHD / ALC",0.747326124562824,0.904105512948672,0.601039588507794,0.141974426987056,"5 / 6-variate / ADHD / ALC"
0,"2-variate","gamma","ADHD","ANX","ADHD / ANX",0.0160791054283573,0.0904292743695058,-0.125292937788896,0.0767584394766351,"0 / 2-variate / ADHD / ANX"
1,"2-variate","gamma","ADHD","ANX","ADHD / ANX",0.197629667561858,0.332045612693964,0.105346020978838,0.0976834800925925,"1 / 2-variate / ADHD / ANX"
3,"2-variate","gamma","ADHD","ANX","ADHD / ANX",0.453942547918579,0.559479234410854,0.294825729723221,0.109513029175174,"2-variate / 3 / ADHD / ANX"
5,"2-variate","gamma","ADHD","ANX","ADHD / ANX",0.535593371531358,0.660528529623226,0.401344971301161,0.111272962109924,"2-variate / 5 / ADHD / ANX"
0,"6-variate","gamma","ADHD","ANX","ADHD / ANX",0.0160791054283573,0.0904292743695058,-0.125292937788896,0.0767584394766351,"0 / 6-variate / ADHD / ANX"
1,"6-variate","gamma","ADHD","ANX","ADHD / ANX",0.231183348418094,0.351252129278462,0.104354644787086,0.0834996184627521,"1 / 6-variate / ADHD / ANX"
