"gen","xAM","outcome","pheno_1","pheno_2","value","se","Outcome","Generation"
0,"2-variate","rgHE","ADHD","ALC",-0.000448551215431544,0.0292677527690852,"hat(italic(r))[HE]","0~gen.~xAM"
1,"2-variate","rgHE","ADHD","ALC",0.0739240191426318,0.0304151463826048,"hat(italic(r))[HE]","1~gen.~xAM"
3,"2-variate","rgHE","ADHD","ALC",0.154511293777433,0.0392970130529321,"hat(italic(r))[HE]","3~gen.~xAM"
5,"2-variate","rgHE","ADHD","ALC",0.183349526643405,0.0359888371748337,"hat(italic(r))[HE]","5~gen.~xAM"
0,"2-variate","rgtrue","ADHD","ALC",-0.00114045236003145,0.0105860867480705,"italic(r)[score]","0~gen.~xAM"
1,"2-variate","rgtrue","ADHD","ALC",0.0348866664674129,0.0132955590711094,"italic(r)[score]","1~gen.~xAM"
3,"2-variate","rgtrue","ADHD","ALC",0.0738353352581355,0.0179371388693016,"italic(r)[score]","3~gen.~xAM"
5,"2-variate","rgtrue","ADHD","ALC",0.0916940504926307,0.017120869957665,"italic(r)[score]","5~gen.~xAM"
0,"2-variate","rgHE","ADHD","ANX",0.00558121339939758,0.0266434685456129,"hat(italic(r))[HE]","0~gen.~xAM"
1,"2-variate","rgHE","ADHD","ANX",0.0685988204411964,0.033906719900758,"hat(italic(r))[HE]","1~gen.~xAM"
3,"2-variate","rgHE","ADHD","ANX",0.157567076617696,0.0380128450406969,"hat(italic(r))[HE]","3~gen.~xAM"
5,"2-variate","rgHE","ADHD","ANX",0.185908719332837,0.0386237376860051,"hat(italic(r))[HE]","5~gen.~xAM"
0,"2-variate","rgtrue","ADHD","ANX",0.00129628677736595,0.0115701615160936,"italic(r)[score]","0~gen.~xAM"
1,"2-variate","rgtrue","ADHD","ANX",0.0420248015465027,0.013014654326829,"italic(r)[score]","1~gen.~xAM"
3,"2-variate","rgtrue","ADHD","ANX",0.0760673066314123,0.0176158308314732,"italic(r)[score]","3~gen.~xAM"
5,"2-variate","rgtrue","ADHD","ANX",0.09356121467686,0.0186487556480644,"italic(r)[score]","5~gen.~xAM"
0,"2-variate","rgHE","ALC","ANX",-0.00268102140429899,0.0319663854005563,"hat(italic(r))[HE]","0~gen.~xAM"
1,"2-variate","rgHE","ALC","ANX",0.0320567239839098,0.0335915688338413,"hat(italic(r))[HE]","1~gen.~xAM"
3,"2-variate","rgHE","ALC","ANX",0.0856883486106027,0.0259750895463937,"hat(italic(r))[HE]","3~gen.~xAM"
5,"2-variate","rgHE","ALC","ANX",0.0860287952331363,0.0309502155989881,"hat(italic(r))[HE]","5~gen.~xAM"
