"seed","gen","xAM","dx","value"
1,0,"2-variate","ADHD",0.097125
2,0,"2-variate","ADHD",0.074375
3,0,"2-variate","ADHD",0.0865
4,0,"2-variate","ADHD",0.088
5,0,"2-variate","ADHD",0.087125
6,0,"2-variate","ADHD",0.078375
7,0,"2-variate","ADHD",0.0905
8,0,"2-variate","ADHD",0.093625
9,0,"2-variate","ADHD",0.09775
10,0,"2-variate","ADHD",0.086625
11,0,"2-variate","ADHD",0.08075
12,0,"2-variate","ADHD",0.091
13,0,"2-variate","ADHD",0.089375
14,0,"2-variate","ADHD",0.08525
15,0,"2-variate","ADHD",0.09275
16,0,"2-variate","ADHD",0.08625
17,0,"2-variate","ADHD",0.08075
18,0,"2-variate","ADHD",0.093375
19,0,"2-variate","ADHD",0.08825
20,0,"2-variate","ADHD",0.090375
21,0,"2-variate","ADHD",0.072
22,0,"2-variate","ADHD",0.088375
23,0,"2-variate","ADHD",0.093125
24,0,"2-variate","ADHD",0.08475
25,0,"2-variate","ADHD",0.0845
26,0,"2-variate","ADHD",0.102125
27,0,"2-variate","ADHD",0.089375
28,0,"2-variate","ADHD",0.084875
29,0,"2-variate","ADHD",0.086875
30,0,"2-variate","ADHD",0.091125
31,0,"2-variate","ADHD",0.09075
32,0,"2-variate","ADHD",0.079125
33,0,"2-variate","ADHD",0.096625
34,0,"2-variate","ADHD",0.090625
35,0,"2-variate","ADHD",0.08925
36,0,"2-variate","ADHD",0.079875
37,0,"2-variate","ADHD",0.08925
38,0,"2-variate","ADHD",0.096
39,0,"2-variate","ADHD",0.08525
40,0,"2-variate","ADHD",0.089625
41,0,"2-variate","ADHD",0.08675
42,0,"2-variate","ADHD",0.08075
43,0,"2-variate","ADHD",0.08975
44,0,"2-variate","ADHD",0.08575
45,0,"2-variate","ADHD",0.08325
46,0,"2-variate","ADHD",0.08725
47,0,"2-variate","ADHD",0.095375
48,0,"2-variate","ADHD",0.0865
49,0,"2-variate","ADHD",0.09475
1,1,"2-variate","ADHD",0.10045
2,1,"2-variate","ADHD",0.089475
3,1,"2-variate","ADHD",0.096275
4,1,"2-variate","ADHD",0.092725
5,1,"2-variate","ADHD",0.09305
6,1,"2-variate","ADHD",0.087875
7,1,"2-variate","ADHD",0.103275
8,1,"2-variate","ADHD",0.10775
9,1,"2-variate","ADHD",0.111125
10,1,"2-variate","ADHD",0.095525
11,1,"2-variate","ADHD",0.0951
12,1,"2-variate","ADHD",0.101725
13,1,"2-variate","ADHD",0.09755
14,1,"2-variate","ADHD",0.10045
15,1,"2-variate","ADHD",0.09675
16,1,"2-variate","ADHD",0.0959
17,1,"2-variate","ADHD",0.09275
18,1,"2-variate","ADHD",0.1017
19,1,"2-variate","ADHD",0.0949
20,1,"2-variate","ADHD",0.089
21,1,"2-variate","ADHD",0.088025
22,1,"2-variate","ADHD",0.10185
23,1,"2-variate","ADHD",0.10675
24,1,"2-variate","ADHD",0.09865
25,1,"2-variate","ADHD",0.085675
26,1,"2-variate","ADHD",0.116775
27,1,"2-variate","ADHD",0.10885
28,1,"2-variate","ADHD",0.100425
29,1,"2-variate","ADHD",0.091875
30,1,"2-variate","ADHD",0.09905
31,1,"2-variate","ADHD",0.10095
32,1,"2-variate","ADHD",0.091225
33,1,"2-variate","ADHD",0.10575
34,1,"2-variate","ADHD",0.1015
35,1,"2-variate","ADHD",0.10245
36,1,"2-variate","ADHD",0.08795
37,1,"2-variate","ADHD",0.098975
38,1,"2-variate","ADHD",0.113075
39,1,"2-variate","ADHD",0.0961
40,1,"2-variate","ADHD",0.099125
41,1,"2-variate","ADHD",0.098275
42,1,"2-variate","ADHD",0.0877
43,1,"2-variate","ADHD",0.0997
44,1,"2-variate","ADHD",0.097625
45,1,"2-variate","ADHD",0.086825
46,1,"2-variate","ADHD",0.09755
47,1,"2-variate","ADHD",0.109925
48,1,"2-variate","ADHD",0.09915
49,1,"2-variate","ADHD",0.1185
1,2,"2-variate","ADHD",0.107225
2,2,"2-variate","ADHD",0.101425
3,2,"2-variate","ADHD",0.1066
4,2,"2-variate","ADHD",0.09805
5,2,"2-variate","ADHD",0.09715
6,2,"2-variate","ADHD",0.09395
7,2,"2-variate","ADHD",0.10935
8,2,"2-variate","ADHD",0.116875
9,2,"2-variate","ADHD",0.120975
10,2,"2-variate","ADHD",0.1025
11,2,"2-variate","ADHD",0.103775
12,2,"2-variate","ADHD",0.10805
13,2,"2-variate","ADHD",0.10215
14,2,"2-variate","ADHD",0.1108
15,2,"2-variate","ADHD",0.1007
16,2,"2-variate","ADHD",0.103125
17,2,"2-variate","ADHD",0.097
18,2,"2-variate","ADHD",0.110675
19,2,"2-variate","ADHD",0.096925
20,2,"2-variate","ADHD",0.09645
21,2,"2-variate","ADHD",0.0914
22,2,"2-variate","ADHD",0.10895
23,2,"2-variate","ADHD",0.1173
24,2,"2-variate","ADHD",0.1103
25,2,"2-variate","ADHD",0.095
26,2,"2-variate","ADHD",0.125675
27,2,"2-variate","ADHD",0.1187
28,2,"2-variate","ADHD",0.106775
29,2,"2-variate","ADHD",0.0986
30,2,"2-variate","ADHD",0.1051
31,2,"2-variate","ADHD",0.11015
32,2,"2-variate","ADHD",0.0929
33,2,"2-variate","ADHD",0.11025
34,2,"2-variate","ADHD",0.110675
35,2,"2-variate","ADHD",0.1124
36,2,"2-variate","ADHD",0.092475
37,2,"2-variate","ADHD",0.10285
38,2,"2-variate","ADHD",0.122575
39,2,"2-variate","ADHD",0.105
40,2,"2-variate","ADHD",0.1046
41,2,"2-variate","ADHD",0.108025
42,2,"2-variate","ADHD",0.091925
43,2,"2-variate","ADHD",0.106875
44,2,"2-variate","ADHD",0.104625
45,2,"2-variate","ADHD",0.090175
46,2,"2-variate","ADHD",0.100825
47,2,"2-variate","ADHD",0.120975
48,2,"2-variate","ADHD",0.10985
49,2,"2-variate","ADHD",0.12995
1,3,"2-variate","ADHD",0.110625
2,3,"2-variate","ADHD",0.104825
3,3,"2-variate","ADHD",0.11025
4,3,"2-variate","ADHD",0.1029
5,3,"2-variate","ADHD",0.10115
6,3,"2-variate","ADHD",0.093475
7,3,"2-variate","ADHD",0.11655
8,3,"2-variate","ADHD",0.11855
9,3,"2-variate","ADHD",0.127325
10,3,"2-variate","ADHD",0.106325
11,3,"2-variate","ADHD",0.106925
12,3,"2-variate","ADHD",0.11115
13,3,"2-variate","ADHD",0.1106
14,3,"2-variate","ADHD",0.1146
15,3,"2-variate","ADHD",0.105575
16,3,"2-variate","ADHD",0.1099
17,3,"2-variate","ADHD",0.104575
18,3,"2-variate","ADHD",0.11655
19,3,"2-variate","ADHD",0.099625
20,3,"2-variate","ADHD",0.096875
21,3,"2-variate","ADHD",0.095225
22,3,"2-variate","ADHD",0.113625
23,3,"2-variate","ADHD",0.1232
24,3,"2-variate","ADHD",0.118025
25,3,"2-variate","ADHD",0.092175
26,3,"2-variate","ADHD",0.130625
27,3,"2-variate","ADHD",0.12355
28,3,"2-variate","ADHD",0.1063
29,3,"2-variate","ADHD",0.100925
30,3,"2-variate","ADHD",0.10955
31,3,"2-variate","ADHD",0.120325
32,3,"2-variate","ADHD",0.099875
33,3,"2-variate","ADHD",0.116675
34,3,"2-variate","ADHD",0.11665
35,3,"2-variate","ADHD",0.11515
36,3,"2-variate","ADHD",0.0976
37,3,"2-variate","ADHD",0.1062
38,3,"2-variate","ADHD",0.1279
39,3,"2-variate","ADHD",0.110475
40,3,"2-variate","ADHD",0.11065
41,3,"2-variate","ADHD",0.1142
42,3,"2-variate","ADHD",0.0942
43,3,"2-variate","ADHD",0.113675
44,3,"2-variate","ADHD",0.10945
45,3,"2-variate","ADHD",0.09555
46,3,"2-variate","ADHD",0.1044
47,3,"2-variate","ADHD",0.12645
48,3,"2-variate","ADHD",0.115925
49,3,"2-variate","ADHD",0.1389
1,4,"2-variate","ADHD",0.113575
2,4,"2-variate","ADHD",0.106875
3,4,"2-variate","ADHD",0.11395
4,4,"2-variate","ADHD",0.102425
5,4,"2-variate","ADHD",0.100925
