"seed","gen","variable","value","xAM","GWAS","Trait_1","Trait_2","pair","traits"
1,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0188065067510619,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
2,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.00964481701428658,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
3,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.00793539916389805,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
4,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0178678061026308,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
5,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.00797187334837847,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
6,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.0179543182720147,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
7,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0219135613728417,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
8,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.010362683847308,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
9,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0254317444705748,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
10,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0675171757616541,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
11,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.035361693865895,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
12,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0177095519040544,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
13,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0301404545020795,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
14,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.0335278494956942,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
15,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",-0.00287745046202698,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
16,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.00294783660523986,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
17,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.00589844970666262,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
18,0,"rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype",0.0215235079543043,"2-variate","Population","ADHD","ALC","ADHD  /  ALC","ADHD / ALC"
