"gen","seed","scenario","power","GWAS","relative_T1R"
0,1,"5xAM","66%","Sibship",0.894736842105264
1,1,"5xAM","66%","Sibship",1.19617224880383
2,1,"5xAM","66%","Sibship",0.880382775119618
3,1,"5xAM","66%","Sibship",1.00956937799043
4,1,"5xAM","66%","Sibship",0.961722488038278
5,1,"5xAM","66%","Sibship",1.0622009569378
0,1,"5xAM","50%","Sibship",1.08058608058608
1,1,"5xAM","50%","Sibship",0.996336996336996
2,1,"5xAM","50%","Sibship",0.989010989010988
3,1,"5xAM","50%","Sibship",1.01831501831502
4,1,"5xAM","50%","Sibship",1.02564102564103
5,1,"5xAM","50%","Sibship",0.985347985347986
0,1,"5xAM","39%","Sibship",0.985581874356334
1,1,"5xAM","39%","Sibship",0.99794026776519
2,1,"5xAM","39%","Sibship",1.05458290422245
3,1,"5xAM","39%","Sibship",1.00205973223481
4,1,"5xAM","39%","Sibship",1.00411946446962
5,1,"5xAM","39%","Sibship",1.02780638516993
0,1,"5xAM + GxE","66%","Sibship",0.937799043062202
1,1,"5xAM + GxE","66%","Sibship",0.85645933014354
2,1,"5xAM + GxE","66%","Sibship",0.923444976076556
3,1,"5xAM + GxE","66%","Sibship",1.00478468899522
4,1,"5xAM + GxE","66%","Sibship",0.84688995215311
5,1,"5xAM + GxE","66%","Sibship",0.91866028708134
0,1,"5xAM + GxE","50%","Sibship",0.981684981684982
1,1,"5xAM + GxE","50%","Sibship",1.01831501831502
2,1,"5xAM + GxE","50%","Sibship",1.04212454212454
3,1,"5xAM + GxE","50%","Sibship",1.06043956043956
4,1,"5xAM + GxE","50%","Sibship",0.983516483516484
5,1,"5xAM + GxE","50%","Sibship",1.003663003663
0,1,"5xAM + GxE","39%","Sibship",1.00411946446962
1,1,"5xAM + GxE","39%","Sibship",1.05870236869207
2,1,"5xAM + GxE","39%","Sibship",0.942327497425334
3,1,"5xAM + GxE","39%","Sibship",1.04943357363543
4,1,"5xAM + GxE","39%","Sibship",0.942327497425334
5,1,"5xAM + GxE","39%","Sibship",0.986611740473738
0,1,"5xAM + VT","66%","Sibship",0.875598086124402
1,1,"5xAM + VT","66%","Sibship",0.942583732057416
2,1,"5xAM + VT","66%","Sibship",0.947368421052632
3,1,"5xAM + VT","66%","Sibship",1.05741626794258
4,1,"5xAM + VT","66%","Sibship",1
5,1,"5xAM + VT","66%","Sibship",1.09090909090909
0,1,"5xAM + VT","50%","Sibship",1.0018315018315
1,1,"5xAM + VT","50%","Sibship",1.04578754578755
2,1,"5xAM + VT","50%","Sibship",0.981684981684982
3,1,"5xAM + VT","50%","Sibship",0.976190476190476
4,1,"5xAM + VT","50%","Sibship",1.05128205128205
5,1,"5xAM + VT","50%","Sibship",0.992673992673992
0,1,"5xAM + VT","39%","Sibship",1.06900102986612
1,1,"5xAM + VT","39%","Sibship",0.986611740473738
2,1,"5xAM + VT","39%","Sibship",0.95880535530381
3,1,"5xAM + VT","39%","Sibship",0.974253347064882
4,1,"5xAM + VT","39%","Sibship",1.01441812564367
5,1,"5xAM + VT","39%","Sibship",0.993820803295572
0,1,"5xAM + VT + GxE","66%","Sibship",0.966507177033492
1,1,"5xAM + VT + GxE","66%","Sibship",1.04784688995215
2,1,"5xAM + VT + GxE","66%","Sibship",0.995215311004784
3,1,"5xAM + VT + GxE","66%","Sibship",1.0622009569378
4,1,"5xAM + VT + GxE","66%","Sibship",0.933014354066986
5,1,"5xAM + VT + GxE","66%","Sibship",0.956937799043062
0,1,"5xAM + VT + GxE","50%","Sibship",1.01282051282051
1,1,"5xAM + VT + GxE","50%","Sibship",0.976190476190476
2,1,"5xAM + VT + GxE","50%","Sibship",0.97985347985348
3,1,"5xAM + VT + GxE","50%","Sibship",1.05677655677656
4,1,"5xAM + VT + GxE","50%","Sibship",1.03846153846154
5,1,"5xAM + VT + GxE","50%","Sibship",0.998168498168498
0,1,"5xAM + VT + GxE","39%","Sibship",1.03913491246138
1,1,"5xAM + VT + GxE","39%","Sibship",1.0442842430484
2,1,"5xAM + VT + GxE","39%","Sibship",0.916580844490216
3,1,"5xAM + VT + GxE","39%","Sibship",1.00308959835221
4,1,"5xAM + VT + GxE","39%","Sibship",0.98249227600412
5,1,"5xAM + VT + GxE","39%","Sibship",1.02574665293512
0,10,"5xAM","66%","Sibship",1
1,10,"5xAM","66%","Sibship",1.00478468899522
2,10,"5xAM","66%","Sibship",1.0622009569378
3,10,"5xAM","66%","Sibship",0.961722488038278
4,10,"5xAM","66%","Sibship",0.937799043062202
5,10,"5xAM","66%","Sibship",0.947368421052632
0,10,"5xAM","50%","Sibship",0.928571428571428
1,10,"5xAM","50%","Sibship",1.12087912087912
2,10,"5xAM","50%","Sibship",1
3,10,"5xAM","50%","Sibship",1.04395604395604
4,10,"5xAM","50%","Sibship",0.99084249084249
5,10,"5xAM","50%","Sibship",0.957875457875458
0,10,"5xAM","39%","Sibship",1.0010298661174
1,10,"5xAM","39%","Sibship",1.00308959835221
2,10,"5xAM","39%","Sibship",1.02368692070031
3,10,"5xAM","39%","Sibship",1.00514933058702
4,10,"5xAM","39%","Sibship",1.01750772399588
5,10,"5xAM","39%","Sibship",0.954685890834192
0,10,"5xAM + GxE","66%","Sibship",1
1,10,"5xAM + GxE","66%","Sibship",0.952153110047846
2,10,"5xAM + GxE","66%","Sibship",1.0622009569378
