"gen","seed","scenario","variable","var_label","value","intercept"
0,1,"5xAM","h2_he","hat(italic(h))^2",0.497469258308411,0.5
1,1,"5xAM","h2_he","hat(italic(h))^2",0.542695534229279,0.5
2,1,"5xAM","h2_he","hat(italic(h))^2",0.579400444030762,0.5
3,1,"5xAM","h2_he","hat(italic(h))^2",0.609021079540253,0.5
4,1,"5xAM","h2_he","hat(italic(h))^2",0.631903898715973,0.5
5,1,"5xAM","h2_he","hat(italic(h))^2",0.660641956329346,0.5
0,1,"5xAM","h2_he","hat(italic(h))^2",0.504416215419769,0.5
1,1,"5xAM","h2_he","hat(italic(h))^2",0.544785904884338,0.5
2,1,"5xAM","h2_he","hat(italic(h))^2",0.583781611919403,0.5
3,1,"5xAM","h2_he","hat(italic(h))^2",0.614628803730011,0.5
4,1,"5xAM","h2_he","hat(italic(h))^2",0.651232600212097,0.5
5,1,"5xAM","h2_he","hat(italic(h))^2",0.66777595281601,0.5
0,1,"5xAM","h2_he","hat(italic(h))^2",0.504218542575836,0.5
1,1,"5xAM","h2_he","hat(italic(h))^2",0.54480756521225,0.5
2,1,"5xAM","h2_he","hat(italic(h))^2",0.581139659881592,0.5
3,1,"5xAM","h2_he","hat(italic(h))^2",0.610415172576904,0.5
4,1,"5xAM","h2_he","hat(italic(h))^2",0.648208701610565,0.5
5,1,"5xAM","h2_he","hat(italic(h))^2",0.660787355899811,0.5
0,1,"5xAM + GxE","h2_he","hat(italic(h))^2",0.498603516817093,0.5
1,1,"5xAM + GxE","h2_he","hat(italic(h))^2",0.539428281784058,0.5
2,1,"5xAM + GxE","h2_he","hat(italic(h))^2",0.577972745895386,0.5
3,1,"5xAM + GxE","h2_he","hat(italic(h))^2",0.622857582569122,0.5
4,1,"5xAM + GxE","h2_he","hat(italic(h))^2",0.64074695110321,0.5
5,1,"5xAM + GxE","h2_he","hat(italic(h))^2",0.651962316036224,0.5
0,1,"5xAM + GxE","h2_he","hat(italic(h))^2",0.504284316301346,0.5
1,1,"5xAM + GxE","h2_he","hat(italic(h))^2",0.544675385951996,0.5
2,1,"5xAM + GxE","h2_he","hat(italic(h))^2",0.583512532711029,0.5
3,1,"5xAM + GxE","h2_he","hat(italic(h))^2",0.612472152709961,0.5
4,1,"5xAM + GxE","h2_he","hat(italic(h))^2",0.629338347911835,0.5
5,1,"5xAM + GxE","h2_he","hat(italic(h))^2",0.650494122505188,0.5
0,1,"5xAM + GxE","h2_he","hat(italic(h))^2",0.507139277458191,0.5
1,1,"5xAM + GxE","h2_he","hat(italic(h))^2",0.548921918869019,0.5
2,1,"5xAM + GxE","h2_he","hat(italic(h))^2",0.58631204366684,0.5
3,1,"5xAM + GxE","h2_he","hat(italic(h))^2",0.615965914726257,0.5
4,1,"5xAM + GxE","h2_he","hat(italic(h))^2",0.657099139690399,0.5
5,1,"5xAM + GxE","h2_he","hat(italic(h))^2",0.66500860452652,0.5
0,1,"5xAM + VT","h2_he","hat(italic(h))^2",0.496069574356079,0.5
1,1,"5xAM + VT","h2_he","hat(italic(h))^2",0.604783940315247,0.5
2,1,"5xAM + VT","h2_he","hat(italic(h))^2",0.670586514472961,0.5
3,1,"5xAM + VT","h2_he","hat(italic(h))^2",0.704310929775238,0.5
4,1,"5xAM + VT","h2_he","hat(italic(h))^2",0.723518526554108,0.5
5,1,"5xAM + VT","h2_he","hat(italic(h))^2",0.74921281337738,0.5
0,1,"5xAM + VT","h2_he","hat(italic(h))^2",0.501471477746964,0.5
1,1,"5xAM + VT","h2_he","hat(italic(h))^2",0.606751644611359,0.5
2,1,"5xAM + VT","h2_he","hat(italic(h))^2",0.689772117137909,0.5
3,1,"5xAM + VT","h2_he","hat(italic(h))^2",0.727361047267914,0.5
4,1,"5xAM + VT","h2_he","hat(italic(h))^2",0.744754278659821,0.5
5,1,"5xAM + VT","h2_he","hat(italic(h))^2",0.755325186252594,0.5
0,1,"5xAM + VT","h2_he","hat(italic(h))^2",0.503541320562363,0.5
1,1,"5xAM + VT","h2_he","hat(italic(h))^2",0.61343686580658,0.5
2,1,"5xAM + VT","h2_he","hat(italic(h))^2",0.690010738372803,0.5
3,1,"5xAM + VT","h2_he","hat(italic(h))^2",0.726577687263489,0.5
4,1,"5xAM + VT","h2_he","hat(italic(h))^2",0.746286022663116,0.5
5,1,"5xAM + VT","h2_he","hat(italic(h))^2",0.749231398105621,0.5
0,1,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.500211805105209,0.5
1,1,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.598596477508545,0.5
2,1,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.655539214611053,0.5
3,1,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.692510998249054,0.5
4,1,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.70383266210556,0.5
5,1,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.708750712871552,0.5
0,1,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.503793758153915,0.5
1,1,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.60302529335022,0.5
2,1,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.665536820888519,0.5
3,1,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.701162326335907,0.5
4,1,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.716769087314606,0.5
5,1,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.698182535171509,0.5
0,1,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.502125477790832,0.5
1,1,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.60482314825058,0.5
2,1,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.672933733463287,0.5
3,1,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.703054761886597,0.5
4,1,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.708844470977783,0.5
5,1,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.695554149150848,0.5
0,10,"5xAM","h2_he","hat(italic(h))^2",0.515908670425415,0.5
1,10,"5xAM","h2_he","hat(italic(h))^2",0.559111261367798,0.5
2,10,"5xAM","h2_he","hat(italic(h))^2",0.606659996509552,0.5
3,10,"5xAM","h2_he","hat(italic(h))^2",0.638187348842621,0.5
4,10,"5xAM","h2_he","hat(italic(h))^2",0.65388058423996,0.5
5,10,"5xAM","h2_he","hat(italic(h))^2",0.676941180229187,0.5
0,10,"5xAM","h2_he","hat(italic(h))^2",0.503548693656921,0.5
1,10,"5xAM","h2_he","hat(italic(h))^2",0.546669340133667,0.5
2,10,"5xAM","h2_he","hat(italic(h))^2",0.591145956516266,0.5
3,10,"5xAM","h2_he","hat(italic(h))^2",0.61276136636734,0.5
4,10,"5xAM","h2_he","hat(italic(h))^2",0.644303023815155,0.5
5,10,"5xAM","h2_he","hat(italic(h))^2",0.667801058292389,0.5
0,10,"5xAM","h2_he","hat(italic(h))^2",0.498844194412231,0.5
1,10,"5xAM","h2_he","hat(italic(h))^2",0.545433664321899,0.5
2,10,"5xAM","h2_he","hat(italic(h))^2",0.579596984386444,0.5
3,10,"5xAM","h2_he","hat(italic(h))^2",0.61048755645752,0.5
4,10,"5xAM","h2_he","hat(italic(h))^2",0.639103102684021,0.5
5,10,"5xAM","h2_he","hat(italic(h))^2",0.666480123996735,0.5
0,10,"5xAM + GxE","h2_he","hat(italic(h))^2",0.517695790529251,0.5
