"gen","seed","scenario","variable","var_label","value","intercept"
0,1,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.000535703781033532,0
1,1,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.101224516520824,0
2,1,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.178068582086926,0
3,1,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.222501852591856,0
4,1,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.267398984678653,0
5,1,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.287741200735651,0
0,1,"5xAM","rbeta_HE","hat(italic(r))[beta]",-0.000286340152158701,0
1,1,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.103571247913445,0
2,1,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.177550624934644,0
3,1,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.235630378374878,0
4,1,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.273422798843106,0
5,1,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.311492208487093,0
0,1,"5xAM","rbeta_HE","hat(italic(r))[beta]",-0.00140564768094659,0
1,1,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.0999947283989946,0
2,1,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.170178904619336,0
3,1,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.218472832038277,0
4,1,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.26032475556244,0
5,1,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.290485446503568,0
0,1,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.000967394777637008,0
1,1,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.102115049983703,0
2,1,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.181159705576525,0
3,1,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.239103553852035,0
4,1,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.273614110827297,0
5,1,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.296439776360096,0
0,1,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",-0.00505869243159071,0
1,1,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.0952757668177998,0
2,1,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.175623732170501,0
3,1,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.22765854421888,0
4,1,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.26684367526851,0
5,1,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.312253261563841,0
0,1,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",-0.00143433490678801,0
1,1,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.106090578824103,0
2,1,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.1778965585798,0
3,1,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.235160256103003,0
4,1,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.285414440484619,0
5,1,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.305641491403348,0
0,1,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",-0.000255831316511731,0
1,1,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.313285752157174,0
2,1,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.447460636935829,0
3,1,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.506127632912968,0
4,1,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.54179105421628,0
5,1,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.564027379239629,0
0,1,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",-0.000424632854172776,0
1,1,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.315613673483133,0
2,1,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.465073333444818,0
3,1,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.517663920299235,0
4,1,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.550743139187709,0
5,1,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.550754977770611,0
0,1,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.000539381388698812,0
1,1,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.316846879104253,0
2,1,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.460065134865058,0
3,1,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.515475542877107,0
4,1,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.542538399178155,0
5,1,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.544592897119506,0
0,1,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",-0.000916667371649299,0
1,1,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.31391267014264,0
2,1,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.461109753210553,0
3,1,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.529978540722898,0
4,1,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.572636205600755,0
5,1,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.58753761316822,0
0,1,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",-0.000793689137273079,0
1,1,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.31810721179162,0
2,1,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.464204859894096,0
3,1,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.533680872495335,0
4,1,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.573496182229082,0
5,1,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.604686107631648,0
0,1,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",-0.00171981550722884,0
1,1,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.322025851222075,0
2,1,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.474725437431124,0
3,1,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.52981283572339,0
4,1,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.574785829066951,0
5,1,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.583701609266821,0
0,10,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.00345791362921032,0
1,10,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.110174817967759,0
2,10,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.188547675968112,0
3,10,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.243714006646036,0
4,10,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.271703111004431,0
5,10,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.297705596999868,0
0,10,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.00123237560298327,0
1,10,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.0964673632109229,0
2,10,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.170040683661627,0
3,10,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.228020656510251,0
4,10,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.276322400305936,0
5,10,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.291046608982912,0
0,10,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.000778944557781073,0
1,10,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.10344814572294,0
