"gen","Outcome","Quantity","median_value","mean_value","sd_value","n"
0,"edu","h2_HE",4.83890980831347e-05,3.25209008201455e-05,0.000163400752663212,100
1,"edu","h2_HE",0.00363315420690924,0.00364324529422447,0.000485106658412746,100
2,"edu","h2_HE",0.00972986128181219,0.00965562901925296,0.0010513364316823,100
3,"edu","h2_HE",0.0149259748868644,0.014874883973971,0.00203014311310012,100
4,"edu","h2_HE",0.0178864477202296,0.01804005227983,0.00305266504262417,100
5,"edu","h2_HE",0.0218291208148003,0.0213414831738919,0.00630134323954353,100
0,"height","h2_HE",0.600577235221863,0.600806294083595,0.0126714895225787,100
1,"height","h2_HE",0.646854132413864,0.647111465930939,0.0133881289385432,100
2,"height","h2_HE",0.678690254688263,0.680509825944901,0.0143136857370709,100
3,"height","h2_HE",0.700686544179916,0.700694681406021,0.0156925112750607,100
4,"height","h2_HE",0.715816408395767,0.715114567279816,0.0193248783470817,100
5,"height","h2_HE",0.723854541778564,0.724313380122185,0.0203235886603614,100
0,"wealth","h2_HE",-6.78285186950234e-06,3.25050322317111e-06,0.000148024931886079,100
1,"wealth","h2_HE",0.00523638119921088,0.00529589261626825,0.000524031726690258,100
2,"wealth","h2_HE",0.0135041354224086,0.0136414947733283,0.00117886572686192,100
3,"wealth","h2_HE",0.0207372838631272,0.0208231799677014,0.00206818827678878,100
4,"wealth","h2_HE",0.0261792866513133,0.0260179985500872,0.00288289788843771,100
5,"wealth","h2_HE",0.0285586826503277,0.029344690060243,0.0061260908550464,100
0,"edu","h2_true",0,0,0,100
1,"edu","h2_true",0,0,0,100
2,"edu","h2_true",0,0,0,100
3,"edu","h2_true",0,0,0,100
4,"edu","h2_true",0,0,0,100
5,"edu","h2_true",0,0,0,100
0,"height","h2_true",0.602101232689667,0.602109794828027,0.0232662332789833,100
1,"height","h2_true",0.594044619375887,0.593506440558579,0.0229213851744626,100
2,"height","h2_true",0.591054201632922,0.591262205071348,0.0223613732894779,100
3,"height","h2_true",0.589325333106735,0.590068677979061,0.0228973715636059,100
4,"height","h2_true",0.590030643643705,0.589391945561822,0.0236361916726757,100
5,"height","h2_true",0.588187405647886,0.589529400839012,0.0245528322021904,100
0,"wealth","h2_true",-9.78837218418982e-08,-1.08922637621005e-07,9.74522971724351e-07,100
1,"wealth","h2_true",-2.64851615929916e-07,-1.90830786560648e-07,9.78225591964425e-07,100
2,"wealth","h2_true",-1.09431045800868e-08,7.08740008727747e-08,1.0005482334553e-06,100
3,"wealth","h2_true",8.97375912899031e-08,3.93582665592502e-08,8.78385223801565e-07,100
4,"wealth","h2_true",5.22886740607453e-08,5.67605346416426e-08,1.03248655312138e-06,100
5,"wealth","h2_true",-8.18223606414404e-08,-1.5106972550189e-08,1.04634904535342e-06,100
3,"edu","PGI_R2",0.000117285511191013,0.000117285511191013,2.4473922908206e-05,2
0,"height","PGI_R2",0.39536745794345,0.393446632635652,0.0153572036796634,100
1,"height","PGI_R2",0.422736836803044,0.422935855689271,0.0148523212520048,100
2,"height","PGI_R2",0.443043343461232,0.442931074615397,0.0149367787955907,100
3,"height","PGI_R2",0.454167820697386,0.455852981178426,0.0142736661280483,100
4,"height","PGI_R2",0.306942246936148,0.308373094802234,0.0198580360646092,100
5,"height","PGI_R2",0.138432530567078,0.138153614086639,0.0221404971381136,100
3,"wealth","PGI_R2",0.000317369944803086,0.000317369944803086,NA,1
