"seed","gen","variable","value","Outcome","Quantity"
1,0,"h2HE_height",0.608530104160309,"height","h2_HE"
1,1,"h2HE_height",0.662473022937775,"height","h2_HE"
1,2,"h2HE_height",0.697884261608124,"height","h2_HE"
1,3,"h2HE_height",0.719305694103241,"height","h2_HE"
1,4,"h2HE_height",0.728838682174683,"height","h2_HE"
1,5,"h2HE_height",0.732837736606598,"height","h2_HE"
10,0,"h2HE_height",0.576943755149841,"height","h2_HE"
10,1,"h2HE_height",0.621593475341797,"height","h2_HE"
10,2,"h2HE_height",0.659159660339355,"height","h2_HE"
10,3,"h2HE_height",0.681403636932373,"height","h2_HE"
10,4,"h2HE_height",0.703462481498718,"height","h2_HE"
10,5,"h2HE_height",0.72783762216568,"height","h2_HE"
100,0,"h2HE_height",0.608014702796936,"height","h2_HE"
100,1,"h2HE_height",0.654339075088501,"height","h2_HE"
100,2,"h2HE_height",0.671287655830383,"height","h2_HE"
100,3,"h2HE_height",0.703880906105042,"height","h2_HE"
100,4,"h2HE_height",0.728386461734772,"height","h2_HE"
100,5,"h2HE_height",0.76500803232193,"height","h2_HE"
11,0,"h2HE_height",0.58460396528244,"height","h2_HE"
11,1,"h2HE_height",0.62527197599411,"height","h2_HE"
11,2,"h2HE_height",0.671122372150421,"height","h2_HE"
11,3,"h2HE_height",0.680444300174713,"height","h2_HE"
11,4,"h2HE_height",0.717905282974243,"height","h2_HE"
11,5,"h2HE_height",0.714727759361267,"height","h2_HE"
12,0,"h2HE_height",0.59670877456665,"height","h2_HE"
12,1,"h2HE_height",0.643115639686584,"height","h2_HE"
12,2,"h2HE_height",0.674477398395538,"height","h2_HE"
12,3,"h2HE_height",0.705892562866211,"height","h2_HE"
12,4,"h2HE_height",0.72560316324234,"height","h2_HE"
12,5,"h2HE_height",0.719795942306519,"height","h2_HE"
13,0,"h2HE_height",0.626494705677032,"height","h2_HE"
13,1,"h2HE_height",0.68019437789917,"height","h2_HE"
13,2,"h2HE_height",0.710383951663971,"height","h2_HE"
13,3,"h2HE_height",0.73095965385437,"height","h2_HE"
13,4,"h2HE_height",0.723825514316559,"height","h2_HE"
13,5,"h2HE_height",0.732949674129486,"height","h2_HE"
14,0,"h2HE_height",0.606379389762878,"height","h2_HE"
14,1,"h2HE_height",0.649556756019592,"height","h2_HE"
14,2,"h2HE_height",0.690173387527466,"height","h2_HE"
14,3,"h2HE_height",0.703880429267883,"height","h2_HE"
14,4,"h2HE_height",0.712194263935089,"height","h2_HE"
14,5,"h2HE_height",0.748659431934357,"height","h2_HE"
15,0,"h2HE_height",0.625366866588593,"height","h2_HE"
15,1,"h2HE_height",0.662432372570038,"height","h2_HE"
15,2,"h2HE_height",0.698430418968201,"height","h2_HE"
15,3,"h2HE_height",0.710742235183716,"height","h2_HE"
15,4,"h2HE_height",0.744326293468475,"height","h2_HE"
15,5,"h2HE_height",0.750114679336548,"height","h2_HE"
16,0,"h2HE_height",0.609716057777405,"height","h2_HE"
16,1,"h2HE_height",0.663464665412903,"height","h2_HE"
16,2,"h2HE_height",0.694223701953888,"height","h2_HE"
16,3,"h2HE_height",0.721109926700592,"height","h2_HE"
16,4,"h2HE_height",0.741700410842896,"height","h2_HE"
16,5,"h2HE_height",0.753512382507324,"height","h2_HE"
17,0,"h2HE_height",0.606058537960052,"height","h2_HE"
17,1,"h2HE_height",0.643242537975311,"height","h2_HE"
17,2,"h2HE_height",0.678700506687164,"height","h2_HE"
17,3,"h2HE_height",0.701246440410614,"height","h2_HE"
17,4,"h2HE_height",0.72467029094696,"height","h2_HE"
17,5,"h2HE_height",0.748621881008148,"height","h2_HE"
18,0,"h2HE_height",0.621747314929962,"height","h2_HE"
18,1,"h2HE_height",0.659207940101624,"height","h2_HE"
18,2,"h2HE_height",0.695713520050049,"height","h2_HE"
18,3,"h2HE_height",0.716703653335571,"height","h2_HE"
18,4,"h2HE_height",0.730123519897461,"height","h2_HE"
18,5,"h2HE_height",0.748745083808899,"height","h2_HE"
19,0,"h2HE_height",0.596900641918182,"height","h2_HE"
19,1,"h2HE_height",0.641584992408752,"height","h2_HE"
19,2,"h2HE_height",0.676668703556061,"height","h2_HE"
19,3,"h2HE_height",0.689690172672272,"height","h2_HE"
19,4,"h2HE_height",0.690217196941376,"height","h2_HE"
19,5,"h2HE_height",0.705480337142944,"height","h2_HE"
2,0,"h2HE_height",0.593329012393951,"height","h2_HE"
2,1,"h2HE_height",0.631112575531006,"height","h2_HE"
2,2,"h2HE_height",0.668880581855774,"height","h2_HE"
2,3,"h2HE_height",0.68158358335495,"height","h2_HE"
2,4,"h2HE_height",0.715613186359406,"height","h2_HE"
2,5,"h2HE_height",0.72968989610672,"height","h2_HE"
20,0,"h2HE_height",0.595498859882355,"height","h2_HE"
20,1,"h2HE_height",0.641745567321777,"height","h2_HE"
20,2,"h2HE_height",0.684945046901703,"height","h2_HE"
20,3,"h2HE_height",0.712071418762207,"height","h2_HE"
20,4,"h2HE_height",0.710373997688293,"height","h2_HE"
20,5,"h2HE_height",0.710416972637177,"height","h2_HE"
21,0,"h2HE_height",0.613086104393005,"height","h2_HE"
21,1,"h2HE_height",0.664292514324188,"height","h2_HE"
21,2,"h2HE_height",0.691365003585815,"height","h2_HE"
21,3,"h2HE_height",0.720016002655029,"height","h2_HE"
21,4,"h2HE_height",0.7188321352005,"height","h2_HE"
21,5,"h2HE_height",0.758837282657623,"height","h2_HE"
22,0,"h2HE_height",0.593950271606445,"height","h2_HE"
22,1,"h2HE_height",0.641856133937836,"height","h2_HE"
22,2,"h2HE_height",0.669966220855713,"height","h2_HE"
22,3,"h2HE_height",0.69572377204895,"height","h2_HE"
22,4,"h2HE_height",0.698644280433655,"height","h2_HE"
22,5,"h2HE_height",0.717071771621704,"height","h2_HE"
23,0,"h2HE_height",0.610239446163177,"height","h2_HE"
23,1,"h2HE_height",0.663482010364532,"height","h2_HE"
23,2,"h2HE_height",0.691092669963837,"height","h2_HE"
23,3,"h2HE_height",0.702137768268585,"height","h2_HE"
23,4,"h2HE_height",0.726194739341736,"height","h2_HE"
23,5,"h2HE_height",0.722688436508179,"height","h2_HE"
24,0,"h2HE_height",0.600773096084595,"height","h2_HE"
24,1,"h2HE_height",0.639909684658051,"height","h2_HE"
24,2,"h2HE_height",0.66791969537735,"height","h2_HE"
24,3,"h2HE_height",0.694844722747803,"height","h2_HE"
24,4,"h2HE_height",0.705324709415436,"height","h2_HE"
24,5,"h2HE_height",0.723789215087891,"height","h2_HE"
25,0,"h2HE_height",0.591769695281982,"height","h2_HE"
25,1,"h2HE_height",0.642491459846497,"height","h2_HE"
25,2,"h2HE_height",0.678151786327362,"height","h2_HE"
25,3,"h2HE_height",0.683644652366638,"height","h2_HE"
25,4,"h2HE_height",0.69493842124939,"height","h2_HE"
25,5,"h2HE_height",0.724305391311646,"height","h2_HE"
26,0,"h2HE_height",0.594144880771637,"height","h2_HE"
26,1,"h2HE_height",0.642571806907654,"height","h2_HE"
26,2,"h2HE_height",0.675979435443878,"height","h2_HE"
26,3,"h2HE_height",0.687479078769684,"height","h2_HE"
26,4,"h2HE_height",0.720115065574646,"height","h2_HE"
26,5,"h2HE_height",0.704952418804169,"height","h2_HE"
27,0,"h2HE_height",0.59757125377655,"height","h2_HE"
27,1,"h2HE_height",0.639833569526672,"height","h2_HE"
27,2,"h2HE_height",0.670361578464508,"height","h2_HE"
27,3,"h2HE_height",0.699537456035614,"height","h2_HE"
27,4,"h2HE_height",0.716299533843994,"height","h2_HE"
27,5,"h2HE_height",0.704811275005341,"height","h2_HE"
28,0,"h2HE_height",0.583039343357086,"height","h2_HE"
28,1,"h2HE_height",0.630593121051788,"height","h2_HE"
28,2,"h2HE_height",0.65800267457962,"height","h2_HE"
28,3,"h2HE_height",0.675653040409088,"height","h2_HE"
28,4,"h2HE_height",0.674087107181549,"height","h2_HE"
28,5,"h2HE_height",0.706676125526428,"height","h2_HE"
29,0,"h2HE_height",0.590973794460297,"height","h2_HE"
29,1,"h2HE_height",0.645422458648682,"height","h2_HE"
29,2,"h2HE_height",0.685768723487854,"height","h2_HE"
29,3,"h2HE_height",0.711760759353638,"height","h2_HE"
29,4,"h2HE_height",0.73812597990036,"height","h2_HE"
29,5,"h2HE_height",0.69221156835556,"height","h2_HE"
3,0,"h2HE_height",0.617055654525757,"height","h2_HE"
3,1,"h2HE_height",0.665354609489441,"height","h2_HE"
3,2,"h2HE_height",0.693038523197174,"height","h2_HE"
3,3,"h2HE_height",0.704327702522278,"height","h2_HE"
3,4,"h2HE_height",0.720643043518066,"height","h2_HE"
3,5,"h2HE_height",0.725692093372345,"height","h2_HE"
30,0,"h2HE_height",0.593512296676636,"height","h2_HE"
30,1,"h2HE_height",0.641836285591125,"height","h2_HE"
30,2,"h2HE_height",0.664839148521423,"height","h2_HE"
30,3,"h2HE_height",0.675951838493347,"height","h2_HE"
30,4,"h2HE_height",0.724473536014557,"height","h2_HE"
30,5,"h2HE_height",0.710923492908478,"height","h2_HE"
31,0,"h2HE_height",0.605509459972382,"height","h2_HE"
