"seed","gen","variable","value","type","traits"
1,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0,"rgHE","edu / height"
1,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.00002484643095,"rgHE","edu / height"
1,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.996572115730565,"rgHE","edu / height"
1,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.980275322217661,"rgHE","edu / height"
1,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.03928741701201,"rgHE","edu / height"
1,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.0126472326943,"rgHE","edu / height"
10,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0,"rgHE","edu / height"
10,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.954775447356766,"rgHE","edu / height"
10,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.972302830869546,"rgHE","edu / height"
10,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.12833931974219,"rgHE","edu / height"
10,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.15723910445825,"rgHE","edu / height"
10,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.06507903516104,"rgHE","edu / height"
100,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0,"rgHE","edu / height"
100,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.02147865216297,"rgHE","edu / height"
100,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.998887912750229,"rgHE","edu / height"
100,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.944544988095084,"rgHE","edu / height"
100,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.01678800342266,"rgHE","edu / height"
100,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.998993634218583,"rgHE","edu / height"
11,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",-0.0676023710320112,"rgHE","edu / height"
11,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.00875534226677,"rgHE","edu / height"
11,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.00104810321665,"rgHE","edu / height"
11,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.01213708437264,"rgHE","edu / height"
11,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.03848720185256,"rgHE","edu / height"
11,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.14027141253052,"rgHE","edu / height"
12,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.098953316880371,"rgHE","edu / height"
12,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.977017521907765,"rgHE","edu / height"
12,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.972263910078424,"rgHE","edu / height"
12,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.919065326844822,"rgHE","edu / height"
12,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.04799792417936,"rgHE","edu / height"
12,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.839846291592761,"rgHE","edu / height"
13,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",-0.456994030768634,"rgHE","edu / height"
13,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.969774419577536,"rgHE","edu / height"
13,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.973140836622342,"rgHE","edu / height"
13,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.996936996238035,"rgHE","edu / height"
13,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.00155379885849,"rgHE","edu / height"
13,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.997974181937416,"rgHE","edu / height"
14,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.188195692946359,"rgHE","edu / height"
14,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.05621634560476,"rgHE","edu / height"
14,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.946877587172474,"rgHE","edu / height"
14,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.00110466517063,"rgHE","edu / height"
14,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.997720734076496,"rgHE","edu / height"
14,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.846455474013113,"rgHE","edu / height"
15,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0,"rgHE","edu / height"
15,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.94510443148263,"rgHE","edu / height"
15,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.976223816766636,"rgHE","edu / height"
15,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.960429301560192,"rgHE","edu / height"
15,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.04085384873522,"rgHE","edu / height"
15,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.19704249275677,"rgHE","edu / height"
16,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0,"rgHE","edu / height"
16,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.96305861207295,"rgHE","edu / height"
16,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.02802439129908,"rgHE","edu / height"
16,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.987324443158133,"rgHE","edu / height"
