"gen","seed","args_rmate","args_kphen","args_theta","args_cnoise","he_rg","rg_true","scenario","CN"
0,1,0.1,5,0,0,0.000313341379034824,0.000544065012340196,"5xAM","0"
1,1,0.1,5,0,0,0.0502920217976811,0.0247254510916672,"5xAM","0"
2,1,0.1,5,0,0,0.0790450784531888,0.0374378573524156,"5xAM","0"
3,1,0.1,5,0,0,0.0915274724136173,0.0440051441542849,"5xAM","0"
4,1,0.1,5,0,0,0.119290555930233,0.0550338427668977,"5xAM","0"
5,1,0.1,5,0,0,0.116605956444222,0.0581480438236675,"5xAM","0"
0,1,0.1,5,0,0,-0.000375563504017235,0.000333035973844662,"5xAM","0"
1,1,0.1,5,0,0,0.0490177501553721,0.0240052159418504,"5xAM","0"
2,1,0.1,5,0,0,0.0842742154180285,0.0397869037596772,"5xAM","0"
3,1,0.1,5,0,0,0.0959694828504907,0.0468250081403058,"5xAM","0"
4,1,0.1,5,0,0,0.125249064376873,0.0514077449043454,"5xAM","0"
5,1,0.1,5,0,0,0.124562047869223,0.0609313327435977,"5xAM","0"
0,1,0.1,5,0,0,-0.00272298146202927,-0.00055681076356203,"5xAM","0"
1,1,0.1,5,0,0,0.0551865142562857,0.0264433850121524,"5xAM","0"
2,1,0.1,5,0,0,0.0876064602517116,0.0424194208017632,"5xAM","0"
3,1,0.1,5,0,0,0.109723113337718,0.0524125088374713,"5xAM","0"
4,1,0.1,5,0,0,0.133276327210568,0.0611241776341493,"5xAM","0"
5,1,0.1,5,0,0,0.131020190121342,0.0604436392733787,"5xAM","0"
0,1,0.1,5,0.05,0,0.000167849194979548,-0.000280688699310198,"5xAM + VT (5%)","0"
1,1,0.1,5,0.05,0,0.231802422416753,0.016547757085244,"5xAM + VT (5%)","0"
2,1,0.1,5,0.05,0,0.312844023193566,0.0252775725562132,"5xAM + VT (5%)","0"
3,1,0.1,5,0.05,0,0.347281280772489,0.0315931462349217,"5xAM + VT (5%)","0"
4,1,0.1,5,0.05,0,0.36324587204611,0.0366508361251695,"5xAM + VT (5%)","0"
5,1,0.1,5,0.05,0,0.366448082876945,0.0312500324556148,"5xAM + VT (5%)","0"
0,1,0.1,5,0.05,0,-0.000616168829633822,6.00649009988395e-05,"5xAM + VT (5%)","0"
