"gen","scenario","seed","gwas_type","fpr"
0,"RM",1,"Population GWAS",0.0510625
1,"RM",1,"Population GWAS",0.0498125
2,"RM",1,"Population GWAS",0.047375
3,"RM",1,"Population GWAS",0.05275
4,"RM",1,"Population GWAS",0.047125
5,"RM",1,"Population GWAS",0.050375
0,"RM + VT (5%)",1,"Population GWAS",0.0489375
1,"RM + VT (5%)",1,"Population GWAS",0.04975
2,"RM + VT (5%)",1,"Population GWAS",0.054625
3,"RM + VT (5%)",1,"Population GWAS",0.0513125
4,"RM + VT (5%)",1,"Population GWAS",0.0505
5,"RM + VT (5%)",1,"Population GWAS",0.054125
0,"5xAM",1,"Population GWAS",0.0498125
1,"5xAM",1,"Population GWAS",0.0483125
2,"5xAM",1,"Population GWAS",0.0495
3,"5xAM",1,"Population GWAS",0.048875
4,"5xAM",1,"Population GWAS",0.05525
5,"5xAM",1,"Population GWAS",0.05
0,"5xAM + VT (5%)",1,"Population GWAS",0.048125
1,"5xAM + VT (5%)",1,"Population GWAS",0.0549375
2,"5xAM + VT (5%)",1,"Population GWAS",0.0684375
3,"5xAM + VT (5%)",1,"Population GWAS",0.0631875
4,"5xAM + VT (5%)",1,"Population GWAS",0.069625
5,"5xAM + VT (5%)",1,"Population GWAS",0.0709375
0,"RM",10,"Population GWAS",0.049625
1,"RM",10,"Population GWAS",0.0513125
2,"RM",10,"Population GWAS",0.0515
3,"RM",10,"Population GWAS",0.0495
4,"RM",10,"Population GWAS",0.049625
5,"RM",10,"Population GWAS",0.0495625
0,"RM + VT (5%)",10,"Population GWAS",0.04925
1,"RM + VT (5%)",10,"Population GWAS",0.052375
2,"RM + VT (5%)",10,"Population GWAS",0.0529375
3,"RM + VT (5%)",10,"Population GWAS",0.0545
4,"RM + VT (5%)",10,"Population GWAS",0.0528125
5,"RM + VT (5%)",10,"Population GWAS",0.052625
0,"5xAM",10,"Population GWAS",0.0488125
1,"5xAM",10,"Population GWAS",0.0490625
2,"5xAM",10,"Population GWAS",0.0511875
3,"5xAM",10,"Population GWAS",0.0501875
4,"5xAM",10,"Population GWAS",0.050375
5,"5xAM",10,"Population GWAS",0.0506875
0,"5xAM + VT (5%)",10,"Population GWAS",0.0498125
1,"5xAM + VT (5%)",10,"Population GWAS",0.0584375
2,"5xAM + VT (5%)",10,"Population GWAS",0.061125
3,"5xAM + VT (5%)",10,"Population GWAS",0.0649375
4,"5xAM + VT (5%)",10,"Population GWAS",0.0661875
5,"5xAM + VT (5%)",10,"Population GWAS",0.0695
0,"RM",11,"Population GWAS",0.050625
1,"RM",11,"Population GWAS",0.051125
2,"RM",11,"Population GWAS",0.046625
3,"RM",11,"Population GWAS",0.0506875
4,"RM",11,"Population GWAS",0.048375
5,"RM",11,"Population GWAS",0.046875
0,"RM + VT (5%)",11,"Population GWAS",0.0518125
1,"RM + VT (5%)",11,"Population GWAS",0.048375
2,"RM + VT (5%)",11,"Population GWAS",0.0518125
3,"RM + VT (5%)",11,"Population GWAS",0.0549375
4,"RM + VT (5%)",11,"Population GWAS",0.053125
5,"RM + VT (5%)",11,"Population GWAS",0.0530625
0,"5xAM",11,"Population GWAS",0.0505
1,"5xAM",11,"Population GWAS",0.0465625
2,"5xAM",11,"Population GWAS",0.055375
3,"5xAM",11,"Population GWAS",0.0490625
4,"5xAM",11,"Population GWAS",0.05025
5,"5xAM",11,"Population GWAS",0.0504375
0,"5xAM + VT (5%)",11,"Population GWAS",0.0465
1,"5xAM + VT (5%)",11,"Population GWAS",0.053
2,"5xAM + VT (5%)",11,"Population GWAS",0.0615
3,"5xAM + VT (5%)",11,"Population GWAS",0.0680625
4,"5xAM + VT (5%)",11,"Population GWAS",0.066625
5,"5xAM + VT (5%)",11,"Population GWAS",0.06925
0,"RM",12,"Population GWAS",0.0490625
1,"RM",12,"Population GWAS",0.048125
2,"RM",12,"Population GWAS",0.0500625
3,"RM",12,"Population GWAS",0.049875
4,"RM",12,"Population GWAS",0.0480625
5,"RM",12,"Population GWAS",0.0473125
0,"RM + VT (5%)",12,"Population GWAS",0.0496875
1,"RM + VT (5%)",12,"Population GWAS",0.049875
2,"RM + VT (5%)",12,"Population GWAS",0.05225
3,"RM + VT (5%)",12,"Population GWAS",0.054
4,"RM + VT (5%)",12,"Population GWAS",0.052875
5,"RM + VT (5%)",12,"Population GWAS",0.052375
0,"5xAM",12,"Population GWAS",0.04725
1,"5xAM",12,"Population GWAS",0.0495
2,"5xAM",12,"Population GWAS",0.047875
3,"5xAM",12,"Population GWAS",0.0504375
4,"5xAM",12,"Population GWAS",0.05175
5,"5xAM",12,"Population GWAS",0.0513125
0,"5xAM + VT (5%)",12,"Population GWAS",0.0504375
1,"5xAM + VT (5%)",12,"Population GWAS",0.058125
2,"5xAM + VT (5%)",12,"Population GWAS",0.06175
3,"5xAM + VT (5%)",12,"Population GWAS",0.067625
4,"5xAM + VT (5%)",12,"Population GWAS",0.0669375
5,"5xAM + VT (5%)",12,"Population GWAS",0.0691875
0,"RM",13,"Population GWAS",0.053625
