"gen","scenario","seed","type","h2"
0,"RM",1,"True",0.249654901203654
1,"RM",1,"True",0.250609280674366
2,"RM",1,"True",0.249920780060355
3,"RM",1,"True",0.251540200528814
4,"RM",1,"True",0.250810012847278
5,"RM",1,"True",0.250270895926121
0,"RM + VT (5%)",1,"True",0.250453360209337
1,"RM + VT (5%)",1,"True",0.239435988341768
2,"RM + VT (5%)",1,"True",0.234668055326594
3,"RM + VT (5%)",1,"True",0.232176364310632
4,"RM + VT (5%)",1,"True",0.232373385891391
5,"RM + VT (5%)",1,"True",0.23120179658526
0,"5xAM",1,"True",0.249945321178582
1,"5xAM",1,"True",0.255623358177819
2,"5xAM",1,"True",0.257827953393566
3,"5xAM",1,"True",0.259627864295526
4,"5xAM",1,"True",0.261906230858321
5,"5xAM",1,"True",0.259983497436995
0,"5xAM + VT (5%)",1,"True",0.250106386189718
1,"5xAM + VT (5%)",1,"True",0.226043028507822
2,"5xAM + VT (5%)",1,"True",0.21911217151641
3,"5xAM + VT (5%)",1,"True",0.218014500390326
4,"5xAM + VT (5%)",1,"True",0.217648380382596
5,"5xAM + VT (5%)",1,"True",0.212760973172314
0,"RM",10,"True",0.255022023371092
1,"RM",10,"True",0.255229023449918
2,"RM",10,"True",0.254371830398952
3,"RM",10,"True",0.255606150753266
4,"RM",10,"True",0.253989263740548
5,"RM",10,"True",0.254832273217038
0,"RM + VT (5%)",10,"True",0.25521445667394
1,"RM + VT (5%)",10,"True",0.244101281043377
2,"RM + VT (5%)",10,"True",0.239967293781337
3,"RM + VT (5%)",10,"True",0.240348146032748
4,"RM + VT (5%)",10,"True",0.239560414572794
5,"RM + VT (5%)",10,"True",0.241749248321184
0,"5xAM",10,"True",0.25604123839917
1,"5xAM",10,"True",0.260347797555031
2,"5xAM",10,"True",0.263781873092787
3,"5xAM",10,"True",0.267321905885676
4,"5xAM",10,"True",0.268039068055196
5,"5xAM",10,"True",0.26774805477781
0,"5xAM + VT (5%)",10,"True",0.25589440940221
1,"5xAM + VT (5%)",10,"True",0.230603598848131
2,"5xAM + VT (5%)",10,"True",0.22384017170462
3,"5xAM + VT (5%)",10,"True",0.220966204624626
4,"5xAM + VT (5%)",10,"True",0.222386318589595
5,"5xAM + VT (5%)",10,"True",0.221857712358982
0,"RM",11,"True",0.251324095742202
1,"RM",11,"True",0.251400052319376
2,"RM",11,"True",0.251908000144449
3,"RM",11,"True",0.251466868219899
4,"RM",11,"True",0.251306961666483
5,"RM",11,"True",0.24789518927098
0,"RM + VT (5%)",11,"True",0.250493409592259
1,"RM + VT (5%)",11,"True",0.241043411415001
2,"RM + VT (5%)",11,"True",0.237682530459557
3,"RM + VT (5%)",11,"True",0.23358803960275
4,"RM + VT (5%)",11,"True",0.232694677607498
5,"RM + VT (5%)",11,"True",0.232912381692973
0,"5xAM",11,"True",0.251192754368699
1,"5xAM",11,"True",0.256124618214365
2,"5xAM",11,"True",0.261437301452504
3,"5xAM",11,"True",0.260485331578506
4,"5xAM",11,"True",0.262833742626381
5,"5xAM",11,"True",0.261261670829904
0,"5xAM + VT (5%)",11,"True",0.250826789740964
1,"5xAM + VT (5%)",11,"True",0.226285377437991
2,"5xAM + VT (5%)",11,"True",0.220897473861161
3,"5xAM + VT (5%)",11,"True",0.218572904547562
4,"5xAM + VT (5%)",11,"True",0.216838458993041
5,"5xAM + VT (5%)",11,"True",0.216562610404911
0,"RM",12,"True",0.245515419785785
1,"RM",12,"True",0.245777848455838
2,"RM",12,"True",0.245723839929152
3,"RM",12,"True",0.245841392964814
4,"RM",12,"True",0.246728650786601
5,"RM",12,"True",0.24647563101296
0,"RM + VT (5%)",12,"True",0.245785177902497
1,"RM + VT (5%)",12,"True",0.235623335751134
2,"RM + VT (5%)",12,"True",0.230479124729597
3,"RM + VT (5%)",12,"True",0.228424373382155
4,"RM + VT (5%)",12,"True",0.229349201783733
5,"RM + VT (5%)",12,"True",0.229632227070222
0,"5xAM",12,"True",0.245413235706224
1,"5xAM",12,"True",0.250642647656348
2,"5xAM",12,"True",0.252887474325717
3,"5xAM",12,"True",0.254061038779366
4,"5xAM",12,"True",0.258436230158262
5,"5xAM",12,"True",0.260098848481119
0,"5xAM + VT (5%)",12,"True",0.24590759002477
1,"5xAM + VT (5%)",12,"True",0.222134960195715
2,"5xAM + VT (5%)",12,"True",0.21548687943264
3,"5xAM + VT (5%)",12,"True",0.211967589189549
4,"5xAM + VT (5%)",12,"True",0.213633646064198
5,"5xAM + VT (5%)",12,"True",0.216652315035963
0,"RM",13,"True",0.253414204820506
1,"RM",13,"True",0.253472894959833
2,"RM",13,"True",0.252620547612616
3,"RM",13,"True",0.250910430979842
4,"RM",13,"True",0.251911609893173
