"gen","scenario","seed","type","rg"
0,"RM",1,"True",-0.000292679383298984
1,"RM",1,"True",0.00151202665482818
2,"RM",1,"True",-0.000649804136696195
3,"RM",1,"True",0.000268939393917852
4,"RM",1,"True",-0.000349828249863872
5,"RM",1,"True",-0.00157822633942886
0,"RM + VT (5%)",1,"True",7.33710729888884e-06
1,"RM + VT (5%)",1,"True",0.000964663085140668
2,"RM + VT (5%)",1,"True",0.00125710481919241
3,"RM + VT (5%)",1,"True",0.000471140880200134
4,"RM + VT (5%)",1,"True",0.000273185104206662
5,"RM + VT (5%)",1,"True",-0.00310593392382236
0,"5xAM",1,"True",-0.000498285399713692
1,"5xAM",1,"True",0.0249979739833696
2,"5xAM",1,"True",0.0413832899339534
3,"5xAM",1,"True",0.0514036197756996
4,"5xAM",1,"True",0.056234669524131
5,"5xAM",1,"True",0.0654769630617047
0,"5xAM + VT (5%)",1,"True",-0.00043215117959683
1,"5xAM + VT (5%)",1,"True",0.0171334881728907
2,"5xAM + VT (5%)",1,"True",0.0313605578899494
3,"5xAM + VT (5%)",1,"True",0.0432777326191683
4,"5xAM + VT (5%)",1,"True",0.0515274597533451
5,"5xAM + VT (5%)",1,"True",0.0563989664822368
0,"RM",10,"True",-0.000425175296498185
1,"RM",10,"True",-9.30313589503915e-05
2,"RM",10,"True",0.00342402060991609
3,"RM",10,"True",0.00237860912429171
4,"RM",10,"True",-0.000859239084451544
5,"RM",10,"True",0.00171370670104687
0,"RM + VT (5%)",10,"True",-0.000571746988101992
1,"RM + VT (5%)",10,"True",-0.00151401670800494
2,"RM + VT (5%)",10,"True",9.26075598672881e-05
3,"RM + VT (5%)",10,"True",-0.0017849657655904
4,"RM + VT (5%)",10,"True",-0.00607431692601419
5,"RM + VT (5%)",10,"True",-0.000971642281784788
0,"5xAM",10,"True",-0.000456493397214564
1,"5xAM",10,"True",0.0245659751245287
2,"5xAM",10,"True",0.0398002143092502
3,"5xAM",10,"True",0.0487222967678052
4,"5xAM",10,"True",0.0607397359573479
5,"5xAM",10,"True",0.0681275448438366
0,"5xAM + VT (5%)",10,"True",-0.000773096482519652
1,"5xAM + VT (5%)",10,"True",0.0178903757633217
2,"5xAM + VT (5%)",10,"True",0.0332284773703794
3,"5xAM + VT (5%)",10,"True",0.0468123661731225
4,"5xAM + VT (5%)",10,"True",0.0549417039134749
5,"5xAM + VT (5%)",10,"True",0.0537144678584929
0,"RM",11,"True",0.000460120679613616
1,"RM",11,"True",0.000595868747245162
2,"RM",11,"True",0.000650902624479891
3,"RM",11,"True",0.00162957074113735
4,"RM",11,"True",0.00244857888564078
5,"RM",11,"True",0.00367672118658606
0,"RM + VT (5%)",11,"True",-0.000556288603950908
1,"RM + VT (5%)",11,"True",0.000685702104709719
2,"RM + VT (5%)",11,"True",-0.00122862928441709
3,"RM + VT (5%)",11,"True",-0.000917150085155772
4,"RM + VT (5%)",11,"True",-0.00104375749365337
5,"RM + VT (5%)",11,"True",-0.00256326204702206
0,"5xAM",11,"True",0.000723475088327553
1,"5xAM",11,"True",0.0245817653102065
2,"5xAM",11,"True",0.0410427413446724
3,"5xAM",11,"True",0.0475250977574824
4,"5xAM",11,"True",0.0540960959537286
5,"5xAM",11,"True",0.0562703210428502
0,"5xAM + VT (5%)",11,"True",6.22366144075306e-05
1,"5xAM + VT (5%)",11,"True",0.01620077477583
2,"5xAM + VT (5%)",11,"True",0.0292872664388254
3,"5xAM + VT (5%)",11,"True",0.0418273832311015
4,"5xAM + VT (5%)",11,"True",0.0489793623265333
5,"5xAM + VT (5%)",11,"True",0.0571571431351013
0,"RM",12,"True",-0.000318450057234654
1,"RM",12,"True",0.000141523418502788
2,"RM",12,"True",0.000381098901481726
3,"RM",12,"True",-0.00374997674438834
4,"RM",12,"True",-0.000856816851693082
5,"RM",12,"True",-0.01155820883867
0,"RM + VT (5%)",12,"True",8.40049303372331e-05
1,"RM + VT (5%)",12,"True",0.000848508740166047
2,"RM + VT (5%)",12,"True",-0.000305717446093274
3,"RM + VT (5%)",12,"True",0.000680700058849366
4,"RM + VT (5%)",12,"True",0.00161691653812891
5,"RM + VT (5%)",12,"True",0.000761170288887731
0,"5xAM",12,"True",0.000555806273426875
1,"5xAM",12,"True",0.022193503918188
2,"5xAM",12,"True",0.0392426477878359
3,"5xAM",12,"True",0.0526976246668348
4,"5xAM",12,"True",0.0587318948145254
5,"5xAM",12,"True",0.060619682802553
0,"5xAM + VT (5%)",12,"True",0.000357932535647529
1,"5xAM + VT (5%)",12,"True",0.0167032407488203
2,"5xAM + VT (5%)",12,"True",0.0323097708778322
3,"5xAM + VT (5%)",12,"True",0.0459115570608835
4,"5xAM + VT (5%)",12,"True",0.0490723101936516
5,"5xAM + VT (5%)",12,"True",0.054928507817611
0,"RM",13,"True",0.0011130217642353
1,"RM",13,"True",0.000653599460140389
2,"RM",13,"True",-0.00263539145160936
3,"RM",13,"True",0.00122272888222466
4,"RM",13,"True",-0.0029489121551799
5,"RM",13,"True",-0.000681845922878025
0,"RM + VT (5%)",13,"True",-0.000354723092547631
1,"RM + VT (5%)",13,"True",8.3003109398065e-05
2,"RM + VT (5%)",13,"True",0.000364621919312368
3,"RM + VT (5%)",13,"True",-0.00578019399038226
4,"RM + VT (5%)",13,"True",-0.00196192756764755
5,"RM + VT (5%)",13,"True",8.18385243067671e-05
0,"5xAM",13,"True",-0.000362073702623115
1,"5xAM",13,"True",0.0234082044449406
2,"5xAM",13,"True",0.0383650061631295
3,"5xAM",13,"True",0.0507032617788622
4,"5xAM",13,"True",0.0586682601761973
5,"5xAM",13,"True",0.0620349456522964
0,"5xAM + VT (5%)",13,"True",-0.000583024510389414
1,"5xAM + VT (5%)",13,"True",0.0173869288188088
2,"5xAM + VT (5%)",13,"True",0.033097096336504
3,"5xAM + VT (5%)",13,"True",0.0441697689870424
4,"5xAM + VT (5%)",13,"True",0.0526320433551396
5,"5xAM + VT (5%)",13,"True",0.0581174780238648
0,"RM",14,"True",0.000783671540042336
1,"RM",14,"True",-0.000685515515086711
2,"RM",14,"True",0.00131348664185846
3,"RM",14,"True",0.00319336963459629
