"gen","scenario","quantity","mean_h2","sd_h2","n"
0,"5xAM","Panmictic (causal var.)",0.498870031833733,0.00505668738122468,128
1,"5xAM","Panmictic (causal var.)",0.492853675579867,0.00511578008598274,128
2,"5xAM","Panmictic (causal var.)",0.489126944619039,0.00516024281909212,128
3,"5xAM","Panmictic (causal var.)",0.486630630713302,0.00522193721264897,128
4,"5xAM","Panmictic (causal var.)",0.485182737263712,0.00544773745591641,128
5,"5xAM","Panmictic (causal var.)",0.483956695491144,0.00625584688796109,128
0,"5xAM + VT","Panmictic (causal var.)",0.498906002200491,0.00513169010592323,128
1,"5xAM + VT","Panmictic (causal var.)",0.436428002786597,0.00429481462708258,128
2,"5xAM + VT","Panmictic (causal var.)",0.41282052843005,0.00428347722086186,128
3,"5xAM + VT","Panmictic (causal var.)",0.404524536060955,0.00440587736728071,128
4,"5xAM + VT","Panmictic (causal var.)",0.401495704608369,0.00452105117338795,128
5,"5xAM + VT","Panmictic (causal var.)",0.399809669862722,0.00477772075034903,128
0,"5xAM + GxE","Panmictic (causal var.)",0.501611340935465,0.00458604378167857,128
1,"5xAM + GxE","Panmictic (causal var.)",0.49496029583783,0.00448690300882349,128
2,"5xAM + GxE","Panmictic (causal var.)",0.490644245138629,0.00464278482845558,128
3,"5xAM + GxE","Panmictic (causal var.)",0.488104102041828,0.0047460500010074,128
4,"5xAM + GxE","Panmictic (causal var.)",0.486741588986745,0.00460938629609019,128
5,"5xAM + GxE","Panmictic (causal var.)",0.485476186010931,0.00585997610306264,128
0,"5xAM + VT + GxE","Panmictic (causal var.)",0.498921328141479,0.00470982074407696,128
1,"5xAM + VT + GxE","Panmictic (causal var.)",0.432330496125479,0.00408406064931135,128
2,"5xAM + VT + GxE","Panmictic (causal var.)",0.405499548991148,0.00405792614085425,128
3,"5xAM + VT + GxE","Panmictic (causal var.)",0.395052236548099,0.00391093824213606,128
4,"5xAM + VT + GxE","Panmictic (causal var.)",0.390996616209899,0.00436045673828958,128
5,"5xAM + VT + GxE","Panmictic (causal var.)",0.388574698902201,0.00487470422704283,128
0,"5xAM","True (Vg/Vy)",0.498981072000442,0.00511667297994832,128
1,"5xAM","True (Vg/Vy)",0.505314087871315,0.00526052556152919,128
2,"5xAM","True (Vg/Vy)",0.508965241214648,0.00515697501873299,128
3,"5xAM","True (Vg/Vy)",0.511230941463401,0.00526821315720158,128
4,"5xAM","True (Vg/Vy)",0.512876793828109,0.00551106307233333,128
5,"5xAM","True (Vg/Vy)",0.513617201241033,0.00604181230101934,128
0,"5xAM + VT","True (Vg/Vy)",0.49893999754775,0.00514016018591363,128
1,"5xAM + VT","True (Vg/Vy)",0.44392969517392,0.00459272670001032,128
2,"5xAM + VT","True (Vg/Vy)",0.424391137971831,0.00453665913052385,128
3,"5xAM + VT","True (Vg/Vy)",0.418384084041769,0.00469637477506694,128
4,"5xAM + VT","True (Vg/Vy)",0.416371726536969,0.00498326043747364,128
5,"5xAM + VT","True (Vg/Vy)",0.415371684138496,0.00493134697013611,128
0,"5xAM + GxE","True (Vg/Vy)",0.501541030821553,0.00469652861159219,128
1,"5xAM + GxE","True (Vg/Vy)",0.50738230758408,0.00476834182470395,128
2,"5xAM + GxE","True (Vg/Vy)",0.510581745716831,0.00500265398609292,128
3,"5xAM + GxE","True (Vg/Vy)",0.512678619929801,0.00488295559975936,128
4,"5xAM + GxE","True (Vg/Vy)",0.514604940390676,0.00499949677254822,128
5,"5xAM + GxE","True (Vg/Vy)",0.514630600168572,0.00587631758545955,128
0,"5xAM + VT + GxE","True (Vg/Vy)",0.499035938655945,0.00471913234056954,128
1,"5xAM + VT + GxE","True (Vg/Vy)",0.439914615129302,0.00424941130514434,128
