"gen","scenario","seed","quantity","h2"
0,"5xAM",1,"Panmictic (causal var.)",0.500776274681616
1,"5xAM",1,"Panmictic (causal var.)",0.4949458464834
2,"5xAM",1,"Panmictic (causal var.)",0.48956550047641
3,"5xAM",1,"Panmictic (causal var.)",0.487768240269258
4,"5xAM",1,"Panmictic (causal var.)",0.48971915686606
5,"5xAM",1,"Panmictic (causal var.)",0.483249194535365
0,"5xAM + GxE",1,"Panmictic (causal var.)",0.502524299402722
1,"5xAM + GxE",1,"Panmictic (causal var.)",0.496593102372191
2,"5xAM + GxE",1,"Panmictic (causal var.)",0.491203824955722
3,"5xAM + GxE",1,"Panmictic (causal var.)",0.487326805246841
4,"5xAM + GxE",1,"Panmictic (causal var.)",0.486465027286665
5,"5xAM + GxE",1,"Panmictic (causal var.)",0.485272808628694
0,"5xAM + VT",1,"Panmictic (causal var.)",0.499809506545166
1,"5xAM + VT",1,"Panmictic (causal var.)",0.437042298351574
2,"5xAM + VT",1,"Panmictic (causal var.)",0.414081998421048
3,"5xAM + VT",1,"Panmictic (causal var.)",0.405686356455282
4,"5xAM + VT",1,"Panmictic (causal var.)",0.400562537933275
5,"5xAM + VT",1,"Panmictic (causal var.)",0.404000558510007
0,"5xAM + VT + GxE",1,"Panmictic (causal var.)",0.499902150000944
1,"5xAM + VT + GxE",1,"Panmictic (causal var.)",0.433136677514808
2,"5xAM + VT + GxE",1,"Panmictic (causal var.)",0.405707478096196
3,"5xAM + VT + GxE",1,"Panmictic (causal var.)",0.392069659717034
4,"5xAM + VT + GxE",1,"Panmictic (causal var.)",0.38640111882465
5,"5xAM + VT + GxE",1,"Panmictic (causal var.)",0.384409167856028
0,"5xAM",10,"Panmictic (causal var.)",0.506185429800588
1,"5xAM",10,"Panmictic (causal var.)",0.501219428634586
2,"5xAM",10,"Panmictic (causal var.)",0.498879309607552
3,"5xAM",10,"Panmictic (causal var.)",0.49461727643837
4,"5xAM",10,"Panmictic (causal var.)",0.493400786270078
5,"5xAM",10,"Panmictic (causal var.)",0.492205442818641
0,"5xAM + GxE",10,"Panmictic (causal var.)",0.508349027610933
1,"5xAM + GxE",10,"Panmictic (causal var.)",0.500725707876841
2,"5xAM + GxE",10,"Panmictic (causal var.)",0.49743723232149
3,"5xAM + GxE",10,"Panmictic (causal var.)",0.496269177653227
4,"5xAM + GxE",10,"Panmictic (causal var.)",0.492505439273034
5,"5xAM + GxE",10,"Panmictic (causal var.)",0.494994761965503
0,"5xAM + VT",10,"Panmictic (causal var.)",0.507483487463748
1,"5xAM + VT",10,"Panmictic (causal var.)",0.444409931079004
2,"5xAM + VT",10,"Panmictic (causal var.)",0.420524096692059
3,"5xAM + VT",10,"Panmictic (causal var.)",0.412673944228889
4,"5xAM + VT",10,"Panmictic (causal var.)",0.408176853424932
5,"5xAM + VT",10,"Panmictic (causal var.)",0.405502479869959
0,"5xAM + VT + GxE",10,"Panmictic (causal var.)",0.506048842139676
1,"5xAM + VT + GxE",10,"Panmictic (causal var.)",0.438384844041782
2,"5xAM + VT + GxE",10,"Panmictic (causal var.)",0.41327348141278
3,"5xAM + VT + GxE",10,"Panmictic (causal var.)",0.403190101491438
4,"5xAM + VT + GxE",10,"Panmictic (causal var.)",0.395212296685931
5,"5xAM + VT + GxE",10,"Panmictic (causal var.)",0.389920808733245
0,"5xAM",100,"Panmictic (causal var.)",0.503996708442453
1,"5xAM",100,"Panmictic (causal var.)",0.498854499751123
2,"5xAM",100,"Panmictic (causal var.)",0.494370804621875
3,"5xAM",100,"Panmictic (causal var.)",0.492602470774242
4,"5xAM",100,"Panmictic (causal var.)",0.491811731689717
5,"5xAM",100,"Panmictic (causal var.)",0.490027508711488
0,"5xAM + GxE",100,"Panmictic (causal var.)",0.507188454008381
1,"5xAM + GxE",100,"Panmictic (causal var.)",0.500908017761682
2,"5xAM + GxE",100,"Panmictic (causal var.)",0.496309085723416
3,"5xAM + GxE",100,"Panmictic (causal var.)",0.492363539425878
4,"5xAM + GxE",100,"Panmictic (causal var.)",0.492734848020423
5,"5xAM + GxE",100,"Panmictic (causal var.)",0.496534808746222
0,"5xAM + VT",100,"Panmictic (causal var.)",0.504383030188278
1,"5xAM + VT",100,"Panmictic (causal var.)",0.44200613298259
2,"5xAM + VT",100,"Panmictic (causal var.)",0.419068539173417
3,"5xAM + VT",100,"Panmictic (causal var.)",0.409302442816166
4,"5xAM + VT",100,"Panmictic (causal var.)",0.408357711253522
5,"5xAM + VT",100,"Panmictic (causal var.)",0.4025480999319
0,"5xAM + VT + GxE",100,"Panmictic (causal var.)",0.505407824084905
1,"5xAM + VT + GxE",100,"Panmictic (causal var.)",0.437853548093147
2,"5xAM + VT + GxE",100,"Panmictic (causal var.)",0.410805198023336
3,"5xAM + VT + GxE",100,"Panmictic (causal var.)",0.402922723260616
4,"5xAM + VT + GxE",100,"Panmictic (causal var.)",0.399166370161964
5,"5xAM + VT + GxE",100,"Panmictic (causal var.)",0.391561996092365
0,"5xAM",101,"Panmictic (causal var.)",0.491197829761819
1,"5xAM",101,"Panmictic (causal var.)",0.485875286734601
2,"5xAM",101,"Panmictic (causal var.)",0.481742264194352
3,"5xAM",101,"Panmictic (causal var.)",0.478598759224159
4,"5xAM",101,"Panmictic (causal var.)",0.478016496180931
5,"5xAM",101,"Panmictic (causal var.)",0.473274823314593
0,"5xAM + GxE",101,"Panmictic (causal var.)",0.494693428333487
1,"5xAM + GxE",101,"Panmictic (causal var.)",0.489405991428254
2,"5xAM + GxE",101,"Panmictic (causal var.)",0.485834855152207
3,"5xAM + GxE",101,"Panmictic (causal var.)",0.481152490487887
4,"5xAM + GxE",101,"Panmictic (causal var.)",0.489991185966819
5,"5xAM + GxE",101,"Panmictic (causal var.)",0.485301237908791
0,"5xAM + VT",101,"Panmictic (causal var.)",0.490856889922181
1,"5xAM + VT",101,"Panmictic (causal var.)",0.430134356152115
2,"5xAM + VT",101,"Panmictic (causal var.)",0.406646071089633
3,"5xAM + VT",101,"Panmictic (causal var.)",0.398167806677072
4,"5xAM + VT",101,"Panmictic (causal var.)",0.394986613136295
5,"5xAM + VT",101,"Panmictic (causal var.)",0.39450389752319
0,"5xAM + VT + GxE",101,"Panmictic (causal var.)",0.491357208164987
1,"5xAM + VT + GxE",101,"Panmictic (causal var.)",0.426746632712636
2,"5xAM + VT + GxE",101,"Panmictic (causal var.)",0.400220226426832
3,"5xAM + VT + GxE",101,"Panmictic (causal var.)",0.39088151234501
4,"5xAM + VT + GxE",101,"Panmictic (causal var.)",0.387602412738125
5,"5xAM + VT + GxE",101,"Panmictic (causal var.)",0.389070315969416
0,"5xAM",102,"Panmictic (causal var.)",0.493483113983037
1,"5xAM",102,"Panmictic (causal var.)",0.489397093902414
2,"5xAM",102,"Panmictic (causal var.)",0.486010820809075
3,"5xAM",102,"Panmictic (causal var.)",0.481764662985532
4,"5xAM",102,"Panmictic (causal var.)",0.478474908613701
5,"5xAM",102,"Panmictic (causal var.)",0.482729276529369
0,"5xAM + GxE",102,"Panmictic (causal var.)",0.498236773461375
1,"5xAM + GxE",102,"Panmictic (causal var.)",0.492009611376119
2,"5xAM + GxE",102,"Panmictic (causal var.)",0.48747700042884
3,"5xAM + GxE",102,"Panmictic (causal var.)",0.483424083198944
4,"5xAM + GxE",102,"Panmictic (causal var.)",0.4813648666623
5,"5xAM + GxE",102,"Panmictic (causal var.)",0.487165982351007
0,"5xAM + VT",102,"Panmictic (causal var.)",0.496116356220916
1,"5xAM + VT",102,"Panmictic (causal var.)",0.432941545136524
2,"5xAM + VT",102,"Panmictic (causal var.)",0.409765183007517
3,"5xAM + VT",102,"Panmictic (causal var.)",0.402069263290922
4,"5xAM + VT",102,"Panmictic (causal var.)",0.40009964664929
5,"5xAM + VT",102,"Panmictic (causal var.)",0.401271561417122
0,"5xAM + VT + GxE",102,"Panmictic (causal var.)",0.495456941481171
1,"5xAM + VT + GxE",102,"Panmictic (causal var.)",0.428104800042323
2,"5xAM + VT + GxE",102,"Panmictic (causal var.)",0.400633659540273
3,"5xAM + VT + GxE",102,"Panmictic (causal var.)",0.392946681657387
4,"5xAM + VT + GxE",102,"Panmictic (causal var.)",0.392519756697559
