"m_causal","gen","kpheno","alpha","N","pred_t1e","kpheno_label","m_causal_label","relative_t1e"
1000,0,2,5e-08,50000,5.00004272800947e-08,"2",1000,1.00000854560189
1000,0,2,5e-08,1e+05,5.00008545341046e-08,"2",1000,1.00001709068209
1000,0,2,5e-08,2e+05,5.00017090531157e-08,"2",1000,1.00003418106231
1000,0,2,5e-08,4e+05,5.00034181150077e-08,"2",1000,1.00006836230015
1000,0,2,5e-08,8e+05,5.00068364529538e-08,"2",1000,1.00013672905908
1000,0,2,5e-08,1600000,5.00136735515078e-08,"2",1000,1.00027347103016
1000,0,2,5e-08,3200000,5.00273509538296e-08,"2",1000,1.00054701907659
1000,0,2,5e-08,6400000,5.00547172622712e-08,"2",1000,1.00109434524542
2000,0,2,5e-08,50000,5.00002139749434e-08,"2",2000,1.00000427949887
2000,0,2,5e-08,1e+05,5.00004279206379e-08,"2",2000,1.00000855841276
2000,0,2,5e-08,2e+05,5.00008558171339e-08,"2",2000,1.00001711634268
2000,0,2,5e-08,4e+05,5.00017116173979e-08,"2",2000,1.00003423234796
2000,0,2,5e-08,8e+05,5.00034232527868e-08,"2",2000,1.00006846505574
2000,0,2,5e-08,1600000,5.00068466736114e-08,"2",2000,1.00013693347223
2000,0,2,5e-08,3200000,5.00136941247731e-08,"2",2000,1.00027388249546
2000,0,2,5e-08,6400000,5.0027391624019e-08,"2",2000,1.00054783248038
4000,0,2,5e-08,50000,5.00001111752857e-08,"2",4000,1.00000222350571
4000,0,2,5e-08,1e+05,5.0000213694279e-08,"2",4000,1.00000427388558
4000,0,2,5e-08,2e+05,5.00004344730631e-08,"2",4000,1.00000868946126
4000,0,2,5e-08,4e+05,5.00008544881969e-08,"2",4000,1.00001708976394
4000,0,2,5e-08,8e+05,5.00017247098139e-08,"2",4000,1.00003449419628
4000,0,2,5e-08,1600000,5.00034026145735e-08,"2",4000,1.00006805229147
4000,0,2,5e-08,3200000,5.00071588238615e-08,"2",4000,1.00014317647723
4000,0,2,5e-08,6400000,5.00136709189469e-08,"2",4000,1.00027341837894
8000,0,2,5e-08,50000,5.00000496023167e-08,"2",8000,1.00000099204633
8000,0,2,5e-08,1e+05,5.0000111144366e-08,"2",8000,1.00000222288732
8000,0,2,5e-08,2e+05,5.00002163190683e-08,"2",8000,1.00000432638137
8000,0,2,5e-08,4e+05,5.00004455691316e-08,"2",8000,1.00000891138263
8000,0,2,5e-08,8e+05,5.00008190592593e-08,"2",8000,1.00001638118519
8000,0,2,5e-08,1600000,5.00017317327517e-08,"2",8000,1.00003463465503
8000,0,2,5e-08,3200000,5.00034124165105e-08,"2",8000,1.00006824833021
8000,0,2,5e-08,6400000,5.00067816040506e-08,"2",8000,1.00013563208101
16000,0,2,5e-08,50000,5.00000263258804e-08,"2",16000,1.00000052651761
16000,0,2,5e-08,1e+05,5.00000559319758e-08,"2",16000,1.00000111863952
16000,0,2,5e-08,2e+05,5.00001109204895e-08,"2",16000,1.00000221840979
16000,0,2,5e-08,4e+05,5.00002101861408e-08,"2",16000,1.00000420372282
16000,0,2,5e-08,8e+05,5.00004420147526e-08,"2",16000,1.00000884029505
16000,0,2,5e-08,1600000,5.0000854916743e-08,"2",16000,1.00001709833486
16000,0,2,5e-08,3200000,5.00016769365841e-08,"2",16000,1.00003353873168
16000,0,2,5e-08,6400000,5.00034170968222e-08,"2",16000,1.00006834193644
1000,0,5,5e-08,50000,5.00000000328571e-08,"5",1000,1.00000000065714
1000,0,5,5e-08,1e+05,5.00000000464018e-08,"5",1000,1.00000000092804
1000,0,5,5e-08,2e+05,5.00000000699385e-08,"5",1000,1.00000000139877
1000,0,5,5e-08,4e+05,5.00000001224521e-08,"5",1000,1.00000000244904
1000,0,5,5e-08,8e+05,5.00000002302547e-08,"5",1000,1.00000000460509
1000,0,5,5e-08,1600000,5.00000004425294e-08,"5",1000,1.00000000885059
1000,0,5,5e-08,3200000,5.0000000779149e-08,"5",1000,1.00000001558298
1000,0,5,5e-08,6400000,5.00000015677404e-08,"5",1000,1.00000003135481
2000,0,5,5e-08,50000,5.00000000293599e-08,"5",2000,1.0000000005872
