"beta","T1E","N","m_causal","kpheno","gen","alpha","beta_quantile","N_label"
1.36654153890934e-06,5.00000016945279e-08,50000,4000,5,5,5e-08,0.00025,"50,000"
-7.30984489255975e-06,5.00000474357165e-08,50000,4000,5,5,5e-08,5e-04,"50,000"
1.720726825885e-05,5.00002624859164e-08,50000,4000,5,5,5e-08,0.00075,"50,000"
-1.95460601772083e-05,5.00003386472159e-08,50000,4000,5,5,5e-08,0.001,"50,000"
2.20219384552183e-05,5.00004299075485e-08,50000,4000,5,5,5e-08,0.00125,"50,000"
-2.4264645824149e-05,5.00005219450372e-08,50000,4000,5,5,5e-08,0.0015,"50,000"
3.21214966580239e-05,5.00009145198987e-08,50000,4000,5,5,5e-08,0.00175,"50,000"
-3.27314871935208e-05,5.00009496029463e-08,50000,4000,5,5,5e-08,0.002,"50,000"
-3.50360465257977e-05,5.00010880477575e-08,50000,4000,5,5,5e-08,0.00225,"50,000"
-3.88443924217326e-05,5.00013374038488e-08,50000,4000,5,5,5e-08,0.0025,"50,000"
-4.06942148724947e-05,5.00014678550542e-08,50000,4000,5,5,5e-08,0.00275,"50,000"
4.26144229990255e-05,5.00016096305345e-08,50000,4000,5,5,5e-08,0.003,"50,000"
4.33451499132283e-05,5.00016653637303e-08,50000,4000,5,5,5e-08,0.00325,"50,000"
4.66219141238238e-05,5.0001926599208e-08,50000,4000,5,5,5e-08,0.0035,"50,000"
-5.20175601544423e-05,5.00023983329712e-08,50000,4000,5,5,5e-08,0.00375,"50,000"
-5.59792798735471e-05,5.00027775851564e-08,50000,4000,5,5,5e-08,0.004,"50,000"
6.36115582225466e-05,5.00035866046744e-08,50000,4000,5,5,5e-08,0.00425,"50,000"
6.58802502771302e-05,5.0003847062996e-08,50000,4000,5,5,5e-08,0.0045,"50,000"
6.87580916093539e-05,5.00041904549775e-08,50000,4000,5,5,5e-08,0.00475,"50,000"
7.06271752068075e-05,5.00044213813666e-08,50000,4000,5,5,5e-08,0.005,"50,000"
-7.10406984287162e-05,5.00044733398042e-08,50000,4000,5,5,5e-08,0.00525,"50,000"
7.53230505718622e-05,5.00050288954057e-08,50000,4000,5,5,5e-08,0.0055,"50,000"
7.80213172236555e-05,5.0005395713093e-08,50000,4000,5,5,5e-08,0.00575,"50,000"
8.12712504854783e-05,5.00058545682691e-08,50000,4000,5,5,5e-08,0.006,"50,000"
8.43053547490228e-05,5.00062998787243e-08,50000,4000,5,5,5e-08,0.00625,"50,000"
-8.78205000581935e-05,5.00068361164452e-08,50000,4000,5,5,5e-08,0.0065,"50,000"
9.01165427543117e-05,5.00071982711958e-08,50000,4000,5,5,5e-08,0.00675,"50,000"
-9.17263950109067e-05,5.00074577303167e-08,50000,4000,5,5,5e-08,0.007,"50,000"
9.2637161365192e-05,5.00076066112243e-08,50000,4000,5,5,5e-08,0.00725,"50,000"
-9.54583489256209e-05,5.00080770127198e-08,50000,4000,5,5,5e-08,0.0075,"50,000"
9.63708036502125e-05,5.00082321108763e-08,50000,4000,5,5,5e-08,0.00775,"50,000"
-9.82114174301145e-05,5.00085496346614e-08,50000,4000,5,5,5e-08,0.008,"50,000"
0.000100023519993957,5.00088680466249e-08,50000,4000,5,5,5e-08,0.00825,"50,000"
0.00010214685453564,5.00092485200554e-08,50000,4000,5,5,5e-08,0.0085,"50,000"
-0.000103207767285013,5.00094416988617e-08,50000,4000,5,5,5e-08,0.00875,"50,000"
-0.000105316701159412,5.00098314981656e-08,50000,4000,5,5,5e-08,0.009,"50,000"
0.000112208804089836,5.00111603241038e-08,50000,4000,5,5,5e-08,0.00925,"50,000"
-0.000114473269943209,5.00116154045216e-08,50000,4000,5,5,5e-08,0.0095,"50,000"
-0.000122531959853767,5.00133083836118e-08,50000,4000,5,5,5e-08,0.00975,"50,000"
-0.000122687621125438,5.00133422454141e-08,50000,4000,5,5,5e-08,0.01,"50,000"
-0.000124731651184808,5.00137905534714e-08,50000,4000,5,5,5e-08,0.01025,"50,000"
-0.000125738953444992,5.00140141523886e-08,50000,4000,5,5,5e-08,0.0105,"50,000"
0.000126198796676475,5.00141168480184e-08,50000,4000,5,5,5e-08,0.01075,"50,000"
-0.000128849508624124,5.00147161464071e-08,50000,4000,5,5,5e-08,0.011,"50,000"
-0.000132565364423365,5.0015577235385e-08,50000,4000,5,5,5e-08,0.01125,"50,000"
-0.000135624774996604,5.00163045424884e-08,50000,4000,5,5,5e-08,0.0115,"50,000"
0.000137223084013733,5.00166911221456e-08,50000,4000,5,5,5e-08,0.01175,"50,000"
-0.000141797378450243,5.001782255043e-08,50000,4000,5,5,5e-08,0.012,"50,000"
-0.00014253016969312,5.0018007180519e-08,50000,4000,5,5,5e-08,0.01225,"50,000"
0.000148725030262433,5.00196066788305e-08,50000,4000,5,5,5e-08,0.0125,"50,000"
-0.000153889161361884,5.00209919040984e-08,50000,4000,5,5,5e-08,0.01275,"50,000"
-0.000153999007243796,5.002102188012e-08,50000,4000,5,5,5e-08,0.013,"50,000"
-0.000155841985904477,5.00215281418193e-08,50000,4000,5,5,5e-08,0.01325,"50,000"
-0.000163448632116986,5.00236811973309e-08,50000,4000,5,5,5e-08,0.0135,"50,000"
-0.00016568972376528,5.00243350076701e-08,50000,4000,5,5,5e-08,0.01375,"50,000"
-0.000171182587788114,5.0025975362189e-08,50000,4000,5,5,5e-08,0.014,"50,000"
-0.000171625573291056,5.00261100322419e-08,50000,4000,5,5,5e-08,0.01425,"50,000"
0.00017423119870085,5.00269089487304e-08,50000,4000,5,5,5e-08,0.0145,"50,000"
0.000178500030955936,5.00282437698729e-08,50000,4000,5,5,5e-08,0.01475,"50,000"
-0.000179654502872531,5.00286102544933e-08,50000,4000,5,5,5e-08,0.015,"50,000"
-0.000182092668268209,5.00293921845696e-08,50000,4000,5,5,5e-08,0.01525,"50,000"
-0.000182183930283331,5.0029421716502e-08,50000,4000,5,5,5e-08,0.0155,"50,000"
0.000187113000092998,5.00310354256683e-08,50000,4000,5,5,5e-08,0.01575,"50,000"
0.000188114241599845,5.00313684925757e-08,50000,4000,5,5,5e-08,0.016,"50,000"
0.000188169675148452,5.00313869222779e-08,50000,4000,5,5,5e-08,0.01625,"50,000"
-0.000189794012574143,5.00319312646269e-08,50000,4000,5,5,5e-08,0.0165,"50,000"
0.000190580397554411,5.00321963858852e-08,50000,4000,5,5,5e-08,0.01675,"50,000"
0.000193347581015142,5.0033138188077e-08,50000,4000,5,5,5e-08,0.017,"50,000"
-0.000198106822659003,5.00347898668707e-08,50000,4000,5,5,5e-08,0.01725,"50,000"
-0.000202878121323911,5.00364860656077e-08,50000,4000,5,5,5e-08,0.0175,"50,000"
0.000205296806815396,5.0037361254418e-08,50000,4000,5,5,5e-08,0.01775,"50,000"
-0.000205954986098651,5.0037601284636e-08,50000,4000,5,5,5e-08,0.018,"50,000"
0.000206380545105249,5.00377568268817e-08,50000,4000,5,5,5e-08,0.01825,"50,000"
0.000206799886522454,5.0037910370726e-08,50000,4000,5,5,5e-08,0.0185,"50,000"
-0.000212961037297784,5.00402032033165e-08,50000,4000,5,5,5e-08,0.01875,"50,000"
-0.000214411309694654,5.00407527637137e-08,50000,4000,5,5,5e-08,0.019,"50,000"
0.000214457957243859,5.00407705272821e-08,50000,4000,5,5,5e-08,0.01925,"50,000"
0.000221749563315556,5.00435903827423e-08,50000,4000,5,5,5e-08,0.0195,"50,000"
0.000225945449057793,5.00452558283015e-08,50000,4000,5,5,5e-08,0.01975,"50,000"
0.000234761824275823,5.00488569477042e-08,50000,4000,5,5,5e-08,0.02,"50,000"
-0.000235222019983645,5.00490486832206e-08,50000,4000,5,5,5e-08,0.02025,"50,000"
-0.000237692602111213,5.00500846323249e-08,50000,4000,5,5,5e-08,0.0205,"50,000"
0.000238597484806844,5.00504667710899e-08,50000,4000,5,5,5e-08,0.02075,"50,000"
-0.000238870254463017,5.00505822342845e-08,50000,4000,5,5,5e-08,0.021,"50,000"
-0.000245570984373764,5.00534602654312e-08,50000,4000,5,5,5e-08,0.02125,"50,000"
0.000248517971937248,5.00547513437866e-08,50000,4000,5,5,5e-08,0.0215,"50,000"
0.000265574587727988,5.00625261246057e-08,50000,4000,5,5,5e-08,0.02175,"50,000"
-0.00026715754617323,5.00632738598128e-08,50000,4000,5,5,5e-08,0.022,"50,000"
-0.000269491885162041,5.00643846379489e-08,50000,4000,5,5,5e-08,0.02225,"50,000"
-0.00027045188455387,5.00648442702811e-08,50000,4000,5,5,5e-08,0.0225,"50,000"
0.000271382412025436,5.00652913570931e-08,50000,4000,5,5,5e-08,0.02275,"50,000"
-0.000273747069511731,5.0066434331697e-08,50000,4000,5,5,5e-08,0.023,"50,000"
0.00027420870277216,5.0066658596748e-08,50000,4000,5,5,5e-08,0.02325,"50,000"
-0.000277181985302594,5.00681123227764e-08,50000,4000,5,5,5e-08,0.0235,"50,000"
0.000279219625545179,5.00691176297252e-08,50000,4000,5,5,5e-08,0.02375,"50,000"
0.000279545884608671,5.00692792781976e-08,50000,4000,5,5,5e-08,0.024,"50,000"
-0.000279810528684355,5.00694105065591e-08,50000,4000,5,5,5e-08,0.02425,"50,000"
-0.000283442525260854,5.0071224499959e-08,50000,4000,5,5,5e-08,0.0245,"50,000"
0.000283555486252701,5.00712813433779e-08,50000,4000,5,5,5e-08,0.02475,"50,000"
-0.000286642988200209,5.00728424279728e-08,50000,4000,5,5,5e-08,0.025,"50,000"
0.000290107821782026,5.00746144549424e-08,50000,4000,5,5,5e-08,0.02525,"50,000"
0.000290464557321757,5.00747980858307e-08,50000,4000,5,5,5e-08,0.0255,"50,000"
0.000306000564376057,5.00830155125698e-08,50000,4000,5,5,5e-08,0.02575,"50,000"
-0.00030637966722722,5.00832213479185e-08,50000,4000,5,5,5e-08,0.026,"50,000"
0.000306518790792321,5.00832969541065e-08,50000,4000,5,5,5e-08,0.02625,"50,000"
0.000315853276450227,5.008844883303e-08,50000,4000,5,5,5e-08,0.0265,"50,000"
-0.000320696597497373,5.00911829792727e-08,50000,4000,5,5,5e-08,0.02675,"50,000"
0.000324097096754075,5.00931274238781e-08,50000,4000,5,5,5e-08,0.027,"50,000"
-0.000326984440046338,5.00947946457941e-08,50000,4000,5,5,5e-08,0.02725,"50,000"
-0.00032790201769008,5.0095327552846e-08,50000,4000,5,5,5e-08,0.0275,"50,000"
-0.000328532322416336,5.00956944815556e-08,50000,4000,5,5,5e-08,0.02775,"50,000"
0.000329002801051543,5.0095968817665e-08,50000,4000,5,5,5e-08,0.028,"50,000"
-0.000334766415368183,5.00993616592282e-08,50000,4000,5,5,5e-08,0.02825,"50,000"
0.000339414545330973,5.01021408805258e-08,50000,4000,5,5,5e-08,0.0285,"50,000"
0.000348254739523404,5.01075324566003e-08,50000,4000,5,5,5e-08,0.02875,"50,000"
-0.000354105463239276,5.01111770967455e-08,50000,4000,5,5,5e-08,0.029,"50,000"
-0.000354688760977197,5.01115438034105e-08,50000,4000,5,5,5e-08,0.02925,"50,000"
-0.000361372634596661,5.01157887411452e-08,50000,4000,5,5,5e-08,0.0295,"50,000"
0.000372578960254424,5.012308401664e-08,50000,4000,5,5,5e-08,0.02975,"50,000"
0.000373528617287817,5.01237125138942e-08,50000,4000,5,5,5e-08,0.03,"50,000"
0.000373598670701175,5.01237589212167e-08,50000,4000,5,5,5e-08,0.03025,"50,000"
0.000374753494095926,5.01245255302152e-08,50000,4000,5,5,5e-08,0.0305,"50,000"
-0.000378668899542129,5.01271421038396e-08,50000,4000,5,5,5e-08,0.03075,"50,000"
0.000380496027283151,5.01283724529955e-08,50000,4000,5,5,5e-08,0.031,"50,000"
0.000387150164245577,5.01329034952036e-08,50000,4000,5,5,5e-08,0.03125,"50,000"
-0.000391128377385514,5.01356498538996e-08,50000,4000,5,5,5e-08,0.0315,"50,000"
-0.000391201349141645,5.01357005910918e-08,50000,4000,5,5,5e-08,0.03175,"50,000"
-0.000393125186147721,5.01370390759703e-08,50000,4000,5,5,5e-08,0.032,"50,000"
-0.000394134411584432,5.01377438455464e-08,50000,4000,5,5,5e-08,0.03225,"50,000"
-0.000396996498445999,5.01397524610425e-08,50000,4000,5,5,5e-08,0.0325,"50,000"
0.000401533632173441,5.01429663346542e-08,50000,4000,5,5,5e-08,0.03275,"50,000"
0.000406248085414731,5.01463447433181e-08,50000,4000,5,5,5e-08,0.033,"50,000"
0.000407971443907894,5.01475895253733e-08,50000,4000,5,5,5e-08,0.03325,"50,000"
-0.000408922836589339,5.01482789738716e-08,50000,4000,5,5,5e-08,0.0335,"50,000"
0.000409670221760403,5.01488216508861e-08,50000,4000,5,5,5e-08,0.03375,"50,000"
0.00041080695534126,5.01496491001063e-08,50000,4000,5,5,5e-08,0.034,"50,000"
0.000415549711494392,5.01531259855525e-08,50000,4000,5,5,5e-08,0.03425,"50,000"
0.000418129584641926,5.01550340148427e-08,50000,4000,5,5,5e-08,0.0345,"50,000"
0.000420377083755198,5.01567058996955e-08,50000,4000,5,5,5e-08,0.03475,"50,000"
0.000428344893045193,5.01627054338982e-08,50000,4000,5,5,5e-08,0.035,"50,000"
0.000432099095405783,5.0165571363614e-08,50000,4000,5,5,5e-08,0.03525,"50,000"
