"seed","gen","scenario","rmate","args_kphen","args_rmate","args_theta","args_phi","he_rg","rg_true","he_h2","h2_true"
1,0,"5xAM",0.2,5,0.2,0,0,0.000535703781033532,-1.36401914066107e-07,0.497469258308411,0.499968919355331
1,1,"5xAM",0.2,5,0.2,0,0,0.101224516520824,0.0473641855162813,0.542695534229279,0.513209805583328
1,2,"5xAM",0.2,5,0.2,0,0,0.178068582086926,0.0809936096549237,0.579400444030762,0.520338030842675
1,3,"5xAM",0.2,5,0.2,0,0,0.222501852591856,0.101042252859264,0.609021079540253,0.528060186217499
1,4,"5xAM",0.2,5,0.2,0,0,0.267398984678653,0.115962680767634,0.631903898715973,0.535656083880305
1,5,"5xAM",0.2,5,0.2,0,0,0.287741200735651,0.130203495221115,0.660641956329346,0.530932533488747
1,0,"5xAM",0.2,5,0.2,0,0,-0.000286340152158701,9.19080855800642e-05,0.504416215419769,0.5015402625781
1,1,"5xAM",0.2,5,0.2,0,0,0.103571247913445,0.0480257877826543,0.544785904884338,0.515494353591895
1,2,"5xAM",0.2,5,0.2,0,0,0.177550624934644,0.0807313196774122,0.583781611919403,0.523187649362988
1,3,"5xAM",0.2,5,0.2,0,0,0.235630378374878,0.104358024427982,0.614628803730011,0.528395365499398
1,4,"5xAM",0.2,5,0.2,0,0,0.273422798843106,0.120675245783743,0.651232600212097,0.533222059916752
1,5,"5xAM",0.2,5,0.2,0,0,0.311492208487093,0.136306247968286,0.66777595281601,0.540364340521391
1,0,"5xAM",0.2,5,0.2,0,0,-0.00140564768094659,-0.000338826252699145,0.504218542575836,0.503190812656035
1,1,"5xAM",0.2,5,0.2,0,0,0.0999947283989946,0.0469686289690656,0.54480756521225,0.517652068192422
1,2,"5xAM",0.2,5,0.2,0,0,0.170178904619336,0.0784935062342538,0.581139659881592,0.524002155333186
1,3,"5xAM",0.2,5,0.2,0,0,0.218472832038277,0.101893993060589,0.610415172576904,0.528698287891006
1,4,"5xAM",0.2,5,0.2,0,0,0.26032475556244,0.118786226616414,0.648208701610565,0.535618766121067
1,5,"5xAM",0.2,5,0.2,0,0,0.290485446503568,0.132039608647871,0.660787355899811,0.542578307081569
1,0,"5xAM + GxE",0.2,5,0.2,0,0.05,0.000967394777637008,-3.31984883571158e-06,0.498603516817093,0.500958282294634
1,1,"5xAM + GxE",0.2,5,0.2,0,0.05,0.102115049983703,0.0482496265343126,0.539428281784058,0.514217715992152
1,2,"5xAM + GxE",0.2,5,0.2,0,0.05,0.181159705576525,0.0834803833896053,0.577972745895386,0.521007268156144
1,3,"5xAM + GxE",0.2,5,0.2,0,0.05,0.239103553852035,0.108987525927066,0.622857582569122,0.525701873033898
1,4,"5xAM + GxE",0.2,5,0.2,0,0.05,0.273614110827297,0.12054939243058,0.64074695110321,0.532081756307092
1,5,"5xAM + GxE",0.2,5,0.2,0,0.05,0.296439776360096,0.132664045037723,0.651962316036224,0.52558895090105
1,0,"5xAM + GxE",0.2,5,0.2,0,0.05,-0.00505869243159071,-0.0014763984352154,0.504284316301346,0.50245400931054
1,1,"5xAM + GxE",0.2,5,0.2,0,0.05,0.0952757668177998,0.0456590281320433,0.544675385951996,0.516545480216365
1,2,"5xAM + GxE",0.2,5,0.2,0,0.05,0.175623732170501,0.0799622457597558,0.583512532711029,0.521753410426457
