"seed","gen","scenario_label","latent_r","args_kphen","args_kmate","args_rmate","he_rg","rg_true","he_h2","h2_true"
1,0,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,-0.00208531821772401,-0.000831117980950425,0.502528861165047,0.500671224122688
1,1,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0427602584432425,0.0228461990249776,0.520472407341003,0.505137352960263
1,2,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0827995981310895,0.0408108410864964,0.533216387033463,0.512500968167425
1,3,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0932535190218482,0.0415135263212011,0.537158787250519,0.512046914040192
1,4,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.116903579496017,0.0557708724888539,0.537699311971664,0.517183282431586
1,5,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.137547649353551,0.065070986911631,0.555527180433273,0.523117256721961
1,0,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.000313341379034824,0.000544065012340196,0.499200773239136,0.499652330983383
1,1,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0502920217976811,0.0247254510916672,0.520089972019196,0.506394455040607
1,2,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0790450784531888,0.0374378573524156,0.53789097070694,0.509973557789337
1,3,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0915274724136173,0.0440051441542849,0.539772891998291,0.509662679827312
1,4,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.119290555930233,0.0550338427668977,0.544322538375855,0.51282176619923
1,5,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.116605956444222,0.0581480438236675,0.542992150783539,0.513137148782115
10,0,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.00839005843331321,0.00266774169085868,0.508204057812691,0.506901148855372
10,1,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0490179788869058,0.0256984242943497,0.529772758483887,0.516109574985062
10,2,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.080793897909306,0.0371282152623175,0.539283007383347,0.51740476578502
10,3,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0993821573982866,0.0441386746547016,0.551766723394394,0.517885555396558
10,4,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0557593223117903,0.0343258235016894,0.544839709997177,0.517026510243448
10,5,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.110641142124474,0.0464127689247197,0.555050939321518,0.519923867993298
10,0,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,-0.00013931006817813,-0.000312965317544572,0.506707149744034,0.50697561468681
10,1,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0487095615502585,0.0237796458671098,0.528698647022247,0.515031497778261
10,2,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.082154137820284,0.0394905444740471,0.54273921251297,0.519034619269604
10,3,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.100483751004335,0.0481708017528328,0.552086067199707,0.51811466132335
10,4,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.125021475215156,0.0574448822494369,0.55845707654953,0.522473462239682
10,5,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.125028581061342,0.0608264983662393,0.571619999408722,0.523008994391817
100,0,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.00361639739553887,0.000144212141249183,0.504716500639915,0.504903298331134
100,1,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0546139698377746,0.0257681360694358,0.522580683231354,0.509158329211975
100,2,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0876278308040276,0.0385778571357989,0.536041438579559,0.515693186910817
100,3,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.111783111750809,0.0480241866441414,0.543342560529709,0.516117406639317
100,4,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.101658109357655,0.0546239365204366,0.539142400026321,0.515630985081426
100,5,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.13252626585145,0.0582516732235842,0.575156301259995,0.521071419274866
100,0,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.00214624747478703,0.000794501595018928,0.507493555545807,0.505036085720364
100,1,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0522956211110287,0.0253433793817879,0.524793863296509,0.512147254422795
100,2,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0897510256130277,0.0416644456061276,0.543490064144134,0.514754401880229
100,3,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.105192522063945,0.049065894315326,0.552654576301575,0.51779561386494
100,4,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.101639184979192,0.0522387495775443,0.560589814186096,0.521227949692223
100,5,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.116858777490893,0.0521297751321722,0.553145468235016,0.517725971242032
101,0,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.000487381777826992,-0.000220558734485376,0.491288498044014,0.491875088948997
101,1,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0341899084098819,0.0207470703156323,0.509392112493515,0.500185752135319
101,2,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0705993019788164,0.0338620104980984,0.525938004255295,0.501158837011139
101,3,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.066223012305443,0.0350439501468186,0.519394189119339,0.49896215064446
101,4,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0821645951243642,0.0460941018516296,0.526009291410446,0.51563414044631
101,5,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.129760690603341,0.0616864464668752,0.526475608348846,0.503769623819797
101,0,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,5.92169097476767e-05,-0.000175787413920376,0.493028700351715,0.491998884962466
101,1,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0500785551502082,0.023476693493908,0.513850939273834,0.498255104308911
101,2,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.083006254651674,0.0382876648461652,0.526459681987762,0.50102802658381
101,3,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.101970800848401,0.0474210974455576,0.541086208820343,0.505449071288607
101,4,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.112637048329498,0.0507547774479431,0.544728600978851,0.509173560550058
