"delta_N","kpheno","m_causal","N","gen","variable","value","type","kpheno_label","m_causal_label"
"0→ 50K",2,2000,50000,5,"delta_ex_on_target",346.112843058919,"On target associations","2",2000
" 50K→100K",2,2000,1e+05,5,"delta_ex_on_target",279.926490070324,"On target associations","2",2000
"100K→200K",2,2000,2e+05,5,"delta_ex_on_target",328.389459598342,"On target associations","2",2000
"200K→400K",2,2000,4e+05,5,"delta_ex_on_target",274.313071535353,"On target associations","2",2000
"400K→800K",2,2000,8e+05,5,"delta_ex_on_target",217.708772052074,"On target associations","2",2000
"800K→1.6M",2,2000,1600000,5,"delta_ex_on_target",137.837932217781,"On target associations","2",2000
"1.6M→3.2M",2,2000,3200000,5,"delta_ex_on_target",129.758709102679,"On target associations","2",2000
"3.2M→6.4M",2,2000,6400000,5,"delta_ex_on_target",88.94162519975,"On target associations","2",2000
"0→ 50K",2,4000,50000,5,"delta_ex_on_target",248.192438610157,"On target associations","2",4000
" 50K→100K",2,4000,1e+05,5,"delta_ex_on_target",444.342092876451,"On target associations","2",4000
"100K→200K",2,4000,2e+05,5,"delta_ex_on_target",665.092482798996,"On target associations","2",4000
"200K→400K",2,4000,4e+05,5,"delta_ex_on_target",555.464316886151,"On target associations","2",4000
"400K→800K",2,4000,8e+05,5,"delta_ex_on_target",612.001240370551,"On target associations","2",4000
"800K→1.6M",2,4000,1600000,5,"delta_ex_on_target",380.146444825377,"On target associations","2",4000
"1.6M→3.2M",2,4000,3200000,5,"delta_ex_on_target",328.753417610355,"On target associations","2",4000
"3.2M→6.4M",2,4000,6400000,5,"delta_ex_on_target",202.908585309305,"On target associations","2",4000
"0→ 50K",2,8000,50000,5,"delta_ex_on_target",99.9173685753369,"On target associations","2",8000
" 50K→100K",2,8000,1e+05,5,"delta_ex_on_target",354.058858899208,"On target associations","2",8000
"100K→200K",2,8000,2e+05,5,"delta_ex_on_target",847.776163853104,"On target associations","2",8000
"200K→400K",2,8000,4e+05,5,"delta_ex_on_target",1352.76536032442,"On target associations","2",8000
"400K→800K",2,8000,8e+05,5,"delta_ex_on_target",1311.11813956182,"On target associations","2",8000
"800K→1.6M",2,8000,1600000,5,"delta_ex_on_target",1000.10442873343,"On target associations","2",8000
"1.6M→3.2M",2,8000,3200000,5,"delta_ex_on_target",654.580448276628,"On target associations","2",8000
"3.2M→6.4M",2,8000,6400000,5,"delta_ex_on_target",769.419534281932,"On target associations","2",8000
"0→ 50K",5,2000,50000,5,"delta_ex_on_target",362.128745025189,"On target associations","5",2000
" 50K→100K",5,2000,1e+05,5,"delta_ex_on_target",313.273680482032,"On target associations","5",2000
"100K→200K",5,2000,2e+05,5,"delta_ex_on_target",330.057748556453,"On target associations","5",2000
"200K→400K",5,2000,4e+05,5,"delta_ex_on_target",248.285538902086,"On target associations","5",2000
"400K→800K",5,2000,8e+05,5,"delta_ex_on_target",201.469427332703,"On target associations","5",2000
"800K→1.6M",5,2000,1600000,5,"delta_ex_on_target",146.610705417276,"On target associations","5",2000
"1.6M→3.2M",5,2000,3200000,5,"delta_ex_on_target",108.484105494259,"On target associations","5",2000
"3.2M→6.4M",5,2000,6400000,5,"delta_ex_on_target",98.0901294422331,"On target associations","5",2000
"0→ 50K",5,4000,50000,5,"delta_ex_on_target",261.008786130988,"On target associations","5",4000
" 50K→100K",5,4000,1e+05,5,"delta_ex_on_target",465.170842845648,"On target associations","5",4000
"100K→200K",5,4000,2e+05,5,"delta_ex_on_target",658.879424723085,"On target associations","5",4000
"200K→400K",5,4000,4e+05,5,"delta_ex_on_target",581.068829110617,"On target associations","5",4000
"400K→800K",5,4000,8e+05,5,"delta_ex_on_target",500.084744767492,"On target associations","5",4000
"800K→1.6M",5,4000,1600000,5,"delta_ex_on_target",443.752040596966,"On target associations","5",4000
"1.6M→3.2M",5,4000,3200000,5,"delta_ex_on_target",338.773938979836,"On target associations","5",4000
"3.2M→6.4M",5,4000,6400000,5,"delta_ex_on_target",188.311390786294,"On target associations","5",4000
"0→ 50K",5,8000,50000,5,"delta_ex_on_target",110.913704761822,"On target associations","5",8000
" 50K→100K",5,8000,1e+05,5,"delta_ex_on_target",412.140549486771,"On target associations","5",8000
"100K→200K",5,8000,2e+05,5,"delta_ex_on_target",923.264209259632,"On target associations","5",8000
"200K→400K",5,8000,4e+05,5,"delta_ex_on_target",1190.92949409801,"On target associations","5",8000
"400K→800K",5,8000,8e+05,5,"delta_ex_on_target",1181.98246847974,"On target associations","5",8000
"800K→1.6M",5,8000,1600000,5,"delta_ex_on_target",1178.82051757215,"On target associations","5",8000
"1.6M→3.2M",5,8000,3200000,5,"delta_ex_on_target",890.555369983508,"On target associations","5",8000
"3.2M→6.4M",5,8000,6400000,5,"delta_ex_on_target",611.945636486468,"On target associations","5",8000
"0→ 50K",2,2000,50000,5,"delta_ex_off_target",0.000903768295100305,"Off target associations","2",2000
" 50K→100K",2,2000,1e+05,5,"delta_ex_off_target",0.00473814736034694,"Off target associations","2",2000
"100K→200K",2,2000,2e+05,5,"delta_ex_off_target",0.0399266404368013,"Off target associations","2",2000
"200K→400K",2,2000,4e+05,5,"delta_ex_off_target",0.594885385066438,"Off target associations","2",2000
"400K→800K",2,2000,8e+05,5,"delta_ex_off_target",8.11950762515566,"Off target associations","2",2000
"800K→1.6M",2,2000,1600000,5,"delta_ex_off_target",56.1310940273566,"Off target associations","2",2000
"1.6M→3.2M",2,2000,3200000,5,"delta_ex_off_target",161.720263437766,"Off target associations","2",2000
"3.2M→6.4M",2,2000,6400000,5,"delta_ex_off_target",275.995632531411,"Off target associations","2",2000
"0→ 50K",2,4000,50000,5,"delta_ex_off_target",0.0006577173719442,"Off target associations","2",4000
" 50K→100K",2,4000,1e+05,5,"delta_ex_off_target",0.00115803518822277,"Off target associations","2",4000
"100K→200K",2,4000,2e+05,5,"delta_ex_off_target",0.00644937325661865,"Off target associations","2",4000
"200K→400K",2,4000,4e+05,5,"delta_ex_off_target",0.121292118365554,"Off target associations","2",4000
"400K→800K",2,4000,8e+05,5,"delta_ex_off_target",1.27349177137568,"Off target associations","2",4000
"800K→1.6M",2,4000,1600000,5,"delta_ex_off_target",17.5082988754121,"Off target associations","2",4000
"1.6M→3.2M",2,4000,3200000,5,"delta_ex_off_target",102.603189876446,"Off target associations","2",4000
"3.2M→6.4M",2,4000,6400000,5,"delta_ex_off_target",334.78910878945,"Off target associations","2",4000
"0→ 50K",2,8000,50000,5,"delta_ex_off_target",0.00074935933176512,"Off target associations","2",8000
" 50K→100K",2,8000,1e+05,5,"delta_ex_off_target",0.00060053901473367,"Off target associations","2",8000
"100K→200K",2,8000,2e+05,5,"delta_ex_off_target",0.00261683598156859,"Off target associations","2",8000
"200K→400K",2,8000,4e+05,5,"delta_ex_off_target",0.0157512048748574,"Off target associations","2",8000
"400K→800K",2,8000,8e+05,5,"delta_ex_off_target",0.211877022730374,"Off target associations","2",8000
"800K→1.6M",2,8000,1600000,5,"delta_ex_off_target",2.51002065106573,"Off target associations","2",8000
"1.6M→3.2M",2,8000,3200000,5,"delta_ex_off_target",34.3289125165115,"Off target associations","2",8000
"3.2M→6.4M",2,8000,6400000,5,"delta_ex_off_target",213.429646213101,"Off target associations","2",8000
"0→ 50K",5,2000,50000,5,"delta_ex_off_target",0.0104170530518246,"Off target associations","5",2000
" 50K→100K",5,2000,1e+05,5,"delta_ex_off_target",0.0643047025023824,"Off target associations","5",2000
"100K→200K",5,2000,2e+05,5,"delta_ex_off_target",1.56253253778219,"Off target associations","5",2000
"200K→400K",5,2000,4e+05,5,"delta_ex_off_target",9.87060488102855,"Off target associations","5",2000
"400K→800K",5,2000,8e+05,5,"delta_ex_off_target",124.620196889687,"Off target associations","5",2000
"800K→1.6M",5,2000,1600000,5,"delta_ex_off_target",474.154882050699,"Off target associations","5",2000
"1.6M→3.2M",5,2000,3200000,5,"delta_ex_off_target",1018.94215659376,"Off target associations","5",2000
"3.2M→6.4M",5,2000,6400000,5,"delta_ex_off_target",1179.08998591544,"Off target associations","5",2000
"0→ 50K",5,4000,50000,5,"delta_ex_off_target",0.00443784428481298,"Off target associations","5",4000
" 50K→100K",5,4000,1e+05,5,"delta_ex_off_target",0.0175349289943405,"Off target associations","5",4000
"100K→200K",5,4000,2e+05,5,"delta_ex_off_target",0.198211417153219,"Off target associations","5",4000
"200K→400K",5,4000,4e+05,5,"delta_ex_off_target",1.88268846712115,"Off target associations","5",4000
"400K→800K",5,4000,8e+05,5,"delta_ex_off_target",35.8264414948799,"Off target associations","5",4000
"800K→1.6M",5,4000,1600000,5,"delta_ex_off_target",221.661939743002,"Off target associations","5",4000
"1.6M→3.2M",5,4000,3200000,5,"delta_ex_off_target",840.562849965039,"Off target associations","5",4000
"3.2M→6.4M",5,4000,6400000,5,"delta_ex_off_target",2263.56406237508,"Off target associations","5",4000
"0→ 50K",5,8000,50000,5,"delta_ex_off_target",0.00422021868943823,"Off target associations","5",8000
" 50K→100K",5,8000,1e+05,5,"delta_ex_off_target",0.00542393424504795,"Off target associations","5",8000
"100K→200K",5,8000,2e+05,5,"delta_ex_off_target",0.0335024414917449,"Off target associations","5",8000
"200K→400K",5,8000,4e+05,5,"delta_ex_off_target",0.284703663248351,"Off target associations","5",8000
"400K→800K",5,8000,8e+05,5,"delta_ex_off_target",3.24146612870147,"Off target associations","5",8000
"800K→1.6M",5,8000,1600000,5,"delta_ex_off_target",45.069697420148,"Off target associations","5",8000
"1.6M→3.2M",5,8000,3200000,5,"delta_ex_off_target",496.69793861546,"Off target associations","5",8000
"3.2M→6.4M",5,8000,6400000,5,"delta_ex_off_target",2019.59806890639,"Off target associations","5",8000
