"phenotype","CV 1","CV 2","CV 3","CV 4","CV 5","CV 6","CV 7","CV 8","CV 9","CV 10","CV 11","CV 12","CV 13","CV 14","CV 15","CV 16","CV 17","CV 18","CV 19","CV 20","CV 21","CV 22","CV 23","CV 24","CV 25","CV 26","CV 27","CV 28","CV 29","CV 30","CV 31","CV 32","CV 33","CV 34"
"HbA1C_fasting_adj_earliest",0.0114173363351923,0.0144742325120689,0.0219103618069122,-0.00472785122228588,-0.00050214701294639,0.0224174821180504,-0.027787025929006,-0.0275701788467688,-0.0129740131427294,0.0320076460097848,0.0636925070315065,-0.0481222212890054,-0.0419622441377655,0.0518820888662274,0.0354461466967916,0.00910525065958799,0.0662057031609055,0.0195760751255831,-0.0279293114728082,0.0748392721365696,0.05255956151426,-0.026704407514692,-0.00716799685941694,-0.0180514230361839,-0.0285929486605235,-0.00263656268761575,0.0375309146499103,-0.0499901178170564,-0.0382441520365741,-0.0507941979373085,0.0277492587645619,0.0917058433881131,0.0182678862163986,-0.0165996724788144
"glucose_fasting_adj_earliest",-0.0348019586033682,-0.00534159216606177,-0.0396616002602354,-0.080446177887893,-0.0727484074982271,-0.204290094917631,0.151939507069997,0.172664531511704,-0.0314757608774995,-0.0423877885386168,-0.245999097863625,0.395451879585903,0.306101187684895,-0.314508186310602,-0.111614269189151,0.460312011702633,-0.443732050797474,-0.280938937007191,0.164789283288078,-0.409001863327268,0.127434981123115,-0.31273449850905,0.114061471257467,0.0555969341058765,0.0458807985526394,0.0295874208073213,0.203976662889224,0.0221554980165331,-0.061808684469942,-0.0820428593683481,0.00508952969743714,-0.213330625011834,-0.0989780281969343,0.00792213201575623
"triglycerides_fasting_statin_adj_earliest",0.00407022332232661,-0.0514869417840509,-0.001742848323606,-0.0597455247683418,0.0284256878368152,0.115904875854745,-0.0753990942186052,-0.465971703425216,0.286852952488245,0.0121658873030394,-0.196805915301627,-0.0152229522908893,-0.0286779417799258,-0.0508624134140056,-0.190655806222744,-0.310344931048214,-0.379526228247659,-0.0741963977446647,-0.153852832664149,0.153050420374879,0.198667958674324,-0.102265537907869,-0.0981553406083091,0.275513156111196,0.0860369887362304,-0.303373544196698,-0.0699584180867457,0.122581336290933,-0.0766742472093597,-0.171507942137102,0.0344382936847456,-0.0209496072988967,-0.174686716654098,0.0638710370902087
"LDL_fasting_statin_adj_earliest",-0.0149489206223895,0.0578131196483617,0.0284303625121256,0.0257882094237376,-0.0277084631411165,-0.0956421534776156,0.0464735101179687,0.384823123223175,-0.224654990062236,-0.165693643687617,-0.028129104019309,-0.0788483598200099,0.0944621421956303,0.179798979704242,-0.2151675104595,0.345292598513851,-0.160649445868063,0.287900433938381,0.554569464742189,0.232456719505217,-0.224387359463908,-0.164063824988677,-0.170530870491791,-0.219565212556219,0.269121108673253,-0.391498130865633,-0.312848603076075,-0.357492757284029,0.362524166855356,-0.135449790966105,-0.0864315043231942,0.196017221239953,-0.0406749318220485,-0.317311500231606
"eduyears_mean",-0.127087341699712,-0.056799981086515,0.11313789210665,-0.0545507442258587,-0.0089390711804635,0.0290139743728697,0.0856678963558762,0.0392801474544682,0.0255880127961825,0.00899073107948996,0.0218735764324977,-0.00942678366119522,-0.0344293150051005,-0.0337591188042544,-0.020969684146815,-0.0158503593134444,-0.0110145077991506,0.0198284063005222,-0.0177914176572466,-0.00172385317818433,-0.0229368138113821,-0.0146625872311016,-0.014404567744656,0.00535990677601056,-0.023682781561131,0.00551568767091214,0.00615451533168606,0.00410214527183757,-0.00382868045511256,-0.00886134637275061,0.00495194136089375,0.0191208082435067,0.00982252693081956,-0.013489075161777
"fathers_age",-0.00393927226712656,0.000543665989025583,-0.00035653866295362,0.00159563555734631,-0.00644552358010236,-0.00876996879635365,0.00357902407171689,-0.00722908337723776,-0.00737261834808263,-0.00166962419115735,-0.0051376696809717,0.0227195673966183,0.000606862069115992,0.0144024864386505,0.0151604668794422,0.0137245405211047,-0.0206480609225901,-0.000849178801649666,-0.0149719049524682,0.0131301648926212,0.00340249659712159,0.0133632071072534,-0.0137303772169651,0.0111899230863521,0.00816646822913781,0.032578342802519,-0.0344536915802577,-0.0178944121776499,0.00458936607788479,-0.012787355130099,0.0178872534569159,0.00276348409932099,0.0148504186993579,0.0208158541514785
"mothers_age",0.00263155573912721,0.00725685102604513,0.0187173668688518,-0.00155976865532064,0.00532172815837001,-0.00417955244935288,-0.0115598698346115,0.0048593076423868,0.00321540953876894,0.00899858606881394,0.0194021851409448,-0.00250033488977458,0.0107474786014289,0.00793164830471223,-0.0157301708146389,0.0092521054232285,-0.0055865950992578,0.0137353614379362,0.0197046544142891,-0.00506459278539256,0.00984342760512517,0.02464729563879,0.0172439308124371,0.0279099970524514,-0.0125187755788605,-0.0130684026320655,-0.00367009198444404,-0.0187460689823534,-0.0291422098859369,0.0354598202417469,0.000312411491583087,0.0024818535220433,-0.0329653170323036,0.0215577067135268
"number_full_brothers",0.0321176766116279,-0.0240364060194723,-0.0196253476583447,0.00363277921384432,0.0166200841710634,-0.0788379056485394,0.111280718179744,-0.00251291214376855,0.0147255186736908,-0.123858648112849,0.0735956768640813,-0.132011285744108,-0.0179513580393549,-0.0492655225384652,-0.0817611746487402,-0.0163787689964334,0.112436032847054,0.174121207800185,0.0755125044643106,-0.135670235786678,-0.0246858867490941,-0.0662734360966974,-0.372608155651452,0.272951821834093,0.304529184363608,0.115743044262546,0.0424057736775219,-0.0719829731133786,-0.502314529203893,0.000854746717437297,0.0808257072554973,-0.14995175478177,0.195011740334949,-0.245714932939122
"number_full_sisters",0.0150315629856223,-0.0172298610875762,-0.0749165810545064,0.0752560941428499,-0.0116820578314485,-0.0596754513180189,0.109576427630253,-0.0375718038385531,0.0323771591080585,0.0863768587015999,0.118130380135514,0.306636930457423,-0.0941950239630228,0.0384852683531642,-0.197537617808326,0.254590676226625,-0.0657942580640257,0.232472516062524,-0.0504797945933492,0.294269354498106,-0.211758671141667,-0.0831643878555341,0.0554549149728329,0.228496106674794,-0.126804688492155,-0.0813984333732467,0.163598934379369,0.47469879303258,0.117435680028227,0.221226018217392,-0.0593053047958455,0.295068944444738,0.268851010426547,0.0851458160561293
"diastolic_earliest",-0.00846949490147984,-0.0121626373960984,-0.0260833048301946,-4.16021702584465e-05,-0.0214138716772922,-0.0118956032332522,0.00762923889253406,0.0537086266074336,-0.000270972200912452,-0.00893012610086895,-0.0105900919390686,0.018047096061998,-0.00932666737634919,0.0309476508861642,0.00593129850286687,-0.0154900634487626,-0.0332207260724076,0.0169195825722953,-0.0050795983398294,0.0053754792050338,0.076489514292759,0.0456991563665268,-0.0227343638146247,-0.0440712744165686,0.0090116446527468,-0.0124910082014397,0.043361457464016,0.0461179681421227,-0.0338873425386407,-0.00108152810427497,0.0206268412267802,0.0125806719318933,-0.0220984653277409,0.00870376122731262
