"phenotype","CV 1","CV 2","CV 3","CV 4","CV 5","CV 6","CV 7","CV 8","CV 9","CV 10","CV 11","CV 12","CV 13","CV 14","CV 15","CV 16","CV 17","CV 18","CV 19","CV 20","CV 21","CV 22","CV 23","CV 24","CV 25","CV 26","CV 27","CV 28","CV 29","CV 30","CV 31","CV 32","CV 33","CV 34"
"HbA1C_fasting_adj_earliest",0.146800019839413,0.0539302027112819,0.0697953905767283,-0.0676065425887311,-0.040670982543413,0.0182385412483525,-0.00997065368789881,-0.0229817055921652,-0.00825201754951473,0.0312600664223337,0.0263578281205535,-0.00724029826448596,-0.00658855410518071,0.0040212481956076,0.013119821106494,0.0315637784764405,0.0101516506739672,-0.000302718104078241,-0.0055272175109664,0.0169944087070053,0.0273350310931378,-0.0258134215008092,0.00441427242351596,-0.00288240761132382,-0.00804845731088158,-0.000157191201368509,0.00867219171188003,-0.00707754757381542,-0.0054280898562756,-0.00691319014580331,0.00329435519578241,0.00561880099181524,0.000435848662859143,-0.000404331049534602
"glucose_fasting_adj_earliest",0.0758973148195186,0.0368016289663959,0.0337516643611242,-0.0611791240480489,-0.04315026028166,-0.0200990409295793,0.0157220392947735,-0.0016716026094598,-0.00556549504894701,0.0173593723920147,-0.0125273877994883,0.0310693073829478,0.0280167654656049,-0.0330388049454481,-0.00369974781224549,0.0533179613363778,-0.0293067682402089,-0.0231171420096114,0.00964721152504543,-0.0173146026811311,0.0193639579344294,-0.0306255825483291,0.0108126153472137,0.00180014605906073,-0.00303446189375676,0.00237301833479088,0.011361695317446,-0.00380460320942984,-0.00391456965410651,-0.00456923917833483,0.00184311405388494,0.00130072303486872,-6.71996965561158e-06,-0.00018924402959502
"triglycerides_fasting_statin_adj_earliest",0.0992060423312093,-0.00618414536459947,-0.00552343559378709,-0.0528410700442064,-0.0638718105262586,0.0527085212679467,0.00316642447263986,-0.0734205082619555,0.0334795699487124,-0.00351799613208986,-0.0293808806905367,-0.0069398356674503,-0.00823234112238288,-0.0133190992983632,-0.030360434434594,-0.027016647783537,-0.0447006539684627,-0.00717356550314021,-0.00599272388846877,0.0159915081645143,0.0121012898573275,-0.00776490468826306,-0.0115013690084018,0.0155477724023576,0.00211709370706794,-0.0144344888910205,-0.00496532903308649,0.000218489983821021,-0.00108665638390549,-0.00419039372236251,0.000329451801226269,0.00200223057648785,-0.00154760703746856,-0.000115706031526321
"LDL_fasting_statin_adj_earliest",0.00570882964016411,0.0582101420061147,-0.00954482492363112,0.00822569597062697,-0.0236932610400094,0.00589120512653146,0.0167656632787755,0.0438968091590416,-0.0209049951205277,-0.0237992152545008,-0.0112483932921016,-0.0155277533245552,-0.00124481601517095,0.023722626444811,-0.0309762050828,0.0180836106098135,-0.0291323219330083,0.0176359712684252,0.0331509769744171,0.0161601683236554,-0.0108827937038364,-0.00330752808552441,-0.0119605859787633,-0.00506049762380382,0.00988697746845114,-0.0153307671548428,-0.00852912166369699,-0.00782892615713457,0.00644517621402575,-0.00338340961615532,-0.000799376767592789,0.00368928180905617,-0.000771251912709155,-0.000877897548198599
"eduyears_mean",-0.456400172163564,-0.132789724684813,0.180022670392026,-0.0440949410030685,-0.0166262430897957,0.0261698596380351,0.0488668746989921,0.0166061804905475,0.000539292455812335,0.00340659403523678,0.00522143455083326,-0.00209988706479301,-0.0135952532678731,-0.00810321420590042,-0.00383499367416797,-0.0072358759248481,-0.00202535048393752,0.00184913008290412,-0.00244203492990072,8.20731088341183e-05,-0.00305624905912955,-0.00211415915309989,0.000437714136326247,0.00139137909969872,-0.00238503626183624,0.000151540751416621,-7.01207993741441e-05,8.64522910863844e-05,-0.000434843335414453,-0.000469157312164509,0.000317038233622298,0.000692083253562707,0.000170355257970769,-7.6523751539214e-05
"fathers_age",-0.0987818222913219,-0.00335890840583132,0.0240985035218233,0.0119109589892333,-0.0170504531593675,-0.024205938792701,0.00110268425712019,-0.0157969577729101,-0.0194149307690942,-0.00457639541828003,-0.00774612877259054,0.0415843962469821,0.0033798262985168,0.0319228112945058,0.0192460560644702,0.0238324260692181,-0.0273006782559444,-0.00131612086108986,-0.0176435702766997,0.0150613031223085,0.00581138777271909,0.0174351639828121,-0.0128513390024821,0.0106774952353799,0.00472407305731262,0.0151613770463528,-0.0163466619826337,-0.00645985596261944,0.000501290151533088,-0.00236826715710742,0.00407596177634988,0.000389313023816922,0.00155209710957969,0.000933678236116889
"mothers_age",-0.0092224017118179,0.0842703836696387,0.124603971973933,-0.00759731773185395,0.0208405829333625,-0.0067470586640321,-0.0299331863043997,0.00633362848494373,0.00477416489673953,0.00977644800442293,0.0277898684149814,0.00110612181649816,0.017223267327534,0.0179486356453548,-0.0168071713696684,0.0180837970420377,-0.0106349949500891,0.0153512968818463,0.0201936130786783,-0.00172310279288931,0.00946988267591238,0.0218133258662388,0.0120902303560814,0.0195080925439862,-0.00650923144770791,-0.00413114722474297,-0.00267971731797934,-0.00694436891769262,-0.00834594659981889,0.00950186115004888,-0.00030942189101132,0.000272405747045005,-0.00294502538758232,0.000906525757509961
"number_full_brothers",0.0797519189651368,-0.0191961657332611,-0.0403272157362745,0.00964013745670675,0.014526221953274,-0.0220409065210024,0.0308059855188026,0.001306224798278,0.00531697481918361,-0.0204464831573663,0.0152599031338461,-0.0134158040463894,-0.00292244668425278,-0.00872752012857027,-0.0134983713274874,0.00163461208477045,0.0122544004663294,0.025733956669517,0.00762895958309809,-0.00910692662147176,-0.00506253126770493,-0.00409371060181302,-0.0323447752866623,0.0213544167885141,0.0145838019090721,0.00468631371456389,0.00225671443426724,-0.000300877793167703,-0.0146721099674213,5.99400959217184e-05,0.00151189514901532,-0.00256305186764209,0.00233433156495417,-0.000937731053691339
"number_full_sisters",0.0630906718867127,-0.0130456354346109,-0.0612705413780548,0.0235211716679706,0.0122451400650436,-0.0185467839796879,0.0244293771238889,-0.00818818691844271,0.00669463193133473,0.0175322926152904,0.0179980432239466,0.0430955925143731,-0.0164321550305834,0.00322302854075439,-0.0256667080768667,0.0332392383973633,-0.00738620191720517,0.0306419524941314,-0.00388925102612166,0.0231567415136989,-0.0184537452977804,-0.00779811098176174,0.000558821649872477,0.0176975347011305,-0.00425120962494223,-0.00234901801007574,0.00605048986914907,0.0138421415351543,0.00114735789983127,0.0047868040568094,-0.000701436520688361,0.00429648381507324,0.00266289956685301,0.000200406686613243
"diastolic_earliest",0.0436896778146535,0.0506911282559635,-0.0180094345207118,-0.00141884252194464,-0.0847235684329464,0.0192994542223819,0.0036603615674773,0.0623070087655613,-0.00500794639845333,-0.00400956171609035,-0.0126084934684513,-0.0174024609261717,-0.0075037285187094,0.0108269409316546,0.0117028513592517,-0.0333914801695194,-0.0514921489250105,-0.00441173459043172,0.0120534145471668,-0.00177881108572935,0.0110282758677865,0.0263887099669527,-0.00847581362016941,-0.00695213856672739,0.00790122696904782,0.00286140998696865,0.0131851989939706,0.00406803046146743,-0.0016504916774224,0.00206506413073827,0.00230789098610698,0.00547026913710093,0.000649727829752606,7.85114310120357e-05
