"phenotype","CV 1","CV 2","CV 3","CV 4","CV 5","CV 6","CV 7","CV 8","CV 9","CV 10","CV 11","CV 12","CV 13","CV 14","CV 15","CV 16","CV 17","CV 18","CV 19","CV 20","CV 21","CV 22","CV 23","CV 24","CV 25","CV 26","CV 27","CV 28","CV 29","CV 30","CV 31","CV 32","CV 33","CV 34"
"HbA1C_fasting_adj_earliest",0.248878453907756,0.111363261491834,0.175904386354408,-0.215830099641587,-0.146062094749334,0.0694724601949484,-0.0463728826658738,-0.121098463845235,-0.0467478550531666,0.183107563099547,0.167853712747575,-0.0489986325241277,-0.0452488314959659,0.0288069626065434,0.103491215193625,0.259025780798708,0.0870594351356648,-0.00270380772522518,-0.0536861288429811,0.190761933888968,0.317457290295816,-0.31862710895648,0.0560698750184839,-0.0436352319772113,-0.168986680131836,-0.00384986550218672,0.22931963888594,-0.23062934682913,-0.191202355677814,-0.283400525173655,0.163728382486339,0.333678192283356,0.0442155666414504,-0.112472685004235
"glucose_fasting_adj_earliest",0.128673050512492,0.075993584742314,0.0850638668087423,-0.195310926038631,-0.15496594897825,-0.0765592928690524,0.0731222150830113,-0.00880824564362764,-0.0315286479077744,0.101683481176766,-0.0797777625514027,0.210261168756512,0.192413370122945,-0.236679650777875,-0.0291841934345718,0.437549850885517,-0.251331608088917,-0.206476937812282,0.0937038283514822,-0.194356105523691,0.224884676162345,-0.378025858647852,0.137341317656747,0.0272514513808877,-0.0637120409049253,0.0581190381130158,0.300438453610069,-0.12397700530908,-0.137889194753216,-0.187312189520847,0.0916021694220673,0.0772447558774685,-0.000681721183037409,-0.052641972844896
"triglycerides_fasting_statin_adj_earliest",0.168189666872713,-0.012769961222443,-0.013920640613441,-0.16869215576053,-0.229383453693042,0.200772122937899,0.0147268409009457,-0.386877759337873,0.189662476335523,-0.0206068563654965,-0.187105321619957,-0.0469652554667797,-0.0565380218963169,-0.095413855792219,-0.239487888435239,-0.221710093800038,-0.383347872151474,-0.0640726192566773,-0.0582076146195706,0.179504393230617,0.140539173857224,-0.0958458425228819,-0.146089833379456,0.23536943659174,0.0444508336524638,-0.353523863554022,-0.131298695721373,0.00711972639261781,-0.0382770488176579,-0.171781732681415,0.0163736474413482,0.118904492305463,-0.157000188208974,-0.0321859230244191
"LDL_fasting_statin_adj_earliest",0.00967850478508617,0.120201129233791,-0.0240556941823651,0.0262600735517893,-0.0850898385661755,0.0224402000181989,0.0779760445381715,0.231307295080801,-0.118427242297735,-0.139405215908984,-0.0716327827880257,-0.105083886227073,-0.00854913979830715,0.169941465853948,-0.244345184289029,0.148401794207297,-0.249835575822434,0.15752039509622,0.321997029714832,0.181397600501389,-0.126388083785173,-0.0408263628147404,-0.151922785146916,-0.0766081753555646,0.207588539566673,-0.375475160689586,-0.225536423191855,-0.255113809856087,0.227028827360861,-0.138700085181251,-0.0397287655326585,0.219091739797087,-0.0782412411681818,-0.244204580675294
"eduyears_mean",-0.773761266078554,-0.274204362121001,0.453708720640793,-0.140770628787761,-0.0597099883415586,0.0996836593044497,0.227276758134159,0.0875036423940461,0.00305510324042466,0.0199543124392152,0.0332514944409308,-0.0142109607741853,-0.0933693970546935,-0.0580488886204454,-0.03025103409399,-0.0593806730900448,-0.017369182091293,0.0165159999871964,-0.0237196024266241,0.000921269179262257,-0.0354939616301941,-0.0260960531251224,0.00555982380855623,0.0210633463306999,-0.0500765978265779,0.00371147688919518,-0.00185421136037376,0.00281713901853321,-0.0153171874974755,-0.0192327168575708,0.0157566971659986,0.0411000655290272,0.017282040541409,-0.0212865962494666
"fathers_age",-0.167470462421929,-0.00693598348087518,0.0607351350717901,0.0380250692763804,-0.0612334580858513,-0.0922028848885759,0.00512851506767226,-0.0832395712344203,-0.109985996032502,-0.0268064885563579,-0.0493294238035597,0.281421907773943,0.0232119503347392,0.228685021795042,0.151815921393224,0.195579017116553,-0.234127601915886,-0.0117552855398709,-0.171372844518171,0.16906285826322,0.0674909572592,0.21521036619851,-0.163237087011443,0.161640907309741,0.0991873835965904,0.371326524319149,-0.432256429215035,-0.210501214683468,0.0176577507721765,-0.0970851577810906,0.20257397549975,0.0231197485386695,0.157455692836206,0.259721083177037
"mothers_age",-0.0156352640950886,0.174014268458442,0.314037718627009,-0.0242540112286135,0.0748449879664133,-0.0257002332635744,-0.139217365256023,0.0333740538541495,0.0270457457529117,0.0572660833689235,0.176973329095496,0.00748566625761413,0.118285849774028,0.128578404197617,-0.1325776148086,0.148403324149407,-0.0912045422721231,0.137114214650455,0.196141532587798,-0.0193417980424095,0.109979143007804,0.269252061655889,0.153569521762896,0.295322611640592,-0.136668850944931,-0.101178444129749,-0.07086003493594,-0.226289579960173,-0.293982725507123,0.389520956788217,-0.0153781674137659,0.0161770914068637,-0.298764175230977,0.25216808377956
"number_full_brothers",0.135207980965755,-0.0396391542534764,-0.101636140708646,0.0307755987537575,0.0521681620311005,-0.083956056577679,0.14327669946091,0.00688294503963841,0.0301207755166737,-0.119766402742725,0.0971791524502379,-0.0907912945671368,-0.0200707614236189,-0.0625212207159923,-0.106477278956571,0.0134143214785492,0.105092385148852,0.229849717958507,0.0741004504171271,-0.102225088501071,-0.0587940600033624,-0.0505305805322747,-0.41084177273782,0.323273129949849,0.306203806906148,0.114775364940663,0.059674527077804,-0.00980441999010098,-0.51681937160445,0.00245719476896989,0.0751406975040573,-0.152209433145799,0.236811080698937,-0.260848454609243
"number_full_sisters",0.106961217664297,-0.0269386065171937,-0.154419323305611,0.0750900228054424,0.0439760904839221,-0.07064658813597,0.113619495213367,-0.0431463562843275,0.0379252323789354,0.102696370921358,0.114616362300922,0.291648910567591,-0.112852653590522,0.0230887670039051,-0.202463035687294,0.27277531698108,-0.0633432519855157,0.273686795579975,-0.0377764817969919,0.259934009466271,-0.214313858216689,-0.0962557233012565,0.00709812559348971,0.267913541816215,-0.0892590683300218,-0.0575312315350823,0.159993713005062,0.451060770368763,0.0404152361257366,0.196231082176633,-0.0348611670946025,0.255151046402359,0.270143339398141,0.0557470868546567
"diastolic_earliest",0.0740696048824347,0.104674729325726,-0.0453889361715535,-0.00452957526241053,-0.304268574449724,0.0735135857079508,0.0170241112364895,0.328316930962406,-0.0283701229359052,-0.02348622888421,-0.0802942651857853,-0.117770947658288,-0.0515340607232017,0.0775608138044822,0.0923139346618004,-0.274024677666221,-0.441590982915714,-0.0394045876559488,0.117075393738913,-0.0199671226335235,0.128077651043977,0.325728162986758,-0.10765937503797,-0.105244718999749,0.165895408634645,0.0700805356838084,0.348657544988543,0.132561059946785,-0.0581379279092872,0.0846555999220827,0.114701431889868,0.324857477534792,0.0659129799012855,0.0218395086389751
