"phenotype","CV 1","CV 2","CV 3","CV 4","CV 5","CV 6","CV 7","CV 8","CV 9","CV 10","CV 11","CV 12","CV 13","CV 14","CV 15","CV 16","CV 17","CV 18","CV 19","CV 20","CV 21","CV 22","CV 23","CV 24","CV 25","CV 26","CV 27","CV 28","CV 29","CV 30","CV 31","CV 32","CV 33","CV 34"
"HbA1C_fasting_adj_earliest",0.00824573893108781,0.0181963974036208,0.0333852848668484,0.00218275664419511,0.00206773394274984,0.00149448126920228,-0.025226885814622,-0.016391458100502,0.00708384586064336,0.000116345966931202,0.0597149203552314,-0.0274114554485129,-0.0421716988650071,0.0762459264351089,0.0160028175636473,-0.00674142608636035,0.0648693153461799,-0.0127352719458129,-0.000288637988861078,0.0573745665724565,-0.0148181167103486,-0.0466879923834799,0.00160320535879336,0.000954692312329068,-0.0335111203457614,-0.0757718497634209,0.0493805470616077,-0.0327951657227634,0.00769283380757824,-0.0103012364353383,0.0728637380202675,0.141497096238701,-0.0131361609929208,-0.0707118616621298
"glucose_fasting_adj_earliest",-0.0357794073134424,-0.0376529361841939,-0.0108117745051518,-0.0560001161480711,-0.00524912969638807,-0.130116371267557,0.0406646292027399,0.121410628288552,-0.182214712717822,-0.00404932370044852,-0.299067765916149,0.318976034708758,0.56715923133036,-0.538623577286555,-0.127074301613423,0.493145923900754,-0.423667534402078,-0.315245788914624,0.0930697352161571,-0.516980472681333,0.186808818899314,-0.266988971429737,-0.174006802078586,0.0129864060765377,-0.283056787018088,0.206297903854264,0.0153812055263184,0.0559426905989499,0.0132246252017478,0.106704530352476,-0.192626818488796,0.00562966396482274,0.0672676461566232,-0.192980523362238
"triglycerides_fasting_statin_adj_earliest",0.0633663917223572,0.0095307187072853,0.0625388996448595,-0.074637778710701,-0.00380066032436168,0.221821096268976,-0.131324196954303,-0.717043456582951,0.505705742785014,-0.0245682694468355,-0.223264804214704,0.0562867462622724,-0.0933333451176168,-0.142546625686245,0.0241390047148572,-0.344670229712668,-0.434614691878843,-0.127198650926564,-0.527465719551169,0.107572664437602,0.402782570477903,-0.116749267128504,0.0929549561108553,0.528749845913908,-0.131609102540124,-0.0594191307503977,-0.313197651320988,-0.192252573402421,-0.122333029884435,0.0165215327405743,0.0658786077818853,-0.0719547359133428,0.23243704626853,0.016179712964204
"LDL_fasting_statin_adj_earliest",0.00689026100857978,0.126933582962098,0.200563448808492,-0.068582951133081,0.0595554516818498,-0.00730731060264006,-0.189912623475418,0.394531459912525,0.038471740939372,-0.0717531792267755,-0.0528534205613291,-0.0321327958926353,0.0884655631061806,0.186573901102918,-0.0246655455030064,0.491379210869241,-0.278125638683765,0.320977470159369,0.338763800685599,0.238923990266385,-0.121330483902008,-0.159198201617208,-0.394298006127949,-0.141787769464059,0.176101050783379,-0.150489021593603,0.208773252223649,-0.152915283127381,-0.014022726662994,-0.628384845275373,-0.37281295330943,-0.183118928711592,0.168264933661991,0.230357390667705
"eduyears_mean",-0.122038179620561,-0.0603644520087724,0.116902743605689,-0.0360656872719407,-0.00883035686564222,0.0326228101579697,0.0718212225790012,0.0298569360998212,0.0151732658571089,-0.000751983492800458,0.0197307354124283,-0.0284886955906195,-0.0358565604909013,-0.0466711571551627,-0.0470567975533915,-0.010160944921519,-0.00781603874033301,0.0274540751310442,-0.00347868588300313,-0.0245764819434546,-0.00842486534127413,-0.0237119346041189,-0.00196323057937881,0.0307387712509104,-0.00529541915339709,-0.00662562668678263,0.0122096649665976,0.00298647132876859,-0.0148660075040178,-0.00449160865920237,0.0278668716256503,-0.00502001699251513,0.0136813228363003,-0.00129061024902227
"fathers_age",-0.00159508556256885,8.7320757474738e-05,0.00419647683726541,-0.00319119423867007,-0.00514356074331931,-0.00107879697070466,-0.00457569709352588,-0.000981756783850873,-0.00716551741988529,0.000791531743582257,-0.0051802782683254,0.0200288892286797,-0.0010557204720783,0.00965324125925622,0.0127769177194067,0.000576549020282034,0.00368580578581819,0.00514732277096399,0.0025527658583053,0.00677352591440834,-0.00140736732652024,0.00499797399312642,-0.00497238405879021,0.0110389818754421,-0.0351980519088643,-0.00465051623836938,-0.0161737987959387,0.00179955254845346,-0.0385876484183024,-0.00892537141972282,-0.00898292781213114,-0.00495198591075566,-0.0505616705288102,0.00455243063271071
"mothers_age",-0.00017214689572507,0.00811440935204332,0.0184641001750856,-0.0053454325298196,0.0101546258289634,0.000506655167473959,-0.00240121833898012,0.000293325848576365,0.00559157574755023,-0.00529860559450715,0.00979539495348567,0.00502125730146019,0.00158299950488705,0.0091106653596917,0.00158273881543845,0.000122478704796373,0.0067013434150549,-0.00483246125553617,0.00788275285296269,-0.00645123776025632,0.0376170133275322,0.018427170846641,-0.0182146242537639,-0.00598007689079858,-0.00931614293628161,0.000968005391500642,-0.00607773588869804,-0.0102909821693834,0.0331494233502692,0.0401255139068643,-0.0157329376789994,0.017100185101664,-0.00471198652603815,0.0424358390015157
"number_full_brothers",0.0441068454405274,-0.0198902976274063,-0.0492187968718023,0.0236683708246578,0.0770937654268249,-0.0632664340620409,0.122205741558304,0.0834451723034742,-0.00870630407938154,0.0187519570412009,0.0362939827363739,-0.00444160471567349,0.149520737009481,-0.00722379867958657,-0.103278480582196,-0.0661177063873229,-0.059054790776748,0.262429645425365,0.244877101263723,0.0378905766418108,-0.277571975154702,-0.351248247570315,0.0185665327841182,0.172406718879747,0.0816830766502162,-0.0177199605971846,-0.466861713284635,-0.282552452090419,-0.0562064004285241,0.274232368205223,0.113420689500584,0.104290695629663,0.0248383374133896,0.109462646050051
"number_full_sisters",0.0433955281269909,-0.0132683908336785,-0.0283456127596684,1.09382590638947e-06,0.0326377647906467,-0.0302261289779226,0.00558569162873681,-0.0389537929743078,0.0732544055428475,-0.0992259641447787,-0.0520066421508849,-0.0475561569043594,-0.0748037506335797,-0.102602051400854,0.00346228933286425,0.0504427188435193,-0.0695205297734681,0.0921886630735492,0.0787440771749074,0.209250650772482,-0.0539976410004703,0.0232449304643229,-0.254362016346735,0.382112864370802,0.0128176984577142,-0.209341489415375,0.465367263375824,0.213575396354457,0.0992294800032305,0.395078056210611,-0.0676795090204804,-0.249313780143081,-0.178308606954978,-0.16114755598431
"diastolic_earliest",-0.00495192404904267,-0.0113731510751636,-0.0252135185105917,-0.00406083363812987,-0.0111036793008969,-0.00416624435716817,-0.00409007852939841,0.0423756612043246,-0.0132234769164705,0.0162914533075188,0.0084950760432558,0.0100112697569131,-0.006410619098566,0.040570795575141,-0.0169761699840861,-0.0173349281655019,-0.0427924474026177,0.0222410086090912,-0.0171740759371607,0.00157514389583159,0.0714117351055703,0.00645727457191952,-0.0494449895105857,-0.035527565094227,-0.00937275069675193,-0.0121466274453317,-0.0232687761035136,0.00037350429618361,-0.0290373012227243,0.0344269063494646,0.0153134371531941,-0.00670509831226696,0.0253964510597922,-0.0630877188978744
"systolic_earliest",0.00717132208275918,0.0125949935469639,0.0232716757275335,0.00286030727803243,0.00301770740098511,0.00764162377379361,0.00131241001676915,0.00328370450752039,0.00108039359786849,-0.00535713048744894,-0.0111910264896514,-0.0146848193472711,0.00588302285412843,-0.0118824149735931,0.0231234565046586,-0.0248587634380711,-0.00225975379313512,-0.0178825808659949,0.0182141197267466,-0.00876018392715483,-0.0284291708116714,-0.00345637655765595,0.0233614763168696,0.013164915166294,0.00801238486901228,0.00595694206695563,0.0136413523509177,0.0093422366850972,0.00451436506614018,-0.00819534520210429,0.00909041414126415,0.00307496095011251,-0.0163332190271207,0.0248175308839815
"pulse_earliest",-0.0019452037328028,-0.00124073490339811,0.00520339142513615,0.00341690268155785,-0.0199836675462249,0.0112472247708012,-0.00241533995862373,-0.0483014022461443,0.0111278201443672,0.00254092044808301,-0.00303309072474569,-0.0288055004145546,0.00312352143342883,-0.0233581132602064,-0.0197653518413698,0.0110549724788901,-0.0073477384158105,0.00951571467181861,0.0287579554563191,0.0171996517660807,-0.0186333265642303,0.024769707355561,0.0100428567674857,-0.0416701345185292,0.0254324783562625,-0.0104989420192965,0.00244385430466752,-0.00940040657030138,-0.00787267853945241,0.00910163427972818,-0.00232239791915976,0.012590276724483,-0.0366743771076399,0.00820183823776017
"grip_strength_left_earliest",-0.0103838000172295,-0.0149112210527616,-0.0188886771064336,0.0224445281450653,-0.0173476731126769,0.0310705851554566,0.0386288262039213,0.000818551613494725,0.0215157461709355,-0.00236875119602041,-0.0247909499822741,0.0581218159836042,0.00272327658392817,0.0238151279924602,0.0429854217505717,0.0479947525681617,-0.0145361613243566,-0.00288351379358262,-0.0551009884985627,0.0216864658269189,0.0294167125897561,-0.0446625678527083,-0.0656266103232856,-0.00217594124315858,0.0863779358965457,0.0795920815317778,-0.00114095307907924,-0.0199408867474459,0.0824728556742216,-0.0283379794632442,0.121275961263127,-0.00220207847076218,-0.11918558920937,0.0095619880980055
"grip_strength_right_earliest",-0.00945982092258045,-0.0123522168579133,-0.0179637338186098,0.00183429764933893,0.00932918250846568,-0.0243905073940765,-0.0241399044745738,0.0327453240048215,-0.00488516261047606,-0.00898914428636247,0.023103154349816,-0.00211591611672575,-0.0307130172274229,-0.0166061678109283,-0.0269451759690549,-0.0383000207630915,-0.0456957343437171,-0.0204605714735078,-0.00980623744804109,-0.00639258022726744,-0.0458830804269609,0.00943880102352724,0.0889855306835338,-0.0104565595780808,-0.0411601354995108,-0.128789273014585,-0.00368779646961995,0.0362424417554286,-0.0372508351405955,0.0278445190857966,-0.158357474435112,0.0582119127457625,0.0583414099251477,0.0230798317281345
"waist_circumference_earliest",-0.0129738889446882,-0.0521715285072513,-0.0386547371218013,0.00330780874894196,-0.183541779195652,-0.0527204922132053,-0.151959375823755,-0.00553822165070988,0.0591664895130138,-0.0689787344932344,-0.00701965326935546,0.209493014621345,-0.167346885328356,0.312218506667805,-0.139955604460686,0.0492780099988864,-0.285157225118522,-0.143558145809112,-0.278862347284553,0.184994043738059,-0.368751083335345,-0.173169637659302,-0.0012971973024762,-0.26613786124913,-0.288301542907377,0.652374145271494,0.666188125801905,-0.371930212924592,-0.532522386184356,0.491053268122074,0.104595992844304,0.000204018966936351,0.283128022785353,0.533794440888134
