"phenotype","CV 1","CV 2","CV 3","CV 4","CV 5","CV 6","CV 7","CV 8","CV 9","CV 10","CV 11","CV 12","CV 13","CV 14","CV 15","CV 16","CV 17","CV 18","CV 19","CV 20","CV 21","CV 22","CV 23","CV 24","CV 25","CV 26","CV 27","CV 28","CV 29","CV 30","CV 31","CV 32","CV 33","CV 34"
"HbA1C_fasting_adj_earliest",0.138749612074266,0.0645791938817293,0.120322038515686,-0.0307222104670873,-0.0315924101839183,0.00301441986470833,-0.0131792370605924,-0.0142663946046588,0.00631239235860792,0.00320522425628207,0.0210566989177058,-0.00256499834756154,0.0044704892653107,0.014272390637743,0.00421951899884895,0.0187121271726801,0.0113405013693264,-0.0103708242801833,-0.000107931677172804,0.0117373217146972,-0.00034652208581807,-0.0240185110614296,-0.00336056888446475,5.12129709342718e-06,-0.0112502500235856,-0.00927517188905456,0.00714631491964212,-0.00209551621444482,0.0012221562012044,-0.000720923280700087,0.00420449946444,0.00985454138262658,0.00010374143862473,-0.00104810977058153
"glucose_fasting_adj_earliest",0.0563968317161604,0.0412530788524399,0.0557898411106406,-0.0313121575771173,-0.0362652820628639,-0.021553408419488,0.00286838511080587,-0.00846733510104045,-0.0146778107703063,0.00493409995903208,-0.024797917320291,0.0218669083172182,0.0561110549583998,-0.0463326784139965,-0.0101422618411177,0.0385267948307393,-0.0289724832987279,-0.0282259887271791,0.0100302031469808,-0.0215443696155848,0.00642475966623228,-0.0217120985075082,-0.00502281577880356,-0.00135913094832342,-0.0116206339209655,0.00191904375212058,0.00419507668272797,0.000386941751492366,0.000977836730990893,0.00148953830785603,-0.000617508587610395,0.00512248148008728,-0.000219344964384008,-0.00088129960170754
"triglycerides_fasting_statin_adj_earliest",0.186710660605825,0.0626225400945001,0.084110853410533,-0.0583591069497087,-0.0646705029816986,0.0543504384916444,-0.0109773273231381,-0.071325075707979,0.059226557841805,0.00211936091323852,-0.0248144392657008,0.00573560435057685,-0.00523081248599187,-0.0120583870527178,-0.00177323887928918,-0.0166187441207335,-0.0367684892073301,0.00140999459311134,-0.0266607765916543,0.00925565308801566,0.0116541615095258,-0.0118311493983612,-0.00740738624960884,0.0141461078815477,-0.00573164707513957,-0.00543043232424131,-0.00620122158998413,-0.00236392554104638,0.000369437115448501,-0.00330171279428734,0.000153737212500077,-0.000127083711702904,0.00191992742991117,0.000186272627231779
"LDL_fasting_statin_adj_earliest",0.126287798275343,0.130126218480754,0.128489734233948,-0.0284810224640716,-0.011759030540137,0.0301910125812486,-0.0255665396669201,0.0298596137099141,0.0247839718192736,-0.00589560977983908,-0.0153870932846682,0.00156697165758527,-0.00310584083793792,0.0216892315229651,-0.00994556418151844,0.0280603828714068,-0.0345962954471175,0.0199606577434099,0.0136383209646955,0.0137593013534902,-0.00367598667838968,-0.00990859119374517,-0.0251896151163693,-0.00177624544127086,0.00381605444217977,-0.0073706630387864,0.00181748690349023,-0.0035878771066126,0.000332641131628418,-0.0104070125092173,-0.00344201823915442,-0.00137774908599206,0.00139803239147614,0.000582162415036543
"eduyears_mean",-0.449448464666705,-0.145145872835293,0.165209222479279,-0.0604791702063482,-0.0182176120794426,0.0302252431481891,0.0451885343357385,0.0154604582259102,0.00284962185539999,0.000602435465474795,0.00762236467769089,-0.0089362913276451,-0.0154715666940493,-0.0116511325688153,-0.0121438121078719,-0.00338134356734691,0.000573979890136212,0.00496909151751514,-0.00189029221540906,-0.00129332651774296,-0.00201866897422232,-0.00323267423905077,-0.0014816002672866,0.00495542084948894,-0.00141658989532331,5.15982084439725e-05,0.000393349754679058,0.000207149054482994,-0.000812435228156319,-3.48209835490435e-05,0.000894459328338219,-0.000288333931243925,0.000331816103599358,-4.45116617276291e-05
"fathers_age",-0.0758901199199697,-0.00156641792077155,0.0485850910624243,-0.018107113603539,-0.00369001655119888,-0.00945389673240195,-0.0153671923660732,-0.00268644756807356,-0.0175122335100665,-0.00267209740116589,-0.00721965512209953,0.0355189357779445,-0.00388393883888739,0.0187903520216297,0.0184094719745611,0.00470429879502435,0.00926325262779871,0.00334558390705228,0.00528611954121716,0.00679522936784603,0.00129608003300246,0.00666266297251988,-0.0053059987145267,0.00786840174577571,-0.019698557748025,-0.00220233897347073,-0.00835623056245397,0.000448904195659398,-0.0128300418419109,-0.00198323478169154,-0.00215785940233174,-0.00143279182950792,-0.00581296212947984,0.000259034471650157
"mothers_age",-0.0187622345016969,0.089454514459241,0.14173910470634,-0.0214629784617322,0.0438257634396182,0.00056724515721479,-0.0124811464399979,0.00209206253625001,0.00575164443299724,-0.00763977853898143,0.0121224765898695,0.00914932119556928,0.00056828735000568,0.0189169949818288,0.00219813268879684,0.00381904621435649,0.0096609378576141,-0.00643267528855136,0.0102711996954127,-0.00515185571186592,0.0321180394562745,0.0161857055060476,-0.0149256970190593,-0.00338719036404085,-0.00486264392022386,-0.000818114227200742,-0.00414304790005382,-0.00331248631725424,0.00906151034905206,0.00929816280310097,-0.0031971430467898,0.00269335446948461,-0.000732129386377102,0.0015780623514696
"number_full_brothers",0.0881977469651854,-0.0120757287973676,-0.0557045200035982,0.0101633401258686,0.0324555377321985,-0.0225104777753136,0.0320328576227973,0.0202786276442855,0.00337217053917613,0.00185120570111665,0.00966256210560031,-0.000283937651733189,0.0205097060538279,-0.00377066937860511,-0.0172160683962201,-0.00607825757201988,-0.00806375701784123,0.0309835701899151,0.0269435572923285,0.00784934594685045,-0.0254452116492774,-0.0285217401859664,-0.0040476328276467,0.0165171979787793,0.00406040236301383,-0.00147514867816292,-0.0167356057313747,-0.00826924424250497,-0.00155468407144854,0.00793430105470317,0.00236712519632708,0.00163425893133121,0.00024101799325291,0.000397096917362534
"number_full_sisters",0.0833191550965971,-0.00776230611237302,-0.0402706829045294,0.0095336215159486,0.0182870368281655,-0.00860458719669965,0.0126446003486644,-0.00097648727292862,0.0176565752844957,-0.0214211547428553,-0.00182576289661987,-0.00285383401200057,-0.00886178566323469,-0.0187436931055315,-0.00369194227359701,0.00586127442785813,-0.00804426493300918,0.0158707813529599,0.0115197384929721,0.0196680826153727,-0.00865276550095971,0.000470883027433202,-0.0214972689476079,0.0283894305287267,0.00113086973926197,-0.00857180762199419,0.0158611437940257,0.00677677890714228,0.00188013429652452,0.0104582351405549,-0.000681703861901513,-0.00369554812398502,-0.00145339556063832,-0.000562334054392383
"diastolic_earliest",0.0887909195154987,0.0720163320973141,0.0354965246997365,-0.00868037721970149,-0.10242186030813,0.0337953811022529,0.00104712121100955,0.0703955572089557,-0.00556242571605409,0.0172481493524646,-0.0127693939005887,-0.0161305932499028,0.00157903895394853,0.0191164349078622,0.00240545706641618,-0.0458604875642784,-0.0505287008416773,0.00184088530403603,0.00943781636323085,-0.00215730753679609,0.0206532480269755,0.00427998458863137,-0.0115244429546847,-0.0146168132188297,0.00332070346263309,-0.00408478284136441,-0.00178334751719714,0.00219618330901334,-0.00416238246405788,0.00401499278117534,0.00308710457676529,0.000162268080080534,-0.000202355497982657,-0.000752021221861381
