"phenotype","CV 1","CV 2","CV 3","CV 4","CV 5","CV 6","CV 7","CV 8","CV 9","CV 10","CV 11","CV 12","CV 13","CV 14","CV 15","CV 16","CV 17","CV 18","CV 19","CV 20","CV 21","CV 22","CV 23","CV 24","CV 25","CV 26","CV 27","CV 28","CV 29","CV 30","CV 31","CV 32","CV 33","CV 34"
"HbA1C_fasting_adj_earliest",0.235230138055288,0.133352913462689,0.303246019187258,-0.0980789357423243,-0.113458129631297,0.0114822321155056,-0.061295801957106,-0.0751745106256543,0.0357598370638639,0.0187747778532168,0.134094701406349,-0.0173585958569831,0.0307023987723934,0.102242936373822,0.0332842304158761,0.153559668242042,0.0972548874146347,-0.0926297913068587,-0.00104834555823122,0.131751226392976,-0.00402435841446406,-0.296471691701161,-0.0426857835821597,7.75285862016574e-05,-0.236212025324115,-0.227163886861981,0.188970725184757,-0.0682846043446974,0.0430499772228122,-0.0295536549772173,0.208962256819408,0.585221928865158,0.0105242642324434,-0.291552479608481
"glucose_fasting_adj_earliest",0.0956127682964085,0.0851856135639325,0.140606387961817,-0.0999623088400491,-0.1302398598097,-0.0820991266844754,0.0133406785901533,-0.0446172834947617,-0.0831501104149255,0.0289017626315982,-0.157919782752224,0.147984042360501,0.385359159284568,-0.331912796626095,-0.0800037587577729,0.316167252287411,-0.248464817345769,-0.252107968912828,0.0974238443487499,-0.241835163737976,0.0746143945287828,-0.26800256512331,-0.0637995633116855,-0.0205751587612555,-0.243988664098133,0.0470004699643234,0.11093083524259,0.0126089047760752,0.0344439188338761,0.0610623937443558,-0.0306899760990792,0.30420375499504,-0.0222519023602947,-0.245150929194079
"triglycerides_fasting_statin_adj_earliest",0.316541241550959,0.129312517981095,0.21198345524924,-0.18630817944015,-0.232251805667998,0.207026352780816,-0.0510548583748747,-0.375836208815851,0.335519710746378,0.0124142734346328,-0.158024998928056,0.0388156343304552,-0.0359241419265681,-0.0863825081232567,-0.0139875875559952,-0.136380477229005,-0.315322503106933,0.012593743889123,-0.258957402040629,0.103894540428822,0.135346417601612,-0.146037398735065,-0.0940882622053242,0.214150384754909,-0.12034256671849,-0.133000027263445,-0.163979527080531,-0.0770310051328751,0.01301327881768,-0.13535099138607,0.00764068949254513,-0.0075469950346031,0.194770998417238,0.0518154184696408
"LDL_fasting_statin_adj_earliest",0.214102913722792,0.268704350569488,0.323830953111679,-0.0909240686024879,-0.0422303206243004,0.115000640195694,-0.118908366618461,0.1573405131652,0.140401727855946,-0.0345338594354726,-0.0979891334146284,0.0106044620844325,-0.0213302746680932,0.15537486149914,-0.0784521766399793,0.230275427518967,-0.296694009294186,0.178283954213066,0.132469665805603,0.154447911686982,-0.0426913276999384,-0.12230636553913,-0.319957274004035,-0.026889632671591,0.0801224814242929,-0.180519400035797,0.0480599892431429,-0.116914756838137,0.0117171545877983,-0.426626889814929,-0.171067187748159,-0.0818190259990446,0.141826279714352,0.161939999428597
"eduyears_mean",-0.761975639511678,-0.299719210727829,0.416374586633475,-0.193076362613052,-0.0654250872551092,0.115131027909664,0.210169028650236,0.0814664400774143,0.0161431684619366,0.00352879896407958,0.0485412608813407,-0.0604762454385935,-0.106255530901335,-0.0834650645538135,-0.0957923024960019,-0.0277487423862324,0.00492238815334476,0.0443827701460128,-0.0183604989717956,-0.0145175670378667,-0.0234439529399403,-0.0399024068529763,-0.0188192150015458,0.0750174740943269,-0.0297429450476237,0.00126372316670191,0.0104013871800832,0.00675017025949007,-0.0286177151757066,-0.00142745748521117,0.0444543378973766,-0.017123002771854,0.0336617690720741,-0.0123817998683464
"fathers_age",-0.128660852588559,-0.00323457728223785,0.122448353088785,-0.057805945750652,-0.0132519922908784,-0.0360108550067439,-0.0714718443546659,-0.0141558106899357,-0.0992071755632772,-0.0156519578967535,-0.0459766985147223,0.240373976078945,-0.0266740913493208,0.134608196689198,0.145216814334252,0.0386054752412281,0.0794406315973249,0.0298819776266024,0.0513443326965437,0.0762763281605195,0.0150521158685398,0.0822403585986544,-0.0673965392772113,0.119115538731449,-0.413594027854414,-0.0539388258659188,-0.220964646388557,0.0146280163228822,-0.451933237763033,-0.0813010732845811,-0.107244910940258,-0.0850877951160402,-0.58970793378849,0.0720555657614092
"mothers_age",-0.0318086872177888,0.18471924792646,0.357223163732895,-0.0685193563022547,0.157391890032314,0.00216069454616934,-0.0580490264244167,0.0110237927464539,0.032583188130395,-0.0447504241351743,0.0771991794619232,0.0619179225400102,0.00390288037878545,0.135515427191108,0.0173392168440373,0.0313407163314904,0.0828511362119436,-0.0574551601131547,0.0997646553850769,-0.0578294882544311,0.373005091549525,0.199787717085532,-0.189585482301579,-0.0512768689289724,-0.10209683930734,-0.0200369340829099,-0.10955503290214,-0.107940857727906,0.319188180485794,0.381170511149427,-0.158896970277862,0.159947585234671,-0.0742723757865607,0.438969280183061
"number_full_brothers",0.14952667531554,-0.0249357961987468,-0.140391354320566,0.0324458939632726,0.116557887981202,-0.0857447012850429,0.148982804386972,0.106855021998441,0.0191034178773933,0.0108435394905287,0.0615337848270659,-0.00192154468626377,0.140856433512742,-0.0270118944435226,-0.135803058953266,-0.0498807648983985,-0.0691538897063413,0.276738045414338,0.261704064552173,0.0881087679130567,-0.295509740364395,-0.35205715048573,-0.0514128365884441,0.250045053511956,0.0852528489399067,-0.036128765206636,-0.442541307936527,-0.269462038726017,-0.0547631422227689,0.325260124250251,0.117645352885631,0.0970521231707249,0.0244505674814122,0.110460367963092
"number_full_sisters",0.141255720019829,-0.0160287868747618,-0.101493661771358,0.0304355525803105,0.0656744130297009,-0.0327757485303697,0.0588092402644675,-0.00514544528654785,0.100024874787576,-0.125475595309055,-0.0116269473870396,-0.0193132877860612,-0.0608609172555193,-0.134273946827978,-0.0291226221164106,0.0481001089994465,-0.0689867277393193,0.141754129168951,0.111891772622285,0.22077387570713,-0.100489495700279,0.0058123289732685,-0.273057271388724,0.429772452013367,0.0237439195509393,-0.209937363979344,0.41941782285322,0.220828482840467,0.0662269999213427,0.428726719316852,-0.0338804603662823,-0.219463871260549,-0.147442710608269,-0.156424348399088
"diastolic_earliest",0.150532314602128,0.14871024434993,0.0894614149075796,-0.0277116179664987,-0.367828622009798,0.128730046796453,0.0048700948378207,0.370938258056894,-0.0315112600715972,0.101031986088502,-0.0813189222551445,-0.109163598262959,0.010844514048487,0.136944152356036,0.0189746241872437,-0.376350651681755,-0.433328558546367,0.0164423595392084,0.0916699630994289,-0.0242157385295713,0.23985793658372,0.0528298472874624,-0.146382917530181,-0.221276141883929,0.0697220140675376,-0.100042905762996,-0.047157238012879,0.0715649477152309,-0.146618304676813,0.164591315840612,0.15342809408224,0.00963645441574336,-0.0205283708963565,-0.209189588814245
