"","f_SCZ","f_BPD","f_MDD","f_ASD","f_ADHD","f_SUD","f_OCD","f_Anxiety","f_AN","f_TIC","f_Epilepsy","f_RA","f_DM1","f_DM2","m_SCZ","m_BPD","m_MDD","m_ASD","m_ADHD","m_SUD","m_OCD","m_Anxiety","m_AN","m_TIC","m_Epilepsy","m_RA","m_DM1","m_DM2"
"f_SCZ",1,0.6219,0.4665,0.4801,0.1521,0.3491,0.3834,0.2425,0.2339,0.1703,0.3059,0.0675,0.0237,-0.0131,0.3216,0.1855,0.1192,0.4378,0.0912,0.1182,0.1118,0.0867,0.2684,0.0265,0.0937,0.0244,0.0158,0.0489
"f_BPD",0.6219,1,0.6411,0.3277,0.3084,0.4383,0.4523,0.4715,0.3466,0.1647,0.2711,0.1485,0.124,0.0672,0.1967,0.3564,0.1717,0.2169,0.1668,0.1499,0.1792,0.1362,0.1683,0.1088,0.0856,0.0421,0.0324,0.0321
"f_MDD",0.4665,0.6411,1,0.2534,0.2955,0.4008,0.5716,0.651,0.4172,0.2015,0.2642,0.2895,0.1969,0.1029,0.1809,0.2386,0.2302,0.1779,0.1783,0.1737,0.2108,0.1615,0.2029,0.0657,0.0925,0.0579,0.0293,0.0282
"f_ASD",0.4801,0.3277,0.2534,1,0.4747,0.1643,0.2711,0.1585,0.204,0.2167,0.2711,0.0266,0.0368,NA,0.1123,0.0117,0.125,0.999,0.4355,-4e-04,0.1871,0.1615,NA,-0.0191,0.04,0.0034,0.051,0.0906
"f_ADHD",0.1521,0.3084,0.2955,0.4747,1,0.1671,0.2476,0.1797,0.2272,0.2444,0.1345,-0.1447,-0.0042,-0.0664,0.0635,0.1422,0.1173,0.3342,0.346,0.1013,0.0475,0.0782,0.086,0.0346,0.0336,0.0568,-0.032,0.0111
"f_SUD",0.3491,0.4383,0.4008,0.1643,0.1671,1,0.2315,0.2863,0.2555,0.1242,0.1949,-0.069,0.0474,0.0385,0.0862,0.1066,0.0923,0.0208,0.0496,0.3459,0.0412,0.1019,0.0173,0.0727,0.0531,0.0303,0.0508,0.0487
"f_OCD",0.3834,0.4523,0.5716,0.2711,0.2476,0.2315,1,0.4222,0.3431,0.1955,0.1495,0.0587,0.0801,0.0484,0.0914,0.126,0.1181,0.2124,0.1544,-0.0061,0.4023,0.0815,0.164,0.0095,0.0331,0.0201,0.0204,0.005
"f_Anxiety",0.2425,0.4715,0.651,0.1585,0.1797,0.2863,0.4222,1,0.2321,0.2388,0.1985,0.3508,0.2563,0.0967,0.104,0.1707,0.1501,0.1056,0.1217,0.1126,0.1558,0.1743,-0.0199,0.0748,0.0788,0.0567,0.0419,0.0245
"f_AN",0.2339,0.3466,0.4172,0.204,0.2272,0.2555,0.3431,0.2321,1,0.1452,0.1761,0.0413,0.0308,0.1246,0.1766,-0.0089,0.0328,NA,0.1217,0.1333,0.2371,0.0657,0.999,0.2253,-0.106,0.0392,0.0116,0.0247
"f_TIC",0.1703,0.1647,0.2015,0.2167,0.2444,0.1242,0.1955,0.2388,0.1452,1,0.3113,0.176,0.1192,0.0744,0.0599,0.0612,0.0568,0.0652,0.0672,0.1029,0.1273,0.0489,0.3591,0.678,0.0783,0.0431,0.0607,0.0303
