"","f_SCZ","f_BPD","f_MDD","f_ASD","f_ADHD","f_SUD","f_OCD","f_Anxiety","f_AN","f_TIC","f_Epilepsy","f_RA","f_DM1","f_DM2","m_SCZ","m_BPD","m_MDD","m_ASD","m_ADHD","m_SUD","m_OCD","m_Anxiety","m_AN","m_TIC","m_Epilepsy","m_RA","m_DM1","m_DM2"
"f_SCZ",0,0.002,0.0018,0.0127,0.0099,0.0029,0.0044,0.002,0.0151,0.011,0.0034,0.0026,0.0037,0.0193,0.0091,0.0081,0.0034,0.0769,0.038,0.0078,0.0185,0.0056,0.0687,0.0416,0.0098,0.0065,0.0145,0.0055
"f_BPD",0.002,0,0.0012,0.0149,0.0062,0.0022,0.0034,0.0014,0.0106,0.0093,0.0029,0.002,0.0026,0.0124,0.0087,0.0054,0.0026,0.0804,0.0269,0.0063,0.0141,0.0046,0.0583,0.0334,0.0079,0.005,0.0112,0.0046
"f_MDD",0.0018,0.0012,0,0.0123,0.0044,0.0014,0.0023,6e-04,0.008,0.0055,0.0018,0.001,0.0014,0.0066,0.0047,0.0034,0.0013,0.0456,0.0151,0.0033,0.0073,0.0024,0.0309,0.0168,0.004,0.0025,0.0054,0.0023
"f_ASD",0.0127,0.0149,0.0123,0,0.0185,0.0195,0.0235,0.0123,0.0668,0.0428,0.017,0.0164,0.0214,0,0.0591,0.0527,0.0182,0,0.1052,0.047,0.0921,0.0024,NA,0.1634,0.0531,0.0387,0.0841,0.031
"f_ADHD",0.0099,0.0062,0.0044,0.0185,0,0.0075,0.0104,0.0044,0.0271,0.017,0.0088,0.0077,0.0085,0.0539,0.0299,0.019,0.0076,0.1191,0.0278,0.0168,0.0463,0.0091,0.127,0.0878,0.0224,0.0192,0.0485,0.0129
"f_SUD",0.0029,0.0022,0.0014,0.0195,0.0075,0,0.0045,0.0014,0.0119,0.0095,0.003,0.0022,0.0027,0.0125,0.0049,0.0036,0.0014,0.0468,0.015,0.0027,0.0078,0.0022,0.0317,0.0175,0.0042,0.0026,0.006,0.0021
"f_OCD",0.0044,0.0034,0.0023,0.0235,0.0104,0.0045,0,0.0026,0.0147,0.0135,0.0057,0.0037,0.0047,0.0221,0.016,0.0117,0.0046,0.1326,0.0465,0.0121,0.0167,0.0076,0.1015,0.0618,0.0146,0.0091,0.0212,0.0076
"f_Anxiety",0.002,0.0014,6e-04,0.0123,0.0044,0.0014,0.0026,0,0.0086,0.0051,0.0017,8e-04,0.0012,0.0059,0.004,0.0029,0.0011,0.0386,0.013,0.0028,0.0063,0.002,0.1019,0.0139,0.0033,0.002,0.0045,0.0019
"f_AN",0.0151,0.0106,0.008,0.0668,0.0271,0.0119,0.0147,0.0086,0,0.0404,0.0149,0.0113,0.0154,0.0472,0.0636,0.0572,0.0205,NA,0.1906,0.0518,0.0971,0.0441,0,0.2175,0.0584,0.0303,0.0624,0.0446
"f_TIC",0.011,0.0093,0.0055,0.0428,0.017,0.0095,0.0135,0.0051,0.0404,0,0.0074,0.0059,0.008,0.0358,0.026,0.0199,0.0079,0.21,0.0636,0.0189,0.0442,0.0136,0.1888,0.0324,0.0203,0.0133,0.0297,0.0143
