"Trait_row","Trait_col","r","se"
"f_SCZ","f_SCZ",1,0
"f_SCZ","f_BPD",0.6219,0.002
"f_SCZ","f_MDD",0.4665,0.0018
"f_SCZ","f_ASD",0.4801,0.0127
"f_SCZ","f_ADHD",0.1521,0.0099
"f_SCZ","f_SUD",0.3491,0.0029
"f_SCZ","f_OCD",0.3834,0.0044
"f_SCZ","f_Anxiety",0.2425,0.002
"f_SCZ","f_AN",0.2339,0.0151
"f_SCZ","f_TIC",0.1703,0.011
"f_SCZ","f_Epilepsy",0.3059,0.0034
"f_SCZ","f_RA",0.0675,0.0026
"f_SCZ","f_DM1",0.0237,0.0037
"f_SCZ","f_DM2",-0.0131,0.0193
"f_SCZ","m_SCZ",0.3216,0.0091
"f_SCZ","m_BPD",0.1855,0.0081
"f_SCZ","m_MDD",0.1192,0.0034
"f_SCZ","m_ASD",0.4378,0.0769
"f_SCZ","m_ADHD",0.0912,0.038
"f_SCZ","m_SUD",0.1182,0.0078
"f_SCZ","m_OCD",0.1118,0.0185
"f_SCZ","m_Anxiety",0.0867,0.0056
"f_SCZ","m_AN",0.2684,0.0687
"f_SCZ","m_TIC",0.0265,0.0416
"f_SCZ","m_Epilepsy",0.0937,0.0098
"f_SCZ","m_RA",0.0244,0.0065
"f_SCZ","m_DM1",0.0158,0.0145
"f_SCZ","m_DM2",0.0489,0.0055
"f_BPD","f_SCZ",0.6219,0.002
"f_BPD","f_BPD",1,0
"f_BPD","f_MDD",0.6411,0.0012
"f_BPD","f_ASD",0.3277,0.0149
"f_BPD","f_ADHD",0.3084,0.0062
"f_BPD","f_SUD",0.4383,0.0022
"f_BPD","f_OCD",0.4523,0.0034
"f_BPD","f_Anxiety",0.4715,0.0014
"f_BPD","f_AN",0.3466,0.0106
"f_BPD","f_TIC",0.1647,0.0093
"f_BPD","f_Epilepsy",0.2711,0.0029
"f_BPD","f_RA",0.1485,0.002
"f_BPD","f_DM1",0.124,0.0026
"f_BPD","f_DM2",0.0672,0.0124
"f_BPD","m_SCZ",0.1967,0.0087
"f_BPD","m_BPD",0.3564,0.0054
"f_BPD","m_MDD",0.1717,0.0026
"f_BPD","m_ASD",0.2169,0.0804
"f_BPD","m_ADHD",0.1668,0.0269
"f_BPD","m_SUD",0.1499,0.0063
