"scenario","gen","n_sims","h2_true_median","h2_true_q025","h2_true_q975","he_h2_median","he_h2_q025","he_h2_q975","rg_true_median","rg_true_q025","rg_true_q975","he_rg_median","he_rg_q025","he_rg_q975","vbeta_true_median","vbeta_true_q025","vbeta_true_q975"
"RM",0,883,0.499692678193164,0.4832570155741,0.514079465552237,0.499746882915497,0.483125146329403,0.514067356586456,2.48322907962493e-05,-0.00122234890142265,0.00118366232871063,7.7664036551494e-05,-0.00301045743044362,0.00293436293635213,0.499674281721544,0.483625250889278,0.51436524430812
"RM",5,883,0.499604807126071,0.481761004232918,0.516293405232649,0.499595206975937,0.47890550494194,0.520101268291473,2.24298986467533e-05,-0.00749684340978651,0.0070702345638859,-0.00045386947338715,-0.0188024816675176,0.0200293342804778,0.499848354286483,0.48306270338852,0.516119698479775
"RM + VT (5%)",0,880,0.499536136682999,0.483490369089768,0.514225500377913,0.499391552805901,0.483531297147274,0.514648419171572,-2.10970383303716e-06,-0.00108350203653548,0.00120695687039321,2.07712930785611e-05,-0.00313151525132856,0.00305749529887921,0.499680722191673,0.483814918422299,0.514090708062084
"RM + VT (5%)",5,880,0.441789385368727,0.426981618867218,0.456784900174131,0.551580595970154,0.531498647928238,0.570715079903602,0.00010425060888087,-0.00697935647285163,0.00710495299240464,0.199186860750299,0.173470988683934,0.223741530500133,0.441560462485289,0.425107025593538,0.456770581796201
"2xAM",0,955,0.499090501809174,0.471222515142152,0.522947484307536,0.49965900182724,0.470467479526997,0.523480932414532,-4.6650523558623e-05,-0.00350039613032598,0.00378827520431648,-0.000290142139501111,-0.00912758655676401,0.00876911685270634,0.499222695048104,0.471487583333948,0.523090518140464
"2xAM",5,955,0.527414197649381,0.49737115848875,0.55445365499034,0.596542865037918,0.55011048913002,0.636091589927674,0.106910467851178,0.0839106690988945,0.127887803895087,0.21139728653347,0.157342651604308,0.263357224251411,0.471042142442875,0.446619415856997,0.49289922547034
"5xAM",0,929,0.49967797693725,0.483322431701307,0.514089654932884,0.499612855911255,0.483041025400161,0.51493183016777,-1.99810901248705e-05,-0.00119765040079971,0.00120119148536625,-0.000107950456453463,-0.00277832417121177,0.00286475210722487,0.499578643661813,0.483793081156853,0.51406908289899
"5xAM",5,929,0.534922199912094,0.517531770258011,0.551569033698518,0.658184564113617,0.626603038311005,0.687872378826142,0.131742437868249,0.123226577617956,0.140579206785942,0.295352653278714,0.2712483812448,0.319443389980323,0.464352737389932,0.451139602387457,0.477237459146729
"5xAM + GxE (5%)",0,942,0.501974126512671,0.487504232093246,0.515582784578235,0.502111527323723,0.487323404401541,0.516497552543879,2.18096717847284e-05,-0.00120234256387666,0.00126596589943309,-5.57616487405384e-05,-0.0030243015523397,0.00298359679476114,0.502043316558854,0.487792809913012,0.515270300464227
"5xAM + GxE (5%)",5,942,0.53387405722133,0.516177852967887,0.549902422417093,0.6579086124897,0.628476274907589,0.68745204538107,0.132861325165718,0.124490713982014,0.141211345459063,0.29737595753536,0.272965953032352,0.321777487182528,0.463404323069248,0.450029161613913,0.476821958557902
"5xAM + GxE (20%)",0,891,0.543152502923177,0.531719608182352,0.553243254308287,0.542938363552093,0.531205993890762,0.554099133610725,-6.01821626793365e-06,-0.00122727723411705,0.00118117663005262,3.94618487312034e-05,-0.00300936144845137,0.00290341163699352,0.543083683075852,0.531821431156999,0.553454840706235
"5xAM + GxE (20%)",5,891,0.569614267480816,0.554728197420567,0.583048771321318,0.714278817176819,0.690690267086029,0.740607684850693,0.14144977143852,0.132834350382321,0.149004989847681,0.317132633022171,0.29442969549719,0.340269184249932,0.489448144952264,0.477426264504013,0.501446675058038
"5xAM + VT (5%)",0,955,0.499538895106279,0.48377936960943,0.514332900449871,0.499687534570694,0.484585557281971,0.514779371321201,-5.49994976074266e-08,-0.00118765523405512,0.00129452095298841,3.81307342160637e-05,-0.00308900877257686,0.0032923081296578,0.499606244626231,0.483378195215893,0.514324459664943
"5xAM + VT (5%)",5,955,0.395881795132119,0.383314070242811,0.409867580336092,0.749368894100189,0.719342342615127,0.779956609606743,0.0782132540229421,0.0697205641825644,0.086082295484322,0.513126941282789,0.489872720741936,0.534615146657724,0.365227331519368,0.35350890303757,0.376321504659958
"5xAM + VT (5%) + GxE (5%)",0,919,0.499432535267517,0.485424542854749,0.513108260847278,0.499446165561676,0.484972405731678,0.512849500477314,-2.72964677296529e-06,-0.00122076638271402,0.00122543548753211,-6.62458911090612e-06,-0.00323393053397185,0.00324623985289023,0.499625905892233,0.484939427813874,0.513058976801594
"5xAM + VT (5%) + GxE (5%)",5,919,0.370407047445405,0.359538280344091,0.382360799677956,0.722738671302795,0.697023786306382,0.750711885094642,0.073318773225619,0.0658162736528652,0.0818755711224886,0.525145867082942,0.501823621406801,0.548250344782529,0.343261125769585,0.333240987212241,0.35389473042355
