"seed","dx1","dx2","rmate","vg1","vg2"
1,"ALC","ALC",0.298260497831098,0.435484705371046,0.435484705371046
1,"SCZ","ALC",0.145307666538002,0.603717583103662,0.435484705371046
1,"BIP","ALC",0.113442488395392,0.500659073703305,0.435484705371046
1,"MDD","ALC",0.111826208100902,0.236731755526191,0.435484705371046
1,"ANX","ALC",0.0828862724894847,0.588904790857132,0.435484705371046
1,"ADHD","ALC",0.148045798089039,0.610823279048111,0.435484705371046
1,"ALC","SCZ",0.145307666538002,0.435484705371046,0.603717583103662
1,"SCZ","SCZ",0.283988658526982,0.603717583103662,0.603717583103662
1,"BIP","SCZ",0.124731109732311,0.500659073703305,0.603717583103662
1,"MDD","SCZ",0.154842164743412,0.236731755526191,0.603717583103662
1,"ANX","SCZ",0.17170065300508,0.588904790857132,0.603717583103662
1,"ADHD","SCZ",0.102212576308083,0.610823279048111,0.603717583103662
1,"ALC","BIP",0.113442488395392,0.435484705371046,0.500659073703305
1,"SCZ","BIP",0.124731109732311,0.603717583103662,0.500659073703305
1,"BIP","BIP",0.116764801231198,0.500659073703305,0.500659073703305
1,"MDD","BIP",0.0899176958187167,0.236731755526191,0.500659073703305
1,"ANX","BIP",0.0651073878266521,0.588904790857132,0.500659073703305
1,"ADHD","BIP",0.118861137563067,0.610823279048111,0.500659073703305
1,"ALC","MDD",0.111826208100902,0.435484705371046,0.236731755526191
1,"SCZ","MDD",0.154842164743412,0.603717583103662,0.236731755526191
1,"BIP","MDD",0.0899176958187167,0.500659073703305,0.236731755526191
1,"MDD","MDD",0.178438882368533,0.236731755526191,0.236731755526191
1,"ANX","MDD",0.189211775811353,0.588904790857132,0.236731755526191
1,"ADHD","MDD",0.173807246195139,0.610823279048111,0.236731755526191
1,"ALC","ANX",0.0828862724894847,0.435484705371046,0.588904790857132
1,"SCZ","ANX",0.17170065300508,0.603717583103662,0.588904790857132
1,"BIP","ANX",0.0651073878266521,0.500659073703305,0.588904790857132
1,"MDD","ANX",0.189211775811353,0.236731755526191,0.588904790857132
1,"ANX","ANX",0.341487279345602,0.588904790857132,0.588904790857132
